## Header ##
[General info]
User	Giorgos_Psaltakis
Device	Sample
Cell area (cm2)	1
Test	Pulsed
Date	2024-03-03
Time	04:19:29
Temperature	21.33
Note	

[Acquisition Settings]
Amplitude (V)	2.500
Frequency (Hz)	1.2
DC Offset (V)	1.250
Duty Cycle (%)	40
Phase (°)	0
Cycles	2

## Data ##
Time (s)	DC Channel Voltage (V)	DC Channel Current (A)	Pulse Channel Voltage (V)	Pulse Channel Current (A)
0.00000E+0	2.49199E+0	1.23710E-5	1.01255E+0	-2.11152E-7
6.55360E-4	2.48998E+0	1.18467E-5	9.99931E-1	-1.77074E-8
1.31072E-3	2.48930E+0	8.04589E-6	1.00004E+0	-1.28448E-8
1.96608E-3	2.48998E+0	4.11399E-6	1.00002E+0	-9.40134E-9
2.62144E-3	2.49065E+0	8.30802E-6	9.99944E-1	-5.68640E-9
3.27680E-3	2.48930E+0	2.31182E-5	1.00001E+0	-7.45306E-9
3.93216E-3	2.49132E+0	9.61866E-6	9.99971E-1	-4.44459E-9
4.58752E-3	2.49132E+0	9.22547E-6	1.00007E+0	-5.04125E-9
5.24288E-3	2.49334E+0	9.09440E-6	9.99931E-1	-4.02432E-9
5.89824E-3	2.49267E+0	7.65270E-6	9.99990E-1	-2.91183E-9
6.55360E-3	2.49267E+0	1.32884E-5	9.99982E-1	-3.49423E-9
7.20896E-3	2.48796E+0	8.96334E-6	9.99995E-1	-2.54386E-9
7.86432E-3	2.48998E+0	1.34195E-5	1.00003E+0	-3.31975E-9
8.51968E-3	2.48863E+0	1.10604E-5	9.99942E-1	-1.96907E-9
9.17504E-3	2.48930E+0	1.17157E-5	1.00005E+0	-2.10885E-9
9.83040E-3	2.49132E+0	6.07994E-6	1.00002E+0	-1.66860E-9
1.04858E-2	2.48998E+0	7.25951E-6	1.00002E+0	-2.97316E-9
1.11411E-2	2.48998E+0	6.73526E-6	9.99973E-1	-1.40379E-9
1.17965E-2	2.49065E+0	5.75274E-7	9.99997E-1	-1.53454E-9
1.24518E-2	2.49065E+0	9.35653E-6	1.00007E+0	-1.55403E-9
1.31072E-2	2.49132E+0	1.02740E-5	9.99914E-1	-9.11258E-10
1.37626E-2	2.49267E+0	-5.58471E-6	1.00010E+0	-1.95243E-9
1.44179E-2	2.48998E+0	1.18467E-5	9.99842E-1	-1.15135E-9
1.50733E-2	2.48662E+0	1.02740E-5	1.00008E+0	-1.17594E-11
1.57286E-2	2.48930E+0	9.22547E-6	9.99948E-1	-2.06321E-9
1.63840E-2	2.48863E+0	8.83228E-6	1.00010E+0	-5.50888E-10
1.70394E-2	2.49199E+0	1.18467E-5	9.99876E-1	-7.13482E-10
1.76947E-2	2.48863E+0	1.30263E-5	1.00009E+0	-1.23484E-10
1.83501E-2	2.48930E+0	1.02740E-5	9.99925E-1	-1.27733E-9
1.90054E-2	2.49401E+0	4.63824E-6	1.00014E+0	-1.26973E-9
1.96608E-2	2.48998E+0	1.19778E-5	9.99868E-1	-5.91299E-10
2.03162E-2	2.49132E+0	1.05361E-5	1.00011E+0	-5.93200E-10
2.09715E-2	2.49334E+0	1.85310E-5	9.99952E-1	2.72252E-11
2.16269E-2	2.49065E+0	1.90552E-5	1.00000E+0	-9.10782E-10
2.22822E-2	2.49267E+0	6.73526E-6	1.00001E+0	-1.02013E-9
2.29376E-2	2.49199E+0	6.99739E-6	9.99971E-1	8.92969E-10
2.35930E-2	2.49132E+0	7.91483E-6	9.99957E-1	-1.13138E-9
2.42483E-2	2.49065E+0	1.73514E-5	9.99971E-1	-4.40881E-11
2.49037E-2	2.48930E+0	9.35653E-6	1.00003E+0	-8.78269E-11
2.55590E-2	2.49132E+0	1.82688E-5	1.00010E+0	-7.39630E-10
2.62144E-2	2.49065E+0	4.90037E-6	9.99944E-1	-6.89711E-10
2.68698E-2	2.48930E+0	6.21101E-6	9.99992E-1	-4.03032E-10
2.75251E-2	2.49132E+0	1.19778E-5	9.99967E-1	6.18650E-10
2.81805E-2	2.48998E+0	9.09440E-6	1.00005E+0	2.06935E-10
2.88358E-2	2.49132E+0	1.10604E-5	9.99999E-1	-2.15715E-10
2.94912E-2	2.49065E+0	9.22547E-6	9.99995E-1	-1.29350E-9
3.01466E-2	2.49199E+0	7.39058E-6	9.99969E-1	-5.91774E-10
3.08019E-2	2.48998E+0	7.65270E-6	1.00002E+0	4.48924E-10
3.14573E-2	2.49267E+0	1.00118E-5	9.99948E-1	-3.63096E-10
3.21126E-2	2.49065E+0	5.94888E-6	1.00014E+0	1.30392E-10
3.27680E-2	2.49065E+0	1.11914E-5	9.99935E-1	4.18973E-10
3.34234E-2	2.48930E+0	5.03143E-6	9.99957E-1	-1.08384E-9
3.40787E-2	2.48930E+0	5.55569E-6	9.99931E-1	2.73018E-10
3.47341E-2	2.48796E+0	2.02348E-5	1.00009E+0	-2.24748E-10
3.53894E-2	2.49199E+0	9.61866E-6	9.99988E-1	1.39739E-9
3.60448E-2	2.49132E+0	9.22547E-6	1.00004E+0	-1.28161E-9
3.67002E-2	2.48998E+0	1.07982E-5	9.99982E-1	2.93937E-10
3.73555E-2	2.49065E+0	7.91483E-6	1.00005E+0	-1.24434E-10
3.80109E-2	2.49065E+0	9.48759E-6	9.99986E-1	3.87595E-10
3.86662E-2	2.48930E+0	1.26331E-5	9.99914E-1	2.31181E-10
3.93216E-2	2.49267E+0	5.94888E-6	1.00005E+0	4.00907E-10
3.99770E-2	2.48998E+0	1.10604E-5	1.00001E+0	-1.47321E-9
4.06323E-2	2.49334E+0	8.43908E-6	1.00002E+0	3.30069E-10
4.12877E-2	2.48930E+0	8.30802E-6	9.99957E-1	1.72413E-11
4.19430E-2	2.49468E+0	1.21089E-5	9.99948E-1	8.18803E-10
4.25984E-2	2.49199E+0	2.58705E-5	1.00001E+0	-8.25682E-10
4.32538E-2	2.49065E+0	6.34207E-6	1.00001E+0	1.04558E-9
4.39091E-2	2.49065E+0	-4.40514E-6	1.00010E+0	-5.85118E-10
4.45645E-2	2.48998E+0	7.65270E-6	9.99910E-1	9.23396E-10
4.52198E-2	2.49199E+0	5.81781E-6	1.00009E+0	-8.07140E-10
4.58752E-2	2.49267E+0	1.38127E-5	9.99957E-1	5.05209E-11
4.65306E-2	2.49132E+0	1.18467E-5	9.99967E-1	1.44018E-9
4.71859E-2	2.49065E+0	1.32884E-5	1.00009E+0	-8.36616E-10
4.78413E-2	2.48863E+0	3.85186E-6	9.99885E-1	3.82365E-10
4.84966E-2	2.48930E+0	1.06672E-5	1.00005E+0	-2.79897E-10
4.91520E-2	2.49065E+0	1.18467E-5	9.99954E-1	3.01544E-10
4.98074E-2	2.49334E+0	6.21101E-6	1.00000E+0	6.01535E-10
5.04627E-2	2.48998E+0	1.15846E-5	1.00010E+0	6.81115E-11
5.11181E-2	2.48729E+0	6.07994E-6	9.99950E-1	4.62712E-10
5.17734E-2	2.49065E+0	8.70121E-6	9.99925E-1	8.20832E-12
5.24288E-2	2.49132E+0	7.65270E-6	1.00006E+0	-6.59575E-11
5.30842E-2	2.49199E+0	8.30802E-6	1.00000E+0	-1.17594E-11
5.37395E-2	2.48930E+0	1.02740E-5	1.00001E+0	-3.12226E-10
5.43949E-2	2.49132E+0	1.09293E-5	1.00004E+0	1.51530E-9
5.50502E-2	2.49267E+0	7.78377E-6	9.99916E-1	-8.03812E-10
5.57056E-2	2.49401E+0	1.38127E-5	1.00007E+0	9.89955E-10
5.63610E-2	2.48796E+0	1.51233E-5	9.99866E-1	-4.65312E-10
5.70163E-2	2.49132E+0	7.12845E-6	1.00014E+0	5.68731E-10
5.76717E-2	2.49065E+0	9.09440E-6	9.99984E-1	-1.57714E-10
5.83270E-2	2.49065E+0	7.65270E-6	9.99980E-1	1.42734E-9
5.89824E-2	2.48930E+0	3.45867E-6	9.99990E-1	-1.27762E-10
5.96378E-2	2.49132E+0	2.50842E-5	1.00007E+0	-2.03170E-11
6.02931E-2	2.49334E+0	4.11399E-6	9.99855E-1	8.42098E-10
6.09485E-2	2.49065E+0	5.81781E-6	1.00003E+0	-2.34257E-10
6.16038E-2	2.48930E+0	1.01429E-5	1.00011E+0	-6.66415E-10
6.22592E-2	2.49132E+0	9.48759E-6	9.99978E-1	1.43228E-10
6.29146E-2	2.49267E+0	1.77446E-5	9.99933E-1	1.85760E-9
6.35699E-2	2.49132E+0	1.09293E-5	1.00000E+0	-1.00206E-9
6.42253E-2	2.48796E+0	1.35506E-5	1.00006E+0	3.29303E-11
6.48806E-2	2.48930E+0	1.06672E-5	9.99990E-1	5.58272E-10
6.55360E-2	2.49334E+0	8.17696E-6	1.00001E+0	1.38313E-9
6.61914E-2	2.48998E+0	9.09440E-6	9.99954E-1	-6.86859E-10
6.68467E-2	2.49065E+0	-2.17706E-6	9.99963E-1	1.03797E-9
6.75021E-2	2.49199E+0	1.35506E-5	1.00006E+0	3.66676E-10
6.81574E-2	2.48998E+0	1.78757E-5	1.00002E+0	4.99319E-10
6.88128E-2	2.49132E+0	3.45867E-6	9.99952E-1	-1.66272E-10
6.94682E-2	2.48930E+0	8.04589E-6	9.99976E-1	6.89013E-10
7.01235E-2	2.48998E+0	5.94888E-6	1.00000E+0	-8.73515E-11
7.07789E-2	2.48998E+0	1.55165E-5	1.00007E+0	4.60335E-10
7.14342E-2	2.48863E+0	7.25951E-6	9.99925E-1	6.38142E-10
7.20896E-2	2.49065E+0	1.09293E-5	1.00005E+0	-6.88100E-11
7.27450E-2	2.48998E+0	8.96334E-6	9.99980E-1	6.90439E-10
7.34003E-2	2.48594E+0	1.10604E-5	1.00007E+0	-2.60221E-11
7.40557E-2	2.49132E+0	1.22399E-5	9.99902E-1	-7.54659E-11
7.47110E-2	2.49267E+0	1.40748E-5	1.00005E+0	1.39787E-9
7.53664E-2	2.49132E+0	8.43908E-6	9.99921E-1	-6.01758E-10
7.60218E-2	2.48930E+0	1.82688E-5	1.00004E+0	8.61775E-11
7.66771E-2	2.48796E+0	9.35653E-6	9.99965E-1	9.70462E-10
7.73325E-2	2.48863E+0	7.78377E-6	1.00007E+0	8.98198E-10
7.79878E-2	2.49065E+0	9.35653E-6	1.00001E+0	2.21673E-10
7.86432E-2	2.49065E+0	1.15846E-5	9.99952E-1	-2.20470E-10
7.92986E-2	2.49132E+0	5.81781E-6	1.00006E+0	-2.25096E-12
7.99539E-2	2.48930E+0	1.05361E-5	1.00001E+0	1.26713E-9
8.06093E-2	2.48796E+0	8.30802E-6	1.00003E+0	1.03293E-10
8.12646E-2	2.49199E+0	2.54773E-5	9.99957E-1	6.48126E-10
8.19200E-2	2.48729E+0	6.21101E-6	9.99992E-1	-5.23313E-10
8.25754E-2	2.49132E+0	9.88078E-6	9.99950E-1	1.01468E-9
8.32307E-2	2.48930E+0	1.63029E-5	1.00011E+0	1.58917E-10
8.38861E-2	2.48796E+0	4.90037E-6	9.99868E-1	5.55419E-10
