## Header ##
[General info]
User	Giorgos_Psaltakis
Device	Sample
Cell area (cm2)	1
Test	Pulsed
Date	2024-03-03
Time	04:04:38
Temperature	21.35
Note	

[Acquisition Settings]
Amplitude (V)	2.000
Frequency (Hz)	5.0
DC Offset (V)	1.000
Duty Cycle (%)	50
Phase (°)	0
Cycles	1

## Data ##
Time (s)	DC Channel Voltage (V)	DC Channel Current (A)	Pulse Channel Voltage (V)	Pulse Channel Current (A)
0.00000E+0	1.99319E+0	6.73526E-6	1.00418E+0	-1.63287E-7
6.55360E-4	1.99211E+0	1.00118E-5	9.99946E-1	-1.42768E-8
1.31072E-3	1.99211E+0	6.73526E-6	1.00001E+0	-8.35066E-9
1.96608E-3	1.99265E+0	1.13225E-5	1.00006E+0	-6.03726E-9
2.62144E-3	1.99184E+0	5.68675E-6	1.00001E+0	-5.45629E-9
3.27680E-3	1.99157E+0	9.61866E-6	9.99944E-1	-4.51971E-9
3.93216E-3	1.99238E+0	5.68675E-6	9.99973E-1	-3.18092E-9
4.58752E-3	1.99211E+0	9.22547E-6	1.00002E+0	-2.61089E-9
5.24288E-3	1.99211E+0	8.43908E-6	9.99961E-1	-1.30015E-9
5.89824E-3	1.99319E+0	9.09440E-6	1.00001E+0	-1.90584E-9
6.55360E-3	1.99292E+0	1.06672E-5	9.99990E-1	-1.67003E-9
7.20896E-3	1.99238E+0	4.90037E-6	1.00004E+0	6.37192E-10
7.86432E-3	1.99211E+0	1.07982E-5	9.99961E-1	3.34900E-9
8.51968E-3	1.99077E+0	1.22399E-5	9.99950E-1	1.14245E-8
9.17504E-3	1.99292E+0	1.17157E-5	9.99853E-1	1.96080E-8
9.83040E-3	1.99373E+0	6.86632E-6	1.00007E+0	2.86091E-8
1.04858E-2	1.99238E+0	9.68465E-7	9.99857E-1	3.28052E-8
1.11411E-2	1.99346E+0	-4.73234E-7	1.00013E+0	3.61165E-8
1.17965E-2	1.99265E+0	1.86620E-5	9.99902E-1	3.57319E-8
1.24518E-2	1.99346E+0	1.82688E-5	1.00008E+0	3.25951E-8
1.31072E-2	1.99373E+0	1.82084E-7	9.99914E-1	3.00406E-8
1.37626E-2	1.99265E+0	9.09440E-6	1.00014E+0	2.97677E-8
1.44179E-2	1.99292E+0	1.18467E-5	9.99940E-1	2.86847E-8
1.50733E-2	1.99265E+0	9.88078E-6	1.00002E+0	2.85896E-8
1.57286E-2	1.99346E+0	1.02740E-5	1.00004E+0	2.61265E-8
1.63840E-2	1.99184E+0	7.39058E-6	9.99963E-1	2.66651E-8
1.70394E-2	1.99184E+0	5.94888E-6	1.00010E+0	2.33072E-8
1.76947E-2	1.99130E+0	1.11914E-5	9.99895E-1	2.26440E-8
1.83501E-2	1.99292E+0	1.09293E-5	1.00009E+0	1.97753E-8
1.90054E-2	1.99346E+0	7.39058E-6	9.99957E-1	1.99774E-8
1.96608E-2	1.99319E+0	1.10604E-5	1.00006E+0	1.82849E-8
2.03162E-2	1.99292E+0	1.22399E-5	9.99929E-1	1.77129E-8
2.09715E-2	1.99427E+0	-4.73234E-7	1.00014E+0	1.64202E-8
2.16269E-2	1.99265E+0	1.30263E-5	9.99921E-1	1.51338E-8
2.22822E-2	1.99265E+0	7.78377E-6	1.00005E+0	1.35853E-8
2.29376E-2	1.99373E+0	3.98293E-6	1.00001E+0	1.24666E-8
2.35930E-2	1.99238E+0	1.17157E-5	1.00001E+0	1.18766E-8
2.42483E-2	1.99319E+0	9.74972E-6	9.99914E-1	1.14782E-8
2.49037E-2	1.99238E+0	2.01037E-5	1.00008E+0	1.05997E-8
2.55590E-2	1.99346E+0	1.18467E-5	9.99999E-1	9.95974E-9
2.62144E-2	1.99346E+0	1.83999E-5	9.99925E-1	1.00234E-8
2.68698E-2	1.99535E+0	1.57786E-5	1.00007E+0	9.90507E-9
2.75251E-2	1.99238E+0	1.07982E-5	9.99995E-1	6.74589E-9
2.81805E-2	1.99184E+0	8.17696E-6	1.00000E+0	9.66973E-9
2.88358E-2	1.99265E+0	1.07982E-5	1.00001E+0	5.96810E-9
2.94912E-2	1.99238E+0	1.61718E-5	9.99946E-1	7.67011E-9
3.01466E-2	1.99238E+0	1.00118E-5	1.00008E+0	6.69644E-9
3.08019E-2	1.99184E+0	1.06672E-5	9.99999E-1	5.02534E-9
3.14573E-2	1.99319E+0	1.04050E-5	9.99990E-1	5.47081E-9
3.21126E-2	1.99238E+0	7.91483E-6	9.99965E-1	5.77698E-9
3.27680E-2	1.99346E+0	8.96334E-6	1.00003E+0	4.44057E-9
3.34234E-2	1.99238E+0	7.12845E-6	1.00000E+0	4.09446E-9
3.40787E-2	1.99050E+0	9.74972E-6	9.99965E-1	5.45987E-9
3.47341E-2	1.99238E+0	1.07982E-5	1.00001E+0	4.84610E-9
3.53894E-2	1.99157E+0	7.65270E-6	9.99995E-1	3.15027E-9
3.60448E-2	1.99292E+0	1.01429E-5	1.00007E+0	5.76747E-9
3.67002E-2	1.99077E+0	7.91483E-6	9.99925E-1	4.75720E-9
3.73555E-2	1.99562E+0	6.86632E-6	1.00001E+0	4.71393E-9
3.80109E-2	1.99130E+0	7.91483E-6	1.00004E+0	2.98245E-9
3.86662E-2	1.99319E+0	1.98416E-5	1.00005E+0	4.89555E-9
3.93216E-2	1.99157E+0	9.61866E-6	9.99840E-1	4.21427E-9
3.99770E-2	1.99265E+0	8.43908E-6	1.00015E+0	4.03646E-9
4.06323E-2	1.99211E+0	6.21101E-6	9.99878E-1	3.44266E-9
4.12877E-2	1.99319E+0	9.48759E-6	1.00013E+0	4.90601E-9
4.19430E-2	1.99184E+0	6.73526E-6	9.99935E-1	3.91237E-9
4.25984E-2	1.99157E+0	7.65270E-6	1.00001E+0	3.67419E-9
4.32538E-2	1.99238E+0	1.07982E-5	9.99954E-1	3.66468E-9
4.39091E-2	1.99077E+0	6.73526E-6	1.00007E+0	3.96847E-9
4.45645E-2	1.99238E+0	8.96334E-6	9.99971E-1	3.77498E-9
4.52198E-2	1.99211E+0	9.09440E-6	1.00003E+0	3.24060E-9
4.58752E-2	1.99400E+0	6.34207E-6	9.99921E-1	3.39084E-9
4.65306E-2	1.99346E+0	1.13225E-5	1.00000E+0	3.46072E-9
4.71859E-2	1.99265E+0	1.10604E-5	1.00005E+0	3.92616E-9
4.78413E-2	1.99427E+0	1.87931E-5	9.99893E-1	3.31382E-9
4.84966E-2	1.99211E+0	7.39058E-6	1.00006E+0	4.26989E-9
4.91520E-2	1.99373E+0	1.01429E-5	9.99919E-1	2.75567E-9
4.98074E-2	1.99346E+0	2.36425E-5	1.00008E+0	3.89621E-9
5.04627E-2	1.99104E+0	9.22547E-6	9.99961E-1	2.60306E-9
5.11181E-2	1.99319E+0	1.51233E-5	1.00002E+0	3.97275E-9
5.17734E-2	1.99184E+0	1.15846E-5	1.00001E+0	2.22463E-9
5.24288E-2	1.99292E+0	1.21089E-5	1.00001E+0	4.32599E-9
5.30842E-2	1.99211E+0	1.35506E-5	9.99988E-1	1.71450E-9
5.37395E-2	1.99427E+0	8.70121E-6	1.00012E+0	3.83678E-9
5.43949E-2	1.99211E+0	7.52164E-6	9.99849E-1	3.23632E-9
5.50502E-2	1.99238E+0	9.35653E-6	1.00013E+0	2.97009E-9
5.57056E-2	1.99238E+0	5.29356E-6	9.99965E-1	3.11129E-9
5.63610E-2	1.99292E+0	9.35653E-6	9.99976E-1	3.87814E-9
5.70163E-2	1.99184E+0	1.09293E-5	1.00001E+0	2.90828E-9
5.76717E-2	1.99400E+0	8.83228E-6	9.99935E-1	1.94460E-9
5.83270E-2	1.99238E+0	9.48759E-6	1.00003E+0	4.22900E-9
5.89824E-2	1.99265E+0	9.74972E-6	9.99944E-1	2.90353E-9
5.96378E-2	1.99373E+0	2.80335E-6	1.00016E+0	3.19591E-9
6.02931E-2	1.99238E+0	1.28952E-5	9.99946E-1	3.09275E-9
6.09485E-2	1.99265E+0	7.52164E-6	9.99935E-1	2.17994E-9
6.16038E-2	1.99265E+0	1.00118E-5	1.00011E+0	3.40605E-9
6.22592E-2	1.99211E+0	8.83228E-6	9.99857E-1	3.35756E-9
6.29146E-2	1.99077E+0	2.54123E-6	1.00007E+0	3.53441E-9
6.35699E-2	1.99157E+0	1.02740E-5	1.00002E+0	1.83668E-9
6.42253E-2	1.99265E+0	1.32884E-5	1.00001E+0	3.41841E-9
6.48806E-2	1.99265E+0	7.65270E-6	9.99944E-1	3.59527E-9
6.55360E-2	1.99211E+0	9.74972E-6	1.00001E+0	2.50845E-9
6.61914E-2	1.99265E+0	1.17157E-5	1.00002E+0	2.27692E-9
6.68467E-2	1.99104E+0	8.96334E-6	1.00001E+0	2.70480E-9
