## Header ##
[General info]
User	Giorgos_Psaltakis
Device	Sample
Cell area (cm2)	1
Test	Pulsed
Date	2024-03-03
Time	04:02:28
Temperature	21.36
Note	

[Acquisition Settings]
Amplitude (V)	2.000
Frequency (Hz)	10.0
DC Offset (V)	1.000
Duty Cycle (%)	40
Phase (°)	0
Cycles	10

## Data ##
Time (s)	DC Channel Voltage (V)	DC Channel Current (A)	Pulse Channel Voltage (V)	Pulse Channel Current (A)
0.00000E+0	1.99292E+0	1.83999E-5	1.00422E+0	-1.65942E-7
6.55360E-4	1.99238E+0	1.14535E-5	9.99900E-1	-1.48815E-8
1.31072E-3	1.99292E+0	1.10604E-5	1.00001E+0	-8.08442E-9
1.96608E-3	1.99427E+0	-2.70131E-6	9.99589E-1	1.57490E-8
2.62144E-3	1.99292E+0	5.16250E-6	9.99707E-1	1.01260E-7
3.27680E-3	1.99373E+0	1.04050E-5	1.00002E+0	1.15691E-7
3.93216E-3	1.99292E+0	2.02348E-5	1.00013E+0	9.63239E-8
4.58752E-3	1.99508E+0	3.32761E-6	1.00024E+0	7.33962E-8
5.24288E-3	1.99427E+0	1.06672E-5	1.00008E+0	5.07058E-8
5.89824E-3	1.99427E+0	8.43908E-6	9.99931E-1	3.82854E-8
6.55360E-3	1.99346E+0	-1.25961E-6	1.00010E+0	2.92229E-8
7.20896E-3	1.99454E+0	1.31574E-5	1.00011E+0	2.10903E-8
7.86432E-3	1.99319E+0	1.01429E-5	9.99900E-1	1.65990E-8
8.51968E-3	1.99292E+0	9.09440E-6	1.00003E+0	1.35335E-8
9.17504E-3	1.99319E+0	1.09293E-5	1.00007E+0	1.15652E-8
9.83040E-3	1.99346E+0	3.19654E-6	9.99997E-1	9.38686E-9
1.04858E-2	1.99130E+0	2.20697E-5	9.99952E-1	8.01764E-9
1.11411E-2	1.99265E+0	1.00118E-5	1.00008E+0	7.41433E-9
1.17965E-2	1.99373E+0	2.12833E-5	9.99940E-1	8.59480E-9
1.24518E-2	1.99265E+0	1.38127E-5	1.00007E+0	7.15475E-9
1.31072E-2	1.99319E+0	2.67229E-6	9.99935E-1	6.17776E-9
1.37626E-2	1.99346E+0	9.61866E-6	1.00012E+0	4.81853E-9
1.44179E-2	1.99319E+0	1.25021E-5	9.99925E-1	4.93168E-9
1.50733E-2	1.99238E+0	1.48612E-5	1.00005E+0	3.41175E-9
1.57286E-2	1.99319E+0	1.09293E-5	9.99912E-1	3.84011E-9
1.63840E-2	1.99346E+0	6.99739E-6	1.00010E+0	3.64756E-9
1.70394E-2	1.99130E+0	6.86632E-6	9.99878E-1	3.32000E-9
1.76947E-2	1.99319E+0	1.30263E-5	1.00007E+0	3.66373E-9
1.83501E-2	1.99346E+0	1.02740E-5	9.99997E-1	3.70034E-9
1.90054E-2	1.99265E+0	1.44680E-5	1.00009E+0	1.99357E-9
1.96608E-2	1.99292E+0	3.45867E-6	9.99838E-1	2.70813E-9
2.03162E-2	1.99238E+0	6.73526E-6	1.00010E+0	1.94365E-9
2.09715E-2	1.99373E+0	8.57015E-6	9.99995E-1	2.59498E-9
2.16269E-2	1.99481E+0	1.01429E-5	9.99984E-1	2.81843E-9
2.22822E-2	1.99346E+0	1.07982E-5	1.00001E+0	2.37724E-9
2.29376E-2	1.99238E+0	8.70121E-6	1.00001E+0	1.11499E-9
