## Header ##
[General info]
User	Giorgos_Psaltakis
Device	Sample
Cell area (cm2)	1
Test	Pulsed
Date	2024-03-03
Time	04:19:53
Temperature	21.33
Note	

[Acquisition Settings]
Amplitude (V)	2.500
Frequency (Hz)	1.2
DC Offset (V)	1.250
Duty Cycle (%)	40
Phase (°)	0
Cycles	2

## Data ##
Time (s)	DC Channel Voltage (V)	DC Channel Current (A)	Pulse Channel Voltage (V)	Pulse Channel Current (A)
0.00000E+0	2.49199E+0	1.07982E-5	1.11982E-1	-2.12418E-7
6.55360E-4	2.48662E+0	1.05361E-5	9.99779E-2	-2.01340E-8
1.31072E-3	2.49401E+0	9.22547E-6	9.99737E-2	-1.68702E-8
1.96608E-3	2.48930E+0	1.40748E-5	9.78959E-2	4.71406E-8
2.62144E-3	2.49132E+0	2.67229E-6	1.00842E-1	3.44856E-7
3.27680E-3	2.49199E+0	1.09293E-5	1.00692E-1	1.31074E-7
3.93216E-3	2.49065E+0	9.61866E-6	1.00257E-1	5.54082E-8
4.58752E-3	2.49267E+0	1.83999E-5	1.00117E-1	2.44511E-8
5.24288E-3	2.49065E+0	1.31574E-5	1.00039E-1	1.29002E-8
5.89824E-3	2.49401E+0	8.43908E-6	1.00050E-1	7.95726E-9
6.55360E-3	2.49334E+0	1.11914E-5	9.99167E-2	4.79333E-9
7.20896E-3	2.49132E+0	7.25951E-6	1.00065E-1	3.28006E-9
7.86432E-3	2.49065E+0	1.01429E-5	1.00016E-1	2.75425E-9
8.51968E-3	2.49132E+0	1.15846E-5	9.99674E-2	1.14779E-9
9.17504E-3	2.49132E+0	8.57015E-6	9.99990E-2	1.58423E-9
9.83040E-3	2.48998E+0	7.52164E-6	1.00016E-1	1.25144E-9
1.04858E-2	2.48930E+0	9.35653E-6	1.00026E-1	1.82213E-10
1.11411E-2	2.49199E+0	8.04589E-6	1.00039E-1	2.93937E-10
1.17965E-2	2.48998E+0	7.78377E-6	9.99695E-2	1.52433E-9
1.24518E-2	2.48998E+0	1.13225E-5	1.00067E-1	-2.90357E-10
1.31072E-2	2.48998E+0	1.39438E-5	9.98787E-2	1.25476E-9
1.37626E-2	2.48863E+0	1.97105E-5	1.00031E-1	-1.16133E-9
1.44179E-2	2.49199E+0	7.52164E-6	1.00056E-1	6.37667E-10
1.50733E-2	2.49199E+0	1.19778E-5	9.99420E-2	-2.04781E-10
1.57286E-2	2.49267E+0	1.55165E-5	9.99779E-2	7.76015E-10
1.63840E-2	2.49132E+0	6.86632E-6	1.00052E-1	1.05854E-11
1.70394E-2	2.49065E+0	6.99739E-6	1.00039E-1	-1.44325E-9
1.76947E-2	2.49132E+0	1.26331E-5	9.99864E-2	7.13259E-10
1.83501E-2	2.49065E+0	-2.17706E-6	9.99188E-2	-5.83217E-10
1.90054E-2	2.49267E+0	1.18467E-5	1.00060E-1	-1.07195E-9
1.96608E-2	2.48729E+0	1.42059E-5	1.00043E-1	3.05532E-11
2.03162E-2	2.48998E+0	1.06672E-5	9.99315E-2	6.00584E-10
2.09715E-2	2.48863E+0	3.06548E-6	1.00041E-1	-1.40332E-9
2.16269E-2	2.49199E+0	5.42462E-6	9.99927E-2	9.86627E-10
2.22822E-2	2.49065E+0	8.83228E-6	9.99948E-2	-5.52790E-10
2.29376E-2	2.49065E+0	8.30802E-6	9.99653E-2	-3.86392E-10
2.35930E-2	2.49065E+0	5.42462E-6	1.00058E-1	-1.21933E-9
2.42483E-2	2.48863E+0	6.07994E-6	9.99378E-2	-1.42500E-10
2.49037E-2	2.48998E+0	4.44211E-7	1.00075E-1	-3.12517E-11
2.55590E-2	2.48998E+0	1.48612E-5	9.99864E-2	-1.22551E-9
2.62144E-2	2.49132E+0	1.13225E-5	9.99948E-2	-1.04942E-10
2.68698E-2	2.48998E+0	6.99739E-6	9.99822E-2	6.05814E-10
2.75251E-2	2.48998E+0	5.42462E-6	9.99505E-2	-1.34627E-9
2.81805E-2	2.49334E+0	6.60420E-6	1.00054E-1	-4.42492E-10
2.88358E-2	2.49132E+0	8.70121E-6	1.00010E-1	-4.76247E-10
2.94912E-2	2.49132E+0	1.17157E-5	1.00003E-1	2.83953E-10
3.01466E-2	2.48930E+0	1.31574E-5	9.99632E-2	-9.77341E-10
3.08019E-2	2.48998E+0	6.07994E-6	9.99188E-2	4.38650E-11
3.14573E-2	2.48863E+0	2.39046E-5	1.00060E-1	-6.68317E-10
3.21126E-2	2.49132E+0	1.22399E-5	9.99969E-2	-5.43281E-10
3.27680E-2	2.49267E+0	8.70121E-6	1.00003E-1	-1.81960E-10
3.34234E-2	2.49065E+0	1.59097E-5	1.00022E-1	-4.42492E-10
3.40787E-2	2.48796E+0	8.83228E-6	1.00001E-1	-1.81123E-9
3.47341E-2	2.49132E+0	8.30802E-6	9.99336E-2	3.21987E-10
3.53894E-2	2.49132E+0	1.26331E-5	1.00090E-1	-1.35388E-9
3.60448E-2	2.49065E+0	1.05361E-5	9.99547E-2	1.07743E-9
3.67002E-2	2.49132E+0	1.11914E-5	1.00050E-1	-1.73802E-9
3.73555E-2	2.48930E+0	1.78757E-5	9.99568E-2	-4.36311E-10
3.80109E-2	2.49065E+0	7.78377E-6	1.00012E-1	6.32913E-10
3.86662E-2	2.48863E+0	1.07982E-5	1.00037E-1	-1.59254E-9
3.93216E-2	2.49132E+0	1.04050E-5	9.98935E-2	-4.52476E-10
3.99770E-2	2.48930E+0	4.90037E-6	1.00166E-1	-1.92420E-10
4.06323E-2	2.49267E+0	1.72203E-5	9.98724E-2	1.08047E-10
4.12877E-2	2.48930E+0	1.60408E-5	1.00016E-1	-7.80517E-10
4.19430E-2	2.48930E+0	9.88078E-6	1.00056E-1	-5.31871E-10
4.25984E-2	2.49065E+0	1.05361E-5	9.99315E-2	-2.31404E-10
4.32538E-2	2.48998E+0	8.30802E-6	9.99906E-2	-1.07385E-9
4.39091E-2	2.49065E+0	1.02740E-5	1.00103E-1	6.09802E-11
4.45645E-2	2.48930E+0	9.22547E-6	9.99146E-2	-1.34484E-9
4.52198E-2	2.49065E+0	8.30802E-6	1.00086E-1	-1.13471E-9
4.58752E-2	2.49199E+0	1.27642E-5	9.99441E-2	4.76683E-11
4.65306E-2	2.48930E+0	1.63029E-5	9.99990E-2	-1.16513E-9
4.71859E-2	2.49199E+0	1.14535E-5	9.99505E-2	-3.82589E-10
4.78413E-2	2.49267E+0	8.57015E-6	1.00094E-1	8.17376E-10
4.84966E-2	2.48998E+0	9.22547E-6	1.00012E-1	-1.45134E-9
4.91520E-2	2.49132E+0	1.47301E-5	9.98808E-2	-2.48044E-10
4.98074E-2	2.48998E+0	6.73526E-6	1.00096E-1	-1.24786E-9
5.04627E-2	2.48930E+0	1.21089E-5	9.99019E-2	-3.79076E-11
5.11181E-2	2.48930E+0	6.60420E-6	1.00141E-1	-9.21057E-11
5.17734E-2	2.49132E+0	9.22547E-6	9.99885E-2	-1.18748E-9
5.24288E-2	2.49065E+0	1.27642E-5	9.99230E-2	-2.54225E-10
5.30842E-2	2.48863E+0	1.28952E-5	9.99927E-2	-8.24699E-13
5.37395E-2	2.48930E+0	8.57015E-6	9.99990E-2	-5.10952E-10
5.43949E-2	2.49065E+0	6.21101E-6	1.00058E-1	-1.57209E-9
5.50502E-2	2.49065E+0	1.43369E-5	9.99441E-2	3.89497E-10
5.57056E-2	2.48930E+0	1.04050E-5	9.99779E-2	-1.37746E-10
5.63610E-2	2.48930E+0	1.21089E-5	1.00084E-1	-8.32338E-10
5.70163E-2	2.49065E+0	1.32884E-5	9.99420E-2	-1.67811E-9
5.76717E-2	2.48998E+0	6.21101E-6	1.00003E-1	7.98360E-10
5.83270E-2	2.49132E+0	1.15846E-5	9.99463E-2	-1.42994E-9
5.89824E-2	2.48863E+0	7.91483E-6	1.00088E-1	-1.99551E-10
5.96378E-2	2.49199E+0	1.90552E-5	9.99885E-2	3.02019E-10
6.02931E-2	2.48930E+0	9.74972E-6	9.99209E-2	-1.51457E-9
6.09485E-2	2.48930E+0	8.43908E-6	1.00113E-1	-7.05875E-10
6.16038E-2	2.48998E+0	7.78377E-6	9.99125E-2	-6.30759E-10
6.22592E-2	2.48998E+0	1.13225E-5	1.00067E-1	-6.47399E-10
6.29146E-2	2.48729E+0	1.42059E-5	1.00016E-1	7.01374E-10
6.35699E-2	2.49065E+0	8.70121E-6	9.99969E-2	-7.98107E-10
6.42253E-2	2.49401E+0	1.05361E-5	1.00052E-1	-9.15061E-10
6.48806E-2	2.49401E+0	-4.53620E-6	9.99357E-2	-1.02060E-9
6.55360E-2	2.48863E+0	9.35653E-6	9.99357E-2	-4.01130E-10
6.61914E-2	2.49065E+0	1.15846E-5	1.00067E-1	-8.33764E-10
6.68467E-2	2.48863E+0	1.32884E-5	1.00039E-1	1.71753E-10
6.75021E-2	2.48796E+0	6.60420E-6	9.99906E-2	-3.76408E-10
6.81574E-2	2.49199E+0	1.91863E-5	9.99779E-2	-2.05256E-10
6.88128E-2	2.48863E+0	8.83228E-6	9.99589E-2	-1.39648E-10
6.94682E-2	2.48998E+0	6.73526E-6	1.00054E-1	-2.25052E-9
7.01235E-2	2.49132E+0	1.30263E-5	9.99653E-2	-5.38052E-10
7.07789E-2	2.49199E+0	9.48759E-6	1.00033E-1	1.96475E-10
7.14342E-2	2.49065E+0	6.07994E-6	9.99990E-2	-3.18407E-10
7.20896E-2	2.48796E+0	8.57015E-6	9.98850E-2	-1.15515E-9
7.27450E-2	2.48796E+0	8.43908E-6	1.00090E-1	4.12792E-10
7.34003E-2	2.48930E+0	1.26331E-5	9.99357E-2	-9.04126E-10
7.40557E-2	2.49132E+0	8.30802E-6	1.00124E-1	-9.15537E-10
7.47110E-2	2.48930E+0	4.37612E-6	9.99188E-2	-8.11419E-10
7.53664E-2	2.48930E+0	8.57015E-6	9.99632E-2	1.96184E-11
7.60218E-2	2.49267E+0	3.45867E-6	1.00109E-1	-5.95578E-10
7.66771E-2	2.48998E+0	1.23059E-6	9.99294E-2	-3.20308E-10
7.73325E-2	2.49132E+0	1.15846E-5	9.99843E-2	-4.54853E-10
7.79878E-2	2.48729E+0	2.58705E-5	1.00041E-1	-1.56591E-9
7.86432E-2	2.48863E+0	1.02740E-5	9.99040E-2	-2.19519E-10
7.92986E-2	2.48863E+0	4.11399E-6	1.00052E-1	1.72413E-11
7.99539E-2	2.48796E+0	8.04589E-6	9.99864E-2	-1.57162E-9
8.06093E-2	2.48998E+0	3.06548E-6	1.00043E-1	4.60335E-10
8.12646E-2	2.49065E+0	3.13147E-7	9.99969E-2	-5.64675E-10
8.19200E-2	2.48930E+0	1.60408E-5	9.99399E-2	-1.45609E-9
8.25754E-2	2.49132E+0	1.01429E-5	9.99843E-2	8.68374E-12
8.32307E-2	2.48930E+0	1.25021E-5	1.00103E-1	1.05194E-10
8.38861E-2	2.48729E+0	6.60420E-6	9.99800E-2	-2.32516E-9
8.45414E-2	2.48930E+0	9.09440E-6	9.99737E-2	1.06460E-9
8.51968E-2	2.49199E+0	8.83228E-6	1.00046E-1	-1.15895E-9
8.58522E-2	2.49199E+0	7.91483E-6	9.99758E-2	-3.00341E-10
8.65075E-2	2.49065E+0	8.70121E-6	9.99864E-2	-1.34532E-9
8.71629E-2	2.49334E+0	1.15846E-5	9.99843E-2	1.35621E-10
8.78182E-2	2.48863E+0	1.87931E-5	1.00054E-1	-1.84166E-9
8.84736E-2	2.49199E+0	1.69582E-5	9.99948E-2	2.08361E-10
8.91290E-2	2.49199E+0	1.17157E-5	9.99420E-2	7.25747E-12
8.97843E-2	2.49132E+0	1.15846E-5	9.99843E-2	-9.95407E-10
9.04397E-2	2.48863E+0	9.09440E-6	1.00005E-1	-8.04288E-10
9.10950E-2	2.48998E+0	2.01697E-6	9.99822E-2	5.24226E-11
9.17504E-2	2.48930E+0	3.98293E-6	1.00067E-1	-1.43945E-9
9.24058E-2	2.49199E+0	8.96334E-6	9.99864E-2	1.43228E-10
9.30611E-2	2.48998E+0	1.60408E-5	9.99568E-2	-5.36625E-10
9.37165E-2	2.48998E+0	1.21089E-5	1.00016E-1	-8.13796E-10
9.43718E-2	2.49065E+0	1.59097E-5	1.00020E-1	-1.58665E-10
9.50272E-2	2.49132E+0	9.09440E-6	9.99885E-2	-1.01442E-9
