## Header ##
[General info]
User	Giorgos_Psaltakis
Device	Sample
Cell area (cm2)	1
Test	Pulsed
Date	2024-03-03
Time	03:58:43
Temperature	21.36
Note	

[Acquisition Settings]
Amplitude (V)	2.000
Frequency (Hz)	250.0
DC Offset (V)	1.000
Duty Cycle (%)	50
Phase (°)	0
Cycles	10

## Data ##
Time (s)	DC Channel Voltage (V)	DC Channel Current (A)	Pulse Channel Voltage (V)	Pulse Channel Current (A)
0.00000E+0	1.99346E+0	1.10604E-5	1.08305E+0	-6.80871E-7
4.00000E-5	1.99265E+0	8.37401E-7	9.24385E-1	-4.42797E-7
8.00000E-5	1.99265E+0	9.09440E-6	9.19228E-1	4.94007E-7
1.20000E-4	1.99508E+0	1.27642E-5	9.77955E-1	9.50737E-7
1.60000E-4	1.99292E+0	1.14535E-5	1.01530E+0	8.99827E-7
2.00000E-4	1.99292E+0	7.25951E-6	1.02156E+0	6.67924E-7
2.40000E-4	1.99157E+0	1.06672E-5	1.01523E+0	4.77629E-7
2.80000E-4	1.99265E+0	-8.00432E-8	1.00633E+0	3.81200E-7
3.20000E-4	1.99454E+0	1.01429E-5	1.00239E+0	3.41782E-7
3.60000E-4	1.99373E+0	8.43908E-6	1.00284E+0	3.18041E-7
4.00000E-4	1.99454E+0	1.10604E-5	1.00367E+0	2.84093E-7
4.40000E-4	1.99373E+0	6.73526E-6	1.00280E+0	2.44355E-7
4.80000E-4	1.99319E+0	6.86632E-6	1.00277E+0	2.20139E-7
5.20000E-4	1.99265E+0	1.09293E-5	1.00242E+0	1.90905E-7
5.60000E-4	1.99211E+0	3.58973E-6	1.00083E+0	1.73802E-7
6.00000E-4	1.99373E+0	9.09440E-6	1.00304E+0	1.52998E-7
6.40000E-4	1.99589E+0	7.52164E-6	1.00218E+0	1.28400E-7
6.80000E-4	1.99400E+0	1.32884E-5	1.00232E+0	1.00327E-7
7.20000E-4	1.99373E+0	1.11914E-5	1.00097E+0	8.92549E-8
7.60000E-4	1.99427E+0	5.68675E-6	9.98858E-1	9.36416E-8
8.00000E-4	1.99373E+0	9.88078E-6	1.00156E+0	8.24917E-8
8.40000E-4	1.99292E+0	4.63824E-6	1.00145E+0	7.33521E-8
8.80000E-4	1.99238E+0	1.61718E-5	1.00076E+0	5.68417E-8
9.20000E-4	1.99589E+0	8.30802E-6	1.00104E+0	4.71956E-8
9.60000E-4	1.99346E+0	7.65270E-6	1.00024E+0	4.69229E-8
1.00000E-3	1.99211E+0	8.70121E-6	1.00100E+0	3.44329E-8
1.04000E-3	1.99292E+0	-5.06046E-6	1.00048E+0	2.77944E-8
1.08000E-3	1.99400E+0	1.05361E-5	9.99515E-1	3.40979E-8
1.12000E-3	1.99346E+0	5.16250E-6	9.99723E-1	3.12461E-8
1.16000E-3	1.99346E+0	1.28952E-5	1.00111E+0	2.56050E-8
1.20000E-3	1.99346E+0	1.13225E-5	1.00028E+0	2.11871E-8
1.24000E-3	1.99373E+0	1.97105E-5	9.99723E-1	1.78523E-8
1.28000E-3	1.99319E+0	5.42462E-6	1.00090E+0	2.00417E-8
1.32000E-3	1.99562E+0	6.86632E-6	9.99480E-1	1.85224E-8
1.36000E-3	1.99373E+0	6.34207E-6	1.00066E+0	1.19696E-8
1.40000E-3	1.99427E+0	1.09293E-5	9.99169E-1	2.16235E-8
1.44000E-3	1.99238E+0	1.64340E-5	1.00055E+0	1.72368E-8
1.48000E-3	1.99238E+0	9.74972E-6	1.00118E+0	5.06622E-9
1.52000E-3	1.99292E+0	2.93442E-6	9.99584E-1	8.34650E-9
1.56000E-3	1.99265E+0	1.38127E-5	9.98719E-1	1.14554E-8
1.60000E-3	1.99346E+0	4.90037E-6	1.00059E+0	1.64342E-8
1.64000E-3	1.99481E+0	8.17696E-6	9.99550E-1	2.16702E-8
1.68000E-3	1.99265E+0	3.45867E-6	1.00086E+0	1.15956E-8
1.72000E-3	1.99373E+0	9.74972E-6	1.00028E+0	8.24521E-9
1.76000E-3	1.99616E+0	1.17157E-5	9.99515E-1	1.26787E-8
1.80000E-3	1.99319E+0	5.55569E-6	1.00069E+0	6.66351E-9
1.84000E-3	1.99427E+0	6.47313E-6	1.00052E+0	3.21181E-9
1.88000E-3	1.99481E+0	1.13225E-5	9.98477E-1	9.57758E-9
1.92000E-3	1.99292E+0	1.02740E-5	1.00048E+0	1.12684E-8
1.96000E-3	1.99346E+0	7.78377E-6	1.00111E+0	3.95202E-9
2.00000E-3	-8.76294E-3	1.22399E-5	6.54524E-1	8.68972E-7
2.04000E-3	-6.33567E-3	1.26331E-5	7.08787E-1	9.65845E-7
2.08000E-3	-7.68415E-3	8.70121E-6	8.31813E-1	9.63313E-7
2.12000E-3	-6.33567E-3	1.19778E-5	9.46810E-1	9.64638E-7
2.16000E-3	-7.14476E-3	8.17696E-6	1.03284E+0	7.77085E-7
2.20000E-3	-3.63871E-3	1.22399E-5	1.05392E+0	2.87887E-7
2.24000E-3	-5.25689E-3	1.15846E-5	1.21542E+0	-8.07087E-7
2.28000E-3	-4.98719E-3	6.34207E-6	1.42420E+0	-1.05624E-6
2.32000E-3	-6.60537E-3	9.48759E-6	1.55678E+0	-1.03238E-6
2.36000E-3	-4.71749E-3	4.63824E-6	1.62766E+0	-1.01501E-6
2.40000E-3	-6.60537E-3	2.28561E-5	1.65202E+0	-1.00248E-6
2.44000E-3	-5.25689E-3	8.96334E-6	1.63617E+0	-9.92248E-7
2.48000E-3	-7.41446E-3	9.22547E-6	1.59620E+0	-9.84386E-7
2.52000E-3	-5.25689E-3	9.22547E-6	1.53484E+0	-9.80405E-7
2.56000E-3	-7.14476E-3	1.11914E-5	1.46116E+0	-9.76104E-7
2.60000E-3	-5.25689E-3	1.14535E-5	1.37797E+0	-9.73524E-7
2.64000E-3	-6.60537E-3	8.17696E-6	1.28491E+0	-9.71281E-7
2.68000E-3	-6.33567E-3	1.11914E-5	1.18698E+0	-9.68842E-7
2.72000E-3	-4.44780E-3	8.43908E-6	1.08434E+0	-9.68795E-7
2.76000E-3	-6.87507E-3	1.38127E-5	9.88476E-1	-8.95678E-7
2.80000E-3	-5.25689E-3	9.88078E-6	9.57157E-1	-5.17075E-7
2.84000E-3	-6.87507E-3	9.35653E-6	9.73595E-1	-1.48733E-7
2.88000E-3	-7.14476E-3	1.00118E-5	9.93182E-1	-3.97208E-9
2.92000E-3	-7.14476E-3	7.12845E-6	1.00419E+0	-1.89944E-8
2.96000E-3	-6.06598E-3	4.90037E-6	1.00381E+0	-6.37651E-8
3.00000E-3	-6.87507E-3	1.11914E-5	9.99930E-1	-8.19897E-8
3.04000E-3	-6.33567E-3	2.80335E-6	9.98269E-1	-7.12217E-8
3.08000E-3	-7.41446E-3	1.83999E-5	9.97404E-1	-3.56295E-8
3.12000E-3	-7.68415E-3	5.75274E-7	9.98788E-1	-2.33577E-8
3.16000E-3	-7.95385E-3	2.11522E-5	1.00163E+0	-3.21311E-8
3.20000E-3	-5.25689E-3	-3.74982E-6	9.98788E-1	-2.41758E-8
3.24000E-3	-6.33567E-3	2.41667E-5	9.99896E-1	-2.32174E-8
3.28000E-3	-7.14476E-3	1.02740E-5	1.00076E+0	-2.52978E-8
3.32000E-3	-8.49324E-3	-7.35361E-7	9.99134E-1	-2.27343E-8
3.36000E-3	-7.68415E-3	6.73526E-6	9.99238E-1	-1.55037E-8
3.40000E-3	-7.14476E-3	5.16250E-6	9.99584E-1	-1.06339E-8
3.44000E-3	-7.14476E-3	1.09293E-5	9.98892E-1	1.63790E-9
3.48000E-3	-6.60537E-3	1.11914E-5	1.00031E+0	4.06823E-10
3.52000E-3	-8.22355E-3	7.91483E-6	1.00125E+0	-7.09652E-9
3.56000E-3	-6.87507E-3	8.30802E-6	1.00045E+0	-1.39142E-8
3.60000E-3	-6.87507E-3	7.91483E-6	1.00048E+0	-2.25240E-8
3.64000E-3	-6.60537E-3	1.07982E-5	9.98546E-1	-1.11404E-8
3.68000E-3	-6.87507E-3	9.74972E-6	9.98650E-1	4.68443E-9
3.72000E-3	-7.41446E-3	1.00118E-5	1.00142E+0	-3.48900E-9
3.76000E-3	-4.44780E-3	1.62378E-6	9.99550E-1	-1.80600E-9
3.80000E-3	-6.33567E-3	4.63824E-6	9.98858E-1	3.87410E-9
3.84000E-3	-6.33567E-3	7.65270E-6	1.00142E+0	9.51577E-11
3.88000E-3	-6.33567E-3	1.17157E-5	1.00090E+0	-1.43038E-8
3.92000E-3	-5.79628E-3	9.88078E-6	9.97750E-1	-4.35387E-9
3.96000E-3	-6.06598E-3	1.05361E-5	1.00149E+0	1.52882E-9
4.00000E-3	1.99346E+0	1.04050E-5	1.33142E+0	-8.67028E-7
4.04000E-3	1.99562E+0	2.19386E-5	1.27962E+0	-9.67205E-7
4.08000E-3	1.99373E+0	1.09293E-5	1.16687E+0	-9.66161E-7
4.12000E-3	1.99319E+0	1.17157E-5	1.05122E+0	-9.62897E-7
4.16000E-3	1.99427E+0	1.32884E-5	9.67193E-1	-7.84710E-7
4.20000E-3	1.99373E+0	9.74972E-6	9.57538E-1	-3.15279E-7
4.24000E-3	1.99346E+0	-1.78387E-6	9.80551E-1	-1.75997E-8
4.28000E-3	1.99238E+0	6.21101E-6	1.00135E+0	4.36270E-8
4.32000E-3	1.99346E+0	7.78377E-6	1.00657E+0	-1.26130E-8
4.36000E-3	1.99427E+0	1.19778E-5	1.00367E+0	-7.28268E-8
4.40000E-3	1.99238E+0	6.07994E-6	9.04867E-1	3.47376E-7
4.44000E-3	1.99562E+0	5.10203E-8	6.98267E-1	1.05562E-6
4.48000E-3	1.99265E+0	7.25951E-6	5.52401E-1	1.03587E-6
4.52000E-3	1.99292E+0	1.48612E-5	4.72149E-1	1.01856E-6
4.56000E-3	1.99184E+0	8.83228E-6	4.37958E-1	1.00482E-6
4.60000E-3	1.99292E+0	8.70121E-6	4.40691E-1	9.96957E-7
4.64000E-3	1.99373E+0	1.22399E-5	4.65746E-1	9.89158E-7
4.68000E-3	1.99346E+0	1.09293E-5	5.11392E-1	9.84537E-7
4.72000E-3	1.99346E+0	7.78377E-6	5.75518E-1	9.79223E-7
4.76000E-3	1.99292E+0	5.55569E-6	6.45907E-1	9.77050E-7
4.80000E-3	1.99481E+0	8.17696E-6	7.25363E-1	9.75639E-7
4.84000E-3	1.99346E+0	1.07982E-5	8.15202E-1	9.72149E-7
4.88000E-3	1.99562E+0	2.93442E-6	9.08881E-1	9.69601E-7
4.92000E-3	1.99481E+0	1.04050E-5	1.00035E+0	9.34562E-7
4.96000E-3	1.99319E+0	9.22547E-6	1.03990E+0	6.08334E-7
5.00000E-3	1.99400E+0	7.52164E-6	1.02986E+0	2.33501E-7
5.04000E-3	1.99373E+0	1.43369E-5	1.00872E+0	5.25563E-8
5.08000E-3	1.99481E+0	7.65270E-6	9.97750E-1	4.53646E-8
5.12000E-3	1.99238E+0	5.03143E-6	9.97162E-1	8.45487E-8
5.16000E-3	1.99454E+0	7.52164E-6	1.00000E+0	8.84523E-8
5.20000E-3	1.99319E+0	1.25021E-5	1.00121E+0	8.31930E-8
5.24000E-3	1.99238E+0	1.00118E-5	1.00028E+0	7.36248E-8
5.28000E-3	1.99319E+0	8.96334E-6	1.00111E+0	6.28802E-8
5.32000E-3	1.99454E+0	7.65270E-6	1.00149E+0	5.28290E-8
5.36000E-3	1.99400E+0	8.96334E-6	1.00128E+0	3.57263E-8
5.40000E-3	1.99292E+0	8.43908E-6	1.00017E+0	2.82541E-8
5.44000E-3	1.99373E+0	5.29356E-6	9.99619E-1	3.49472E-8
5.48000E-3	1.99211E+0	5.94888E-6	9.98338E-1	4.40945E-8
5.52000E-3	1.99373E+0	1.72203E-5	1.00156E+0	4.06428E-8
5.56000E-3	1.99238E+0	1.09293E-5	1.00173E+0	2.43427E-8
5.60000E-3	1.99238E+0	6.34207E-6	9.99723E-1	1.64264E-8
5.64000E-3	1.99292E+0	8.96334E-6	9.99930E-1	1.68939E-8
5.68000E-3	1.99292E+0	3.19654E-6	9.98892E-1	3.22279E-8
5.72000E-3	1.99292E+0	1.32884E-5	1.00045E+0	2.61114E-8
5.76000E-3	1.99319E+0	8.70121E-6	1.00128E+0	1.89665E-8
5.80000E-3	1.99427E+0	1.49272E-6	1.00041E+0	1.11827E-8
5.84000E-3	1.99562E+0	1.09293E-5	1.00021E+0	4.83247E-9
5.88000E-3	1.99292E+0	1.28952E-5	9.99723E-1	1.01775E-8
5.92000E-3	1.99373E+0	1.06672E-5	9.98961E-1	1.30215E-8
