## Header ##
[General info]
User	Giorgos_Psaltakis
Device	Sample
Cell area (cm2)	1
Test	Pulsed
Date	2024-03-03
Time	04:01:28
Temperature	21.36
Note	

[Acquisition Settings]
Amplitude (V)	2.000
Frequency (Hz)	10.0
DC Offset (V)	1.000
Duty Cycle (%)	40
Phase (°)	0
Cycles	10

## Data ##
Time (s)	DC Channel Voltage (V)	DC Channel Current (A)	Pulse Channel Voltage (V)	Pulse Channel Current (A)
0.00000E+0	1.99454E+0	6.21101E-6	1.00420E+0	-1.64751E-7
6.55360E-4	1.99265E+0	1.21089E-5	9.99912E-1	-1.47993E-8
1.31072E-3	1.99319E+0	1.05361E-5	1.00006E+0	-7.36036E-9
1.96608E-3	1.99427E+0	8.83228E-6	9.99900E-1	-6.17133E-9
2.62144E-3	1.99157E+0	9.74972E-6	1.00005E+0	-6.22743E-9
3.27680E-3	1.99265E+0	8.17696E-6	9.99933E-1	-3.41626E-9
3.93216E-3	1.99346E+0	1.36816E-5	9.99946E-1	-3.96870E-9
4.58752E-3	1.99184E+0	1.15846E-5	1.00015E+0	-1.45657E-9
5.24288E-3	1.99238E+0	1.07982E-5	1.00002E+0	-2.76588E-9
5.89824E-3	1.99211E+0	1.27642E-5	9.99883E-1	-1.04105E-9
6.55360E-3	1.99292E+0	8.96334E-6	9.95617E-1	1.03548E-7
7.20896E-3	1.99130E+0	8.57015E-6	1.00349E+0	3.10046E-7
7.86432E-3	1.99265E+0	9.35653E-6	1.00059E+0	8.89996E-8
8.51968E-3	1.99130E+0	1.23710E-5	1.00024E+0	2.11830E-8
9.17504E-3	1.99481E+0	8.96334E-6	1.00010E+0	7.64158E-9
9.83040E-3	1.99292E+0	1.21089E-5	9.99823E-1	2.71581E-8
1.04858E-2	1.99319E+0	1.26331E-5	1.00002E+0	1.98980E-8
1.11411E-2	1.99265E+0	1.06672E-5	1.00007E+0	1.52597E-8
1.17965E-2	1.99238E+0	8.96334E-6	1.00002E+0	1.31570E-8
1.24518E-2	1.99238E+0	1.43369E-5	1.00003E+0	1.11492E-8
1.31072E-2	1.99292E+0	7.65270E-6	9.99906E-1	1.13542E-8
1.37626E-2	1.99265E+0	1.52544E-5	9.99986E-1	8.75787E-9
1.44179E-2	1.99454E+0	4.90037E-6	1.00011E+0	7.48232E-9
1.50733E-2	1.99427E+0	1.14535E-5	1.00002E+0	8.28530E-9
1.57286E-2	1.99346E+0	8.96334E-6	9.99971E-1	5.50076E-9
1.63840E-2	1.99319E+0	1.01429E-5	1.00003E+0	3.54630E-9
1.70394E-2	1.99184E+0	6.99739E-6	9.99971E-1	5.27541E-9
1.76947E-2	1.99184E+0	1.02740E-5	9.99967E-1	2.87405E-9
1.83501E-2	1.99292E+0	1.05361E-5	1.00005E+0	3.06707E-9
1.90054E-2	1.99211E+0	1.27642E-5	9.99988E-1	4.38114E-9
1.96608E-2	1.99265E+0	9.09440E-6	9.99999E-1	1.65792E-9
2.03162E-2	1.99319E+0	9.48759E-6	1.00006E+0	3.26770E-9
2.09715E-2	1.99400E+0	7.12845E-6	9.99992E-1	4.13915E-9
2.16269E-2	1.99157E+0	1.13225E-5	9.99984E-1	1.76347E-9
2.22822E-2	1.99211E+0	1.11914E-5	9.99969E-1	3.16073E-9
2.29376E-2	1.99238E+0	9.09440E-6	1.00001E+0	4.22615E-9
2.35930E-2	1.99292E+0	8.57015E-6	9.99946E-1	1.32655E-9
2.42483E-2	1.99211E+0	1.15846E-5	1.00006E+0	2.86930E-9
2.49037E-2	1.99211E+0	1.19778E-5	1.00001E+0	3.13221E-9
2.55590E-2	1.99319E+0	1.31574E-5	9.99973E-1	2.25220E-9
2.62144E-2	1.99346E+0	1.01429E-5	9.99952E-1	3.13458E-9
2.68698E-2	1.99427E+0	1.56476E-5	1.00008E+0	1.88517E-9
2.75251E-2	1.99265E+0	1.22399E-5	9.99982E-1	3.88575E-9
2.81805E-2	1.99292E+0	1.01429E-5	9.99969E-1	2.43904E-9
2.88358E-2	1.99319E+0	1.13225E-5	9.99961E-1	2.70480E-9
2.94912E-2	1.99265E+0	9.35653E-6	1.00006E+0	1.10643E-9
3.01466E-2	1.99292E+0	7.12845E-6	9.99944E-1	2.98055E-9
3.08019E-2	1.99319E+0	1.78757E-5	1.00011E+0	3.06565E-9
3.14573E-2	1.99238E+0	1.30263E-5	9.99914E-1	2.98197E-9
3.21126E-2	1.99238E+0	8.17696E-6	1.00006E+0	1.92178E-9
3.27680E-2	1.99238E+0	1.32884E-5	9.99946E-1	1.62940E-9
3.34234E-2	1.99373E+0	4.50718E-6	1.00003E+0	3.22254E-9
3.40787E-2	1.99211E+0	5.29356E-6	1.00002E+0	2.22986E-9
3.47341E-2	1.99265E+0	1.09293E-5	9.99923E-1	2.76043E-9
3.53894E-2	1.99238E+0	1.21089E-5	1.00005E+0	2.22843E-9
3.60448E-2	1.99292E+0	1.21089E-5	1.00008E+0	3.14552E-9
3.67002E-2	1.99346E+0	1.81378E-5	9.99904E-1	1.99405E-9
3.73555E-2	1.99319E+0	2.54123E-6	9.99992E-1	3.11414E-9
3.80109E-2	1.99346E+0	9.48759E-6	9.99976E-1	1.82480E-9
3.86662E-2	1.99319E+0	1.31574E-5	1.00002E+0	2.49229E-9
3.93216E-2	1.99400E+0	6.86632E-6	1.00007E+0	2.09388E-9
3.99770E-2	-4.71749E-3	1.51233E-5	1.01982E+0	-4.43050E-7
4.06323E-2	-7.68415E-3	1.73514E-5	9.99315E-1	-7.07526E-8
4.12877E-2	-7.41446E-3	2.41016E-6	9.99739E-1	-1.54102E-8
4.19430E-2	-5.79628E-3	5.81781E-6	9.99976E-1	3.25772E-9
4.25984E-2	-4.98719E-3	1.02740E-5	1.00001E+0	3.28957E-9
4.32538E-2	-5.79628E-3	7.25951E-6	1.00004E+0	3.42269E-9
4.39091E-2	-7.14476E-3	1.10604E-5	1.00003E+0	3.79209E-9
4.45645E-2	-6.87507E-3	9.09440E-6	9.99957E-1	2.51986E-9
4.52198E-2	-6.87507E-3	4.76931E-6	9.99990E-1	4.00270E-9
4.58752E-2	-6.87507E-3	1.04050E-5	1.00000E+0	1.90134E-9
4.65306E-2	-8.22355E-3	-1.91493E-6	9.99881E-1	3.78544E-9
4.71859E-2	-2.82962E-3	1.04050E-5	1.00010E+0	2.87405E-9
4.78413E-2	-7.68415E-3	1.26331E-5	9.99969E-1	3.19734E-9
4.84966E-2	-6.60537E-3	1.11914E-5	1.00005E+0	1.69358E-9
