## Header ##
[General info]
User	Giorgos_Psaltakis
Device	Sample
Cell area (cm2)	1
Test	Pulsed
Date	2024-03-03
Time	04:05:21
Temperature	21.35
Note	

[Acquisition Settings]
Amplitude (V)	2.000
Frequency (Hz)	5.0
DC Offset (V)	1.000
Duty Cycle (%)	50
Phase (°)	0
Cycles	3

## Data ##
Time (s)	DC Channel Voltage (V)	DC Channel Current (A)	Pulse Channel Voltage (V)	Pulse Channel Current (A)
0.00000E+0	1.99292E+0	1.49923E-5	1.00397E+0	-1.65111E-7
6.55360E-4	1.99373E+0	5.16250E-6	1.00004E+0	-1.39164E-8
1.31072E-3	1.99104E+0	1.14535E-5	9.99929E-1	-9.02481E-9
1.96608E-3	1.99184E+0	9.74972E-6	9.99992E-1	-6.48225E-9
2.62144E-3	1.99050E+0	1.61718E-5	1.00009E+0	-5.33030E-9
3.27680E-3	1.99292E+0	1.40748E-5	9.99874E-1	-4.81923E-9
3.93216E-3	1.99292E+0	9.35653E-6	9.99978E-1	-2.17588E-9
4.58752E-3	1.99211E+0	8.96334E-6	1.00011E+0	-4.39610E-9
5.24288E-3	1.99427E+0	9.22547E-6	9.99889E-1	-1.79317E-9
5.89824E-3	1.99211E+0	1.10604E-5	1.00008E+0	-2.95177E-9
6.55360E-3	1.99319E+0	7.78377E-6	9.99982E-1	-1.68667E-9
7.20896E-3	1.99077E+0	8.57015E-6	9.99976E-1	-1.21458E-9
7.86432E-3	1.99319E+0	1.47301E-5	9.99957E-1	-1.52550E-9
8.51968E-3	1.99346E+0	9.61866E-6	1.00009E+0	-1.33819E-9
9.17504E-3	1.99238E+0	6.73526E-6	9.99971E-1	-1.25451E-9
9.83040E-3	1.99130E+0	6.60420E-6	1.00002E+0	-1.24548E-9
1.04858E-2	1.99373E+0	9.22547E-6	9.99959E-1	-6.86859E-10
1.11411E-2	1.99130E+0	7.78377E-6	1.00001E+0	4.44170E-10
1.17965E-2	1.99292E+0	1.09293E-5	1.00007E+0	-1.06577E-9
1.24518E-2	1.99211E+0	9.61866E-6	9.99914E-1	-1.49935E-9
1.31072E-2	1.99104E+0	6.60420E-6	1.00000E+0	1.07743E-9
1.37626E-2	1.99157E+0	1.02740E-5	9.99992E-1	-4.64837E-10
1.44179E-2	1.99238E+0	9.48759E-6	9.99971E-1	-1.46119E-11
1.50733E-2	1.99346E+0	1.68271E-5	1.00007E+0	-1.34960E-9
1.57286E-2	1.99265E+0	1.61718E-5	9.99965E-1	8.23557E-10
1.63840E-2	1.99292E+0	9.88078E-6	1.00003E+0	4.38465E-10
1.70394E-2	1.99130E+0	8.83228E-6	1.00001E+0	-1.65006E-9
1.76947E-2	1.99265E+0	7.06338E-7	9.99919E-1	7.59375E-10
1.83501E-2	1.99130E+0	2.93442E-6	1.00001E+0	6.79980E-10
1.90054E-2	1.99400E+0	1.47301E-5	9.99952E-1	2.56379E-10
1.96608E-2	1.99400E+0	1.22399E-5	1.00012E+0	1.87442E-10
2.03162E-2	1.99292E+0	1.48612E-5	9.99916E-1	6.11043E-10
2.09715E-2	1.99292E+0	7.78377E-6	1.00009E+0	-5.63249E-10
2.16269E-2	1.99023E+0	9.48759E-6	9.99931E-1	3.73332E-10
2.22822E-2	1.99319E+0	1.05361E-5	1.00003E+0	9.56860E-11
2.29376E-2	1.99184E+0	1.10604E-5	1.00003E+0	-1.97174E-10
2.35930E-2	1.99211E+0	1.25021E-5	9.99940E-1	1.07030E-9
2.42483E-2	1.99211E+0	1.06672E-5	1.00004E+0	8.37820E-10
2.49037E-2	1.99319E+0	1.05361E-5	1.00002E+0	-4.92411E-10
2.55590E-2	1.99319E+0	6.47313E-6	9.99908E-1	1.00564E-9
2.62144E-2	1.99265E+0	1.09293E-5	1.00008E+0	-5.13805E-10
2.68698E-2	1.99292E+0	6.86632E-6	9.99961E-1	4.07087E-10
2.75251E-2	1.99265E+0	8.37401E-7	1.00003E+0	7.27997E-10
2.81805E-2	1.99265E+0	1.13225E-5	1.00001E+0	1.38741E-9
2.88358E-2	1.99184E+0	8.96334E-6	1.00001E+0	-5.74659E-10
2.94912E-2	1.99050E+0	1.23059E-6	9.99908E-1	1.82004E-9
3.01466E-2	1.99265E+0	2.08901E-5	1.00004E+0	-3.28390E-10
3.08019E-2	1.99319E+0	1.10604E-5	1.00006E+0	7.14685E-10
3.14573E-2	1.99373E+0	1.07982E-5	1.00002E+0	-1.67222E-10
3.21126E-2	1.99292E+0	8.04589E-6	9.99933E-1	1.91721E-10
3.27680E-2	1.99292E+0	1.11914E-5	1.00001E+0	2.02305E-9
3.34234E-2	1.99238E+0	1.28952E-5	9.99950E-1	-5.27117E-10
3.40787E-2	1.99211E+0	8.96334E-6	9.99999E-1	1.15540E-9
3.47341E-2	1.99265E+0	1.59097E-5	1.00007E+0	4.67941E-10
3.53894E-2	1.99238E+0	9.88078E-6	9.99995E-1	-9.85772E-12
3.60448E-2	1.99319E+0	5.68675E-6	9.99971E-1	6.48126E-10
3.67002E-2	1.99292E+0	1.40748E-5	9.99973E-1	-7.45151E-11
3.73555E-2	1.99292E+0	9.22547E-6	1.00000E+0	1.18155E-9
3.80109E-2	1.99292E+0	1.30263E-5	1.00001E+0	1.26570E-9
3.86662E-2	1.99346E+0	9.09440E-6	9.99957E-1	2.99167E-10
3.93216E-2	1.99346E+0	1.23710E-5	1.00005E+0	-1.15401E-10
3.99770E-2	1.99427E+0	8.17696E-6	1.00007E+0	1.54572E-9
4.06323E-2	1.99157E+0	9.74972E-6	9.99978E-1	8.74427E-10
4.12877E-2	1.99319E+0	8.30802E-6	9.99948E-1	9.29101E-10
4.19430E-2	1.99319E+0	9.09440E-6	9.99954E-1	-5.80364E-10
4.25984E-2	1.99211E+0	1.15846E-5	1.00014E+0	1.17965E-9
4.32538E-2	1.99427E+0	1.11914E-5	9.99988E-1	4.52912E-11
4.39091E-2	1.99373E+0	1.00118E-5	9.99967E-1	4.47023E-10
4.45645E-2	1.99373E+0	3.58973E-6	9.99954E-1	8.62542E-10
4.52198E-2	1.99319E+0	1.02740E-5	1.00002E+0	1.97170E-9
4.58752E-2	1.99211E+0	1.02740E-5	9.99950E-1	-1.12840E-11
4.65306E-2	1.99292E+0	8.17696E-6	1.00001E+0	1.25334E-9
4.71859E-2	1.99130E+0	1.11914E-5	9.99959E-1	-5.53265E-10
4.78413E-2	1.99211E+0	2.10212E-5	1.00007E+0	2.00070E-9
4.84966E-2	1.99184E+0	7.78377E-6	9.99940E-1	-2.81799E-10
4.91520E-2	1.99292E+0	7.52164E-6	1.00013E+0	5.19762E-10
4.98074E-2	1.99265E+0	1.01429E-5	9.99908E-1	1.53384E-9
5.04627E-2	1.99427E+0	2.54123E-6	1.00006E+0	4.60335E-10
5.11181E-2	1.99157E+0	8.83228E-6	9.99931E-1	4.89335E-10
5.17734E-2	1.99373E+0	1.15846E-5	1.00006E+0	1.64414E-9
5.24288E-2	1.99373E+0	1.69582E-5	9.99965E-1	7.43686E-10
5.30842E-2	1.99157E+0	1.32884E-5	9.99982E-1	2.73494E-10
5.37395E-2	1.99265E+0	1.19778E-5	9.99982E-1	7.88851E-10
5.43949E-2	1.99238E+0	9.22547E-6	1.00002E+0	6.82357E-10
5.50502E-2	1.99050E+0	3.32761E-6	1.00005E+0	9.32429E-10
5.57056E-2	1.99238E+0	1.01429E-5	1.00002E+0	8.34967E-10
5.63610E-2	1.99238E+0	1.01429E-5	9.99893E-1	8.29737E-10
5.70163E-2	1.99319E+0	3.98293E-6	1.00004E+0	8.93444E-10
5.76717E-2	1.99427E+0	1.10604E-5	1.00009E+0	3.28167E-10
5.83270E-2	1.99238E+0	1.01429E-5	9.99965E-1	7.44162E-10
5.89824E-2	1.99292E+0	1.82084E-7	9.99965E-1	2.65412E-10
5.96378E-2	1.99157E+0	1.19778E-5	1.00001E+0	6.03437E-10
6.02931E-2	1.99238E+0	7.12845E-6	9.99919E-1	1.49771E-9
6.09485E-2	1.99454E+0	8.70121E-6	1.00003E+0	1.24906E-9
6.16038E-2	1.99184E+0	1.15846E-5	1.00009E+0	-1.53435E-10
6.22592E-2	1.99077E+0	7.52164E-6	9.99946E-1	1.38218E-9
6.29146E-2	1.99319E+0	1.00118E-5	1.00006E+0	8.88690E-10
6.35699E-2	1.99077E+0	1.15846E-5	9.99885E-1	1.12925E-9
6.42253E-2	1.99292E+0	1.10604E-5	9.99988E-1	4.33711E-10
6.48806E-2	1.99373E+0	1.53855E-5	1.00009E+0	1.22624E-9
6.55360E-2	1.99319E+0	1.26331E-5	9.99988E-1	-1.18729E-10
6.61914E-2	1.99427E+0	9.35653E-6	9.99954E-1	1.91893E-9
