## Header ##
[General info]
User	Giorgos_Psaltakis
Device	Sample
Cell area (cm2)	1
Test	Pulsed
Date	2024-03-03
Time	04:20:21
Temperature	21.33
Note	

[Acquisition Settings]
Amplitude (V)	2.500
Frequency (Hz)	1.2
DC Offset (V)	1.250
Duty Cycle (%)	40
Phase (°)	0
Cycles	2

## Data ##
Time (s)	DC Channel Voltage (V)	DC Channel Current (A)	Pulse Channel Voltage (V)	Pulse Channel Current (A)
4.84966E-2	2.48729E+0	6.99739E-6	1.00000E+0	1.02276E-9
4.91520E-2	2.49132E+0	9.74972E-6	1.00002E+0	2.51749E-9
4.98074E-2	2.49065E+0	8.04589E-6	1.00003E+0	2.06869E-9
5.04627E-2	2.49267E+0	7.39058E-6	9.99984E-1	2.98720E-9
5.11181E-2	2.48729E+0	1.53855E-5	9.99914E-1	2.53650E-9
5.17734E-2	2.49132E+0	1.43369E-5	1.00005E+0	1.84619E-9
5.24288E-2	2.49199E+0	1.05361E-5	9.99925E-1	3.18403E-9
5.30842E-2	2.48863E+0	4.24505E-6	1.00004E+0	2.18754E-9
5.37395E-2	2.49199E+0	9.74972E-6	1.00001E+0	2.13857E-9
5.43949E-2	2.49132E+0	8.04589E-6	1.00002E+0	2.11052E-9
5.50502E-2	2.49334E+0	1.48612E-5	9.99999E-1	2.51416E-9
5.57056E-2	2.48930E+0	7.25951E-6	9.99995E-1	8.95346E-10
5.63610E-2	2.49199E+0	6.73526E-6	1.00000E+0	2.66011E-9
5.70163E-2	2.49065E+0	2.41667E-5	9.99984E-1	1.62369E-9
5.76717E-2	2.49401E+0	8.30802E-6	1.00006E+0	2.61352E-9
5.83270E-2	2.49199E+0	8.96334E-6	9.99891E-1	2.61732E-9
5.89824E-2	2.48796E+0	1.14535E-5	1.00003E+0	2.10434E-9
5.96378E-2	2.49132E+0	-9.97488E-7	9.99992E-1	2.60211E-9
6.02931E-2	2.49334E+0	9.61866E-6	1.00004E+0	1.52433E-9
6.09485E-2	2.48796E+0	1.22399E-5	1.00005E+0	1.36269E-9
6.16038E-2	2.48930E+0	8.70121E-6	1.00002E+0	2.26932E-9
6.22592E-2	2.49132E+0	6.99739E-6	1.00001E+0	2.91066E-9
6.29146E-2	2.49132E+0	4.24505E-6	9.99929E-1	1.55095E-9
6.35699E-2	2.49267E+0	1.38127E-5	9.99971E-1	2.58690E-9
6.42253E-2	2.49334E+0	1.09293E-5	1.00001E+0	1.53859E-9
6.48806E-2	2.49199E+0	1.04050E-5	1.00011E+0	2.17613E-9
6.55360E-2	2.49334E+0	7.39058E-6	9.99933E-1	2.48373E-9
6.61914E-2	2.48796E+0	9.35653E-6	9.99938E-1	2.05157E-9
6.68467E-2	2.49065E+0	1.06672E-5	1.00006E+0	2.29927E-9
6.75021E-2	2.49267E+0	2.01037E-5	9.99959E-1	1.75111E-9
6.81574E-2	2.48796E+0	1.13225E-5	1.00004E+0	1.59041E-9
6.88128E-2	2.48930E+0	8.04589E-6	1.00002E+0	1.51577E-9
6.94682E-2	2.49199E+0	1.17157E-5	9.99959E-1	3.15503E-9
7.01235E-2	2.48930E+0	1.01429E-5	9.99980E-1	1.55856E-9
7.07789E-2	2.49065E+0	1.21089E-5	1.00012E+0	2.00165E-9
7.14342E-2	2.48998E+0	7.12845E-6	9.99891E-1	2.64680E-9
7.20896E-2	2.49065E+0	1.01429E-5	1.00005E+0	4.36563E-10
7.27450E-2	2.48863E+0	8.96334E-6	9.99902E-1	3.72886E-9
7.34003E-2	2.49065E+0	5.16250E-6	1.00007E+0	2.05347E-9
7.40557E-2	2.48863E+0	1.25021E-5	1.00001E+0	1.03322E-9
7.47110E-2	2.49132E+0	1.07982E-5	9.99948E-1	2.48753E-9
7.53664E-2	2.49132E+0	8.96334E-6	1.00003E+0	2.48373E-9
7.60218E-2	2.49132E+0	1.61718E-5	1.00005E+0	1.58756E-9
7.66771E-2	2.49199E+0	8.30802E-6	9.99997E-1	9.73790E-10
7.73325E-2	2.48863E+0	1.01429E-5	1.00001E+0	2.68436E-9
7.79878E-2	2.49132E+0	3.72080E-6	9.99969E-1	9.30051E-10
7.86432E-2	2.49065E+0	1.10604E-5	1.00000E+0	1.80388E-9
7.92986E-2	2.49132E+0	8.57015E-6	1.00001E+0	1.96695E-9
7.99539E-2	2.49065E+0	7.91483E-6	1.00002E+0	2.92587E-9
8.06093E-2	2.49065E+0	1.04050E-5	9.99935E-1	1.33083E-9
8.12646E-2	2.49132E+0	8.17696E-6	1.00001E+0	2.08913E-9
8.19200E-2	2.48998E+0	3.06548E-6	1.00004E+0	2.45378E-9
8.25754E-2	2.49132E+0	1.02740E-5	9.99999E-1	1.01991E-9
8.32307E-2	2.48998E+0	5.42462E-6	9.99959E-1	2.06821E-9
8.38861E-2	2.48863E+0	6.21101E-6	1.00005E+0	1.01943E-9
8.45414E-2	2.48998E+0	1.36816E-5	9.99976E-1	2.57216E-9
8.51968E-2	2.48998E+0	7.91483E-6	9.99978E-1	1.36269E-9
8.58522E-2	2.49132E+0	8.96334E-6	1.00007E+0	1.72401E-9
8.65075E-2	2.49199E+0	1.01429E-5	1.00000E+0	2.95345E-9
8.71629E-2	2.48998E+0	1.04050E-5	9.99988E-1	1.72306E-9
8.78182E-2	2.49065E+0	1.09293E-5	1.00000E+0	2.15759E-9
8.84736E-2	2.48998E+0	1.04050E-5	9.99931E-1	1.50674E-9
8.91290E-2	2.49132E+0	8.70121E-6	1.00000E+0	1.24098E-9
8.97843E-2	2.48930E+0	9.22547E-6	1.00004E+0	2.59118E-9
9.04397E-2	2.49199E+0	6.47313E-6	9.99908E-1	1.53764E-9
9.10950E-2	2.49132E+0	9.61866E-6	1.00014E+0	1.49913E-9
9.17504E-2	2.49132E+0	8.57015E-6	9.99900E-1	2.91446E-9
9.24058E-2	2.49132E+0	6.86632E-6	1.00008E+0	3.79988E-10
9.30611E-2	2.48998E+0	1.72203E-5	9.99925E-1	2.59545E-9
9.37165E-2	2.49065E+0	6.07994E-6	1.00009E+0	1.59422E-9
9.43718E-2	2.49267E+0	3.72080E-6	9.99995E-1	2.33160E-9
9.50272E-2	2.48594E+0	1.78757E-5	9.99921E-1	1.66410E-9
9.56826E-2	2.49065E+0	-3.42170E-7	1.00003E+0	1.67789E-9
9.63379E-2	2.49199E+0	5.94888E-6	9.99997E-1	2.74902E-9
9.69933E-2	2.49065E+0	1.15846E-5	9.99990E-1	3.86644E-10
9.76486E-2	2.48930E+0	9.61866E-6	1.00001E+0	3.11081E-9
9.83040E-2	2.48863E+0	1.00118E-5	9.99969E-1	1.56474E-9
9.89594E-2	2.49132E+0	1.10604E-5	9.99948E-1	1.09169E-9
9.96147E-2	2.49199E+0	8.43908E-6	1.00012E+0	2.19135E-9
1.00270E-1	2.48998E+0	9.61866E-6	9.99902E-1	2.16805E-9
1.00925E-1	2.48796E+0	1.13225E-5	1.00006E+0	9.88053E-10
1.01581E-1	2.48930E+0	8.57015E-6	9.99990E-1	2.77326E-9
1.02236E-1	2.48930E+0	8.43908E-6	1.00003E+0	8.40672E-10
1.02892E-1	2.48796E+0	1.82084E-7	9.99931E-1	2.69577E-9
1.03547E-1	2.48863E+0	1.00118E-5	1.00005E+0	1.98359E-9
1.04202E-1	2.49132E+0	1.45991E-5	9.99959E-1	1.69596E-9
1.04858E-1	2.49334E+0	5.03143E-6	1.00003E+0	2.18326E-9
1.05513E-1	2.49065E+0	1.35506E-5	9.99988E-1	1.20294E-9
1.06168E-1	2.49132E+0	1.00118E-5	9.99980E-1	1.99262E-9
1.06824E-1	2.49132E+0	6.99739E-6	1.00008E+0	2.28786E-9
1.07479E-1	2.49132E+0	8.30802E-6	9.99952E-1	7.67457E-10
1.08134E-1	2.49132E+0	7.12845E-6	1.00001E+0	3.12222E-9
1.08790E-1	2.48998E+0	1.18467E-5	9.99984E-1	9.13887E-10
1.09445E-1	2.49132E+0	9.88078E-6	1.00005E+0	2.70433E-9
1.10100E-1	2.48998E+0	9.74972E-6	9.99925E-1	1.06365E-9
1.10756E-1	2.48930E+0	2.99335E-5	1.00006E+0	2.63919E-9
1.11411E-1	2.49267E+0	1.02740E-5	9.99973E-1	1.39882E-9
1.12067E-1	2.48662E+0	6.99739E-6	1.00001E+0	2.29023E-9
1.12722E-1	2.49132E+0	1.07982E-5	9.99948E-1	2.10529E-9
1.13377E-1	2.49267E+0	2.08901E-5	1.00008E+0	8.46377E-10
1.14033E-1	2.49065E+0	1.18467E-5	9.99914E-1	2.47993E-9
1.14688E-1	2.48998E+0	1.21089E-5	1.00005E+0	2.02923E-9
1.15343E-1	2.48998E+0	1.23710E-5	9.99995E-1	1.61418E-9
1.15999E-1	2.48729E+0	1.09293E-5	1.00002E+0	1.41546E-9
1.16654E-1	2.49199E+0	1.00118E-5	1.00005E+0	1.19914E-9
1.17309E-1	2.48930E+0	8.70121E-6	9.99940E-1	2.59165E-9
1.17965E-1	2.49267E+0	-1.65281E-6	9.99969E-1	1.98644E-9
1.18620E-1	2.49065E+0	1.19778E-5	9.99992E-1	1.11642E-9
1.19276E-1	2.48863E+0	7.65270E-6	1.00015E+0	2.29974E-9
1.19931E-1	2.49132E+0	8.30802E-6	9.99851E-1	2.11480E-9
1.20586E-1	2.48998E+0	7.52164E-6	1.00005E+0	1.99262E-9
1.21242E-1	2.49065E+0	1.99727E-5	9.99988E-1	6.58586E-10
1.21897E-1	2.48998E+0	8.70121E-6	1.00005E+0	1.98644E-9
1.22552E-1	2.48930E+0	5.55569E-6	1.00004E+0	1.46443E-9
1.23208E-1	2.48863E+0	1.10604E-5	9.99921E-1	3.10653E-9
1.23863E-1	2.49468E+0	1.17157E-5	9.99959E-1	1.59564E-9
1.24518E-1	2.49065E+0	1.02740E-5	1.00002E+0	2.11623E-9
1.25174E-1	2.48930E+0	1.17157E-5	1.00002E+0	1.75063E-9
1.25829E-1	2.48998E+0	9.61866E-6	9.99965E-1	5.64452E-10
1.26484E-1	2.48930E+0	6.34207E-6	1.00012E+0	1.94460E-9
1.27140E-1	2.48998E+0	1.77446E-5	9.99870E-1	3.06517E-9
1.27795E-1	2.49065E+0	8.70121E-6	1.00003E+0	7.36079E-10
1.28451E-1	2.49267E+0	7.12845E-6	9.99990E-1	2.48088E-9
1.29106E-1	2.49267E+0	1.89242E-5	1.00008E+0	1.58566E-9
1.29761E-1	2.49401E+0	8.83228E-6	9.99919E-1	2.89592E-9
1.30417E-1	2.48662E+0	1.32884E-5	1.00006E+0	2.92511E-10
1.31072E-1	2.48930E+0	6.60420E-6	1.00008E+0	2.17423E-9
1.31727E-1	2.48796E+0	2.03659E-5	9.99881E-1	2.88166E-9
1.32383E-1	2.49132E+0	1.02740E-5	1.00002E+0	2.97740E-10
1.33038E-1	2.49065E+0	1.23710E-5	9.99957E-1	2.24174E-9
1.33693E-1	2.49065E+0	1.49923E-5	1.00010E+0	1.72020E-9
1.34349E-1	2.49334E+0	2.27910E-6	9.99976E-1	2.63919E-9
1.35004E-1	2.48930E+0	8.43908E-6	9.99927E-1	1.48772E-9
1.35660E-1	2.48796E+0	1.27642E-5	9.99995E-1	2.07582E-9
1.36315E-1	2.49401E+0	1.36166E-6	9.99959E-1	7.11833E-10
1.36970E-1	2.48930E+0	1.31574E-5	1.00014E+0	2.62683E-9
1.37626E-1	2.49132E+0	1.07982E-5	1.00002E+0	2.12241E-9
1.38281E-1	2.49065E+0	9.22547E-6	9.99957E-1	1.87804E-9
1.38936E-1	2.48930E+0	1.39438E-5	9.99965E-1	1.63130E-9
1.39592E-1	2.48998E+0	1.01429E-5	9.99971E-1	1.83288E-9
1.40247E-1	2.49065E+0	1.31574E-5	1.00005E+0	1.67409E-9
1.40902E-1	2.48998E+0	1.88591E-6	1.00005E+0	6.33864E-10
1.41558E-1	2.48998E+0	1.25021E-5	9.99973E-1	3.41603E-9
1.42213E-1	2.49132E+0	6.86632E-6	1.00001E+0	1.76537E-9
1.42868E-1	2.49199E+0	1.60408E-5	9.99942E-1	9.50970E-10
1.43524E-1	2.48594E+0	5.16250E-6	1.00002E+0	2.28691E-9
1.44179E-1	2.48998E+0	7.12845E-6	1.00004E+0	1.92321E-9
1.44835E-1	2.49334E+0	6.34207E-6	9.99995E-1	1.21293E-9
1.45490E-1	2.49267E+0	9.74972E-6	9.99908E-1	2.16710E-9
1.46145E-1	2.49334E+0	8.83228E-6	1.00007E+0	1.34557E-9
1.46801E-1	2.49065E+0	8.04589E-6	1.00003E+0	1.72068E-9
1.47456E-1	2.48998E+0	6.07994E-6	9.99988E-1	1.47441E-9
1.48111E-1	2.49199E+0	1.76135E-5	1.00002E+0	2.16710E-9
1.48767E-1	2.48930E+0	6.73526E-6	9.99999E-1	2.24840E-9
1.49422E-1	2.48729E+0	3.58973E-6	9.99883E-1	1.38931E-9
1.50077E-1	2.48863E+0	1.62378E-6	1.00003E+0	1.97550E-9
1.50733E-1	2.49065E+0	1.02740E-5	1.00002E+0	1.72401E-9
1.51388E-1	2.48998E+0	1.76135E-5	1.00006E+0	1.62845E-9
1.52044E-1	2.48863E+0	1.05361E-5	9.99881E-1	2.15094E-9
1.52699E-1	2.49065E+0	9.88078E-6	1.00012E+0	1.73542E-9
