## Header ##
[General info]
User	Giorgos_Psaltakis
Device	Sample
Cell area (cm2)	1
Test	Memristor
Date	2024-03-03
Time	03:25:14
Note	

[Acquisition Settings]
Sampling time (s)	5.000E-1
Voltage Range (V)	6.000E+0
Current Range (A)	1.000E-6
Current Limit (A)	1.000E-6

[Waveform Settings]
V_HRS (V)	0.1000
V_LRS (V)	0.1000
V_READ (V)	0.1000
t_HRS (s)	0.0400
t_LRS (s)	0.0400
t_READ (s)	0.0000
d_HRS (s)	0.0000
d_LRS (s)	0.0000
d_READ (s)	0.0000
Cycles	1

## Data ##
Time (s)	Voltage (V)	Current (A)
0.00000E+0	9.87681E-2	1.01646E-7
5.00000E-4	1.00078E-1	2.35473E-9
1.00000E-3	1.00114E-1	1.87103E-9
1.50000E-3	1.00089E-1	1.20656E-9
2.00000E-3	9.98921E-2	2.70878E-9
2.50000E-3	9.85743E-2	9.83670E-8
3.00000E-3	1.01249E-1	8.45422E-8
3.50000E-3	9.99586E-2	1.41376E-8
4.00000E-3	1.00136E-1	7.07646E-9
4.50000E-3	9.99613E-2	7.03969E-9
5.00000E-3	9.99281E-2	4.50335E-9
5.50000E-3	1.00091E-1	2.13781E-9
6.00000E-3	9.99669E-2	5.09178E-9
6.50000E-3	1.00080E-1	2.21261E-9
7.00000E-3	9.99945E-2	2.09418E-9
7.50000E-3	9.99198E-2	3.90371E-9
8.00000E-3	1.00078E-1	3.83760E-10
8.50000E-3	9.99696E-2	2.23318E-9
9.00000E-3	1.00014E-1	1.81742E-9
9.50000E-3	1.00158E-1	2.42953E-9
1.00000E-2	9.99890E-2	2.30674E-9
1.05000E-2	9.99115E-2	1.20157E-9
1.10000E-2	9.99336E-2	2.98617E-9
1.15000E-2	1.00061E-1	1.47771E-9
1.20000E-2	9.88844E-2	3.08148E-8
1.25000E-2	1.00222E-1	1.58456E-7
1.30000E-2	1.00620E-1	3.13839E-8
1.35000E-2	1.00197E-1	9.73747E-9
1.40000E-2	9.98506E-2	6.87388E-9
1.45000E-2	1.00122E-1	4.66542E-9
1.50000E-2	1.00072E-1	3.23488E-9
1.55000E-2	9.99724E-2	3.90807E-9
1.60000E-2	9.99973E-2	2.14716E-9
1.65000E-2	1.00019E-1	2.77984E-9
1.70000E-2	9.99586E-2	2.68821E-9
1.75000E-2	1.00114E-1	4.24900E-10
1.80000E-2	9.99613E-2	4.40861E-9
1.85000E-2	9.99918E-2	1.60424E-9
