## Header ##
[General info]
User	Giorgos_Psaltakis
Device	Sample
Cell area (cm2)	1
Test	Memristor
Date	2024-03-03
Time	03:33:29
Note	

[Acquisition Settings]
Sampling time (s)	5.000E-1
Voltage Range (V)	6.000E+0
Current Range (A)	1.000E-6
Current Limit (A)	1.000E-6

[Waveform Settings]
V_HRS (V)	0.5000
V_LRS (V)	0.5000
V_READ (V)	0.5000
t_HRS (s)	0.0200
t_LRS (s)	0.0200
t_READ (s)	0.0000
d_HRS (s)	0.0100
d_LRS (s)	0.0000
d_READ (s)	0.0000
Cycles	100

## Data ##
Time_HRS (s)	R_HRS (Ohm)	Time_LRS (s)	R_LRS (Ohm)
3.00000E-2	NaN	5.00000E-2	NaN
8.00000E-2	NaN	1.00000E-1	NaN
1.30000E-1	NaN	1.50000E-1	NaN
1.80000E-1	NaN	2.00000E-1	NaN
2.30000E-1	NaN	2.50000E-1	NaN
2.80000E-1	NaN	3.00000E-1	NaN
3.30000E-1	NaN	3.50000E-1	NaN
3.80000E-1	NaN	4.00000E-1	NaN
4.30000E-1	NaN	4.50000E-1	NaN
4.80000E-1	NaN	5.00000E-1	NaN
5.30000E-1	NaN	5.50000E-1	NaN
5.80000E-1	NaN	6.00000E-1	NaN
6.30000E-1	NaN	6.50000E-1	NaN
6.80000E-1	NaN	7.00000E-1	NaN
7.30000E-1	NaN	7.50000E-1	NaN
7.80000E-1	NaN	8.00000E-1	NaN
8.30000E-1	NaN	8.50000E-1	NaN
8.80000E-1	NaN	9.00000E-1	NaN
9.30000E-1	NaN	9.50000E-1	NaN
9.80000E-1	NaN	1.00000E+0	NaN
1.03000E+0	NaN	1.05000E+0	NaN
1.08000E+0	NaN	1.10000E+0	NaN
1.13000E+0	NaN	1.15000E+0	NaN
1.18000E+0	NaN	1.20000E+0	NaN
1.23000E+0	NaN	1.25000E+0	NaN
1.28000E+0	NaN	1.30000E+0	NaN
1.33000E+0	NaN	1.35000E+0	NaN
1.38000E+0	NaN	1.40000E+0	NaN
1.43000E+0	NaN	1.45000E+0	NaN
1.48000E+0	NaN	1.50000E+0	NaN
1.53000E+0	NaN	1.55000E+0	NaN
1.58000E+0	NaN	1.60000E+0	NaN
1.63000E+0	NaN	1.65000E+0	NaN
1.68000E+0	NaN	1.70000E+0	NaN
1.73000E+0	NaN	1.75000E+0	NaN
1.78000E+0	NaN	1.80000E+0	NaN
1.83000E+0	NaN	1.85000E+0	NaN
1.88000E+0	NaN	1.90000E+0	NaN
1.93000E+0	NaN	1.95000E+0	NaN
1.98000E+0	NaN	2.00000E+0	NaN
2.03000E+0	NaN	2.05000E+0	NaN
2.08000E+0	NaN	2.10000E+0	NaN
2.13000E+0	NaN	2.15000E+0	NaN
2.18000E+0	NaN	2.20000E+0	NaN
2.23000E+0	NaN	2.25000E+0	NaN
2.28000E+0	NaN	2.30000E+0	NaN
2.33000E+0	NaN	2.35000E+0	NaN
2.38000E+0	NaN	2.40000E+0	NaN
2.43000E+0	NaN	2.45000E+0	NaN
2.48000E+0	NaN	2.50000E+0	NaN
2.53000E+0	NaN	2.55000E+0	NaN
2.58000E+0	NaN	2.60000E+0	NaN
2.63000E+0	NaN	2.65000E+0	NaN
2.68000E+0	NaN	2.70000E+0	NaN
2.73000E+0	NaN	2.75000E+0	NaN
2.78000E+0	NaN	2.80000E+0	NaN
2.83000E+0	NaN	2.85000E+0	NaN
2.88000E+0	NaN	2.90000E+0	NaN
2.93000E+0	NaN	2.95000E+0	NaN
2.98000E+0	NaN	3.00000E+0	NaN
3.03000E+0	NaN	3.05000E+0	NaN
3.08000E+0	NaN	3.10000E+0	NaN
3.13000E+0	NaN	3.15000E+0	NaN
3.18000E+0	NaN	3.20000E+0	NaN
3.23000E+0	NaN	3.25000E+0	NaN
3.28000E+0	NaN	3.30000E+0	NaN
3.33000E+0	NaN	3.35000E+0	NaN
3.38000E+0	NaN	3.40000E+0	NaN
3.43000E+0	NaN	3.45000E+0	NaN
3.48000E+0	NaN	3.50000E+0	NaN
3.53000E+0	NaN	3.55000E+0	NaN
3.58000E+0	NaN	3.60000E+0	NaN
3.63000E+0	NaN	3.65000E+0	NaN
3.68000E+0	NaN	3.70000E+0	NaN
3.73000E+0	NaN	3.75000E+0	NaN
3.78000E+0	NaN	3.80000E+0	NaN
3.83000E+0	NaN	3.85000E+0	NaN
3.88000E+0	NaN	3.90000E+0	NaN
3.93000E+0	NaN	3.95000E+0	NaN
3.98000E+0	NaN	4.00000E+0	NaN
4.03000E+0	NaN	4.05000E+0	NaN
4.08000E+0	NaN	4.10000E+0	NaN
4.13000E+0	NaN	4.15000E+0	NaN
4.18000E+0	NaN	4.20000E+0	NaN
4.23000E+0	NaN	4.25000E+0	NaN
4.28000E+0	NaN	4.30000E+0	NaN
4.33000E+0	NaN	4.35000E+0	NaN
4.38000E+0	NaN	4.40000E+0	NaN
4.43000E+0	NaN	4.45000E+0	NaN
4.48000E+0	NaN	4.50000E+0	NaN
4.53000E+0	NaN	4.55000E+0	NaN
4.58000E+0	NaN	4.60000E+0	NaN
4.63000E+0	NaN	4.65000E+0	NaN
4.68000E+0	NaN	4.70000E+0	NaN
4.73000E+0	NaN	4.75000E+0	NaN
4.78000E+0	NaN	4.80000E+0	NaN
4.83000E+0	NaN	4.85000E+0	NaN
4.88000E+0	NaN	4.90000E+0	NaN
4.93000E+0	NaN	4.95000E+0	NaN
4.98000E+0	NaN	5.00000E+0	NaN
