## Header ##
[General info]
User	Giorgos_Psaltakis
Device	Sample
Cell area (cm2)	1
Test	Memristor
Date	2024-03-03
Time	03:12:31
Note	

[Acquisition Settings]
Sampling time (s)	1.000E+0
Voltage Range (V)	6.000E+0
Current Range (A)	1.000E-6
Current Limit (A)	1.000E-6

[Waveform Settings]
V_HRS (V)	1.0000
V_LRS (V)	1.0000
V_READ (V)	1.0000
t_HRS (s)	0.0200
t_LRS (s)	0.0200
t_READ (s)	0.0000
d_HRS (s)	0.0000
d_LRS (s)	0.0000
d_READ (s)	0.0000
Cycles	1

## Data ##
Time (s)	Voltage (V)	Current (A)
0.00000E+0	8.53638E-1	3.37505E-7
1.00000E-3	9.99860E-1	1.62017E-8
2.00000E-3	9.97710E-1	5.54847E-7
3.00000E-3	1.00009E+0	6.63068E-7
4.00000E-3	9.99977E-1	6.53625E-7
5.00000E-3	1.00006E+0	6.47019E-7
6.00000E-3	9.99998E-1	6.43645E-7
7.00000E-3	1.00008E+0	6.39604E-7
8.00000E-3	9.99962E-1	6.36912E-7
9.00000E-3	1.00002E+0	6.36140E-7
1.00000E-2	1.00189E+0	4.82114E-7
1.10000E-2	1.00030E+0	7.97304E-8
1.20000E-2	1.00007E+0	4.00208E-8
1.30000E-2	1.00008E+0	2.75616E-8
1.40000E-2	9.99994E-1	2.15025E-8
1.50000E-2	9.99998E-1	1.82101E-8
1.60000E-2	1.00001E+0	1.46587E-8
1.70000E-2	9.99968E-1	1.29059E-8
1.80000E-2	1.00001E+0	1.17022E-8
1.90000E-2	1.00007E+0	1.06612E-8
2.00000E-2	9.99948E-1	1.00466E-8
2.10000E-2	9.99986E-1	9.11039E-9
2.20000E-2	1.00003E+0	8.50358E-9
2.30000E-2	9.99991E-1	6.84770E-9
2.40000E-2	9.99994E-1	8.32188E-9
2.50000E-2	1.00000E+0	6.93902E-9
2.60000E-2	9.99989E-1	6.86235E-9
2.70000E-2	1.00000E+0	6.58061E-9
2.80000E-2	1.00003E+0	6.71275E-9
2.90000E-2	9.99977E-1	6.89539E-9
3.00000E-2	9.99995E-1	5.63252E-9
3.10000E-2	9.99995E-1	5.98844E-9
3.20000E-2	9.99977E-1	5.06653E-9
3.30000E-2	1.00003E+0	6.05327E-9
3.40000E-2	1.00001E+0	5.35888E-9
3.50000E-2	1.00001E+0	5.69953E-9
3.60000E-2	9.99948E-1	5.36168E-9
3.70000E-2	1.00002E+0	4.48995E-9
3.80000E-2	1.00004E+0	5.19120E-9
3.90000E-2	9.99950E-1	5.55678E-9
4.00000E-2	1.00005E+0	4.19044E-9
4.10000E-2	9.99971E-1	5.74815E-9
4.20000E-2	9.99980E-1	4.79165E-9
4.30000E-2	1.00006E+0	4.11720E-9
4.40000E-2	9.99962E-1	4.74926E-9
4.50000E-2	1.00003E+0	4.25714E-9
4.60000E-2	9.99953E-1	5.17468E-9
4.70000E-2	1.00002E+0	4.47063E-9
4.80000E-2	9.99980E-1	4.01310E-9
4.90000E-2	1.00001E+0	4.57161E-9
5.00000E-2	9.99983E-1	4.59498E-9
5.10000E-2	9.99986E-1	4.02308E-9
5.20000E-2	9.99987E-1	4.27553E-9
5.30000E-2	1.00000E+0	3.84855E-9
5.40000E-2	9.99948E-1	4.24997E-9
5.50000E-2	9.99980E-1	4.17268E-9
5.60000E-2	1.00009E+0	3.74227E-9
5.70000E-2	9.99953E-1	4.29610E-9
5.80000E-2	1.00004E+0	3.58269E-9
5.90000E-2	1.00000E+0	3.63256E-9
6.00000E-2	9.99993E-1	5.03693E-9
6.10000E-2	9.99961E-1	3.52971E-9
6.20000E-2	1.00005E+0	4.19169E-9
6.30000E-2	1.00002E+0	3.71235E-9
6.40000E-2	9.99972E-1	4.04863E-9
6.50000E-2	9.99962E-1	3.59890E-9
6.60000E-2	1.00000E+0	3.82735E-9
6.70000E-2	1.00005E+0	3.49356E-9
6.80000E-2	1.00003E+0	4.03305E-9
6.90000E-2	9.99962E-1	4.18296E-9
7.00000E-2	9.99986E-1	3.81364E-9
7.10000E-2	9.99965E-1	3.21150E-9
7.20000E-2	1.00003E+0	4.02588E-9
7.30000E-2	9.99971E-1	3.57179E-9
7.40000E-2	9.99998E-1	3.62446E-9
7.50000E-2	1.00005E+0	3.29285E-9
7.60000E-2	1.00000E+0	3.81177E-9
7.70000E-2	9.99994E-1	3.76595E-9
7.80000E-2	9.99965E-1	3.43839E-9
7.90000E-2	1.00005E+0	3.49512E-9
8.00000E-2	9.99929E-1	3.15852E-9
8.10000E-2	1.00007E+0	3.81208E-9
8.20000E-2	1.00000E+0	3.82174E-9
8.30000E-2	9.99955E-1	3.33399E-9
8.40000E-2	1.00001E+0	3.38323E-9
8.50000E-2	1.00002E+0	3.85790E-9
8.60000E-2	9.99964E-1	2.84997E-9
8.70000E-2	1.00005E+0	4.07887E-9
8.80000E-2	1.00001E+0	3.47361E-9
8.90000E-2	9.99975E-1	2.93194E-9
9.00000E-2	9.99984E-1	3.75598E-9
9.10000E-2	9.99961E-1	3.62633E-9
9.20000E-2	9.99990E-1	2.72904E-9
9.30000E-2	1.00006E+0	3.25981E-9
9.40000E-2	1.00003E+0	3.61573E-9
9.50000E-2	9.99936E-1	3.17223E-9
9.60000E-2	1.00003E+0	3.29066E-9
9.70000E-2	9.99976E-1	3.20464E-9
9.80000E-2	1.00004E+0	3.88189E-9
9.90000E-2	9.99969E-1	3.09089E-9
