## Header ##
[General info]
User	Giorgos_Psaltakis
Device	Sample
Cell area (cm2)	1
Test	Memristor
Date	2024-03-03
Time	03:27:57
Note	

[Acquisition Settings]
Sampling time (s)	5.000E-1
Voltage Range (V)	6.000E+0
Current Range (A)	1.000E-6
Current Limit (A)	1.000E-6

[Waveform Settings]
V_HRS (V)	0.1000
V_LRS (V)	0.1000
V_READ (V)	0.1000
t_HRS (s)	0.0210
t_LRS (s)	0.0210
t_READ (s)	0.0000
d_HRS (s)	0.0000
d_LRS (s)	0.0000
d_READ (s)	0.0000
Cycles	1

## Data ##
Time (s)	Voltage (V)	Current (A)
0.00000E+0	9.87515E-2	1.15974E-7
5.00000E-4	1.00006E-1	2.16399E-9
1.00000E-3	9.85245E-2	6.33165E-8
1.50000E-3	1.01254E-1	1.31711E-7
2.00000E-3	1.00163E-1	1.76893E-8
2.50000E-3	9.99918E-2	8.05260E-9
3.00000E-3	1.00044E-1	5.27442E-9
3.50000E-3	9.99779E-2	4.09881E-9
4.00000E-3	9.99724E-2	3.26729E-9
4.50000E-3	1.00003E-1	2.43265E-9
5.00000E-3	1.00022E-1	2.40024E-9
5.50000E-3	9.99973E-2	1.95019E-9
6.00000E-3	9.99807E-2	1.83799E-9
6.50000E-3	9.99890E-2	1.84173E-9
7.00000E-3	1.00039E-1	1.32374E-9
7.50000E-3	9.99973E-2	1.37423E-9
8.00000E-3	1.00000E-1	1.27388E-9
8.50000E-3	1.00000E-1	1.08314E-9
9.00000E-3	9.99835E-2	1.01893E-9
9.50000E-3	9.99918E-2	1.11804E-9
1.00000E-2	9.99502E-2	9.60964E-10
1.05000E-2	9.95184E-2	7.21547E-9
1.10000E-2	9.90449E-2	1.75726E-7
1.15000E-2	1.01359E-1	6.40576E-8
1.20000E-2	1.00080E-1	1.13108E-8
1.25000E-2	1.00006E-1	6.11280E-9
1.30000E-2	1.00019E-1	4.05331E-9
1.35000E-2	9.99862E-2	3.39507E-9
1.40000E-2	1.00025E-1	2.29552E-9
1.45000E-2	9.99973E-2	2.14592E-9
1.50000E-2	9.99945E-2	1.90780E-9
1.55000E-2	9.99669E-2	1.65847E-9
1.60000E-2	1.00003E-1	1.51947E-9
1.65000E-2	1.00008E-1	1.25144E-9
1.70000E-2	1.00014E-1	1.24209E-9
1.75000E-2	1.00000E-1	1.09934E-9
1.80000E-2	9.99945E-2	8.45648E-10
1.85000E-2	1.00019E-1	9.70938E-10
1.90000E-2	9.99890E-2	9.32291E-10
1.95000E-2	1.00011E-1	9.25435E-10
2.00000E-2	9.99807E-2	6.00056E-10
2.05000E-2	9.87432E-2	5.76105E-8
2.10000E-2	1.00922E-1	1.66041E-7
2.15000E-2	1.00238E-1	2.29103E-8
2.20000E-2	1.00044E-1	8.72892E-9
2.25000E-2	1.00003E-1	5.03568E-9
2.30000E-2	1.00000E-1	3.66871E-9
2.35000E-2	1.00022E-1	2.69569E-9
2.40000E-2	1.00008E-1	2.24503E-9
2.45000E-2	1.00047E-1	2.13906E-9
2.50000E-2	9.99752E-2	1.56996E-9
2.55000E-2	1.00025E-1	1.51074E-9
2.60000E-2	9.99890E-2	1.24458E-9
2.65000E-2	9.99973E-2	1.10433E-9
2.70000E-2	1.00025E-1	1.07690E-9
2.75000E-2	9.99973E-2	9.20448E-10
2.80000E-2	1.00025E-1	1.05010E-9
2.85000E-2	9.99752E-2	7.30332E-10
2.90000E-2	1.00031E-1	7.14125E-10
2.95000E-2	1.00006E-1	8.31935E-10
3.00000E-2	9.99918E-2	8.65595E-10
3.05000E-2	9.86490E-2	1.19154E-7
3.10000E-2	1.01163E-1	1.12759E-7
3.15000E-2	1.00125E-1	1.43869E-8
3.20000E-2	1.00031E-1	7.05964E-9
3.25000E-2	1.00019E-1	4.22597E-9
3.30000E-2	9.99835E-2	3.07655E-9
3.35000E-2	1.00017E-1	2.72000E-9
3.40000E-2	1.00000E-1	2.10976E-9
3.45000E-2	1.00011E-1	1.72828E-9
3.50000E-2	9.99973E-2	1.50389E-9
3.55000E-2	9.99862E-2	1.40665E-9
3.60000E-2	9.99890E-2	1.06942E-9
3.65000E-2	9.99862E-2	1.09186E-9
3.70000E-2	1.00031E-1	9.58471E-10
3.75000E-2	9.99807E-2	1.00397E-9
3.80000E-2	9.99945E-2	7.97028E-10
3.85000E-2	1.00003E-1	7.52772E-10
3.90000E-2	1.00006E-1	9.11098E-10
3.95000E-2	1.00003E-1	6.77349E-10
4.00000E-2	9.93135E-2	1.07822E-8
4.05000E-2	9.93744E-2	1.73847E-7
4.10000E-2	1.01257E-1	5.06835E-8
4.15000E-2	1.00055E-1	1.02710E-8
4.20000E-2	9.99973E-2	5.80923E-9
4.25000E-2	1.00008E-1	3.71733E-9
4.30000E-2	1.00011E-1	2.68759E-9
4.35000E-2	1.00006E-1	2.39525E-9
4.40000E-2	1.00008E-1	2.01065E-9
4.45000E-2	9.99918E-2	1.58991E-9
4.50000E-2	1.00006E-1	1.54253E-9
4.55000E-2	1.00003E-1	1.07254E-9
4.60000E-2	1.00014E-1	1.08875E-9
4.65000E-2	9.99835E-2	8.80555E-10
4.70000E-2	1.00047E-1	9.33538E-10
4.75000E-2	9.99835E-2	8.65595E-10
4.80000E-2	1.00000E-1	6.47429E-10
4.85000E-2	1.00006E-1	6.51792E-10
4.90000E-2	9.99945E-2	9.35408E-10
4.95000E-2	1.00025E-1	4.95960E-10
5.00000E-2	9.87100E-2	6.57020E-8
5.05000E-2	1.00975E-1	1.53467E-7
5.10000E-2	1.00194E-1	2.02973E-8
5.15000E-2	1.00061E-1	7.79953E-9
5.20000E-2	1.00008E-1	4.87424E-9
5.25000E-2	1.00011E-1	3.29285E-9
5.30000E-2	1.00019E-1	2.62650E-9
5.35000E-2	1.00003E-1	2.15153E-9
5.40000E-2	9.99862E-2	1.67406E-9
5.45000E-2	1.00019E-1	1.40041E-9
5.50000E-2	9.99835E-2	1.57619E-9
5.55000E-2	1.00033E-1	9.77171E-10
5.60000E-2	9.99945E-2	1.16729E-9
5.65000E-2	1.00000E-1	9.17955E-10
5.70000E-2	9.99890E-2	8.70581E-10
5.75000E-2	1.00025E-1	7.22229E-10
5.80000E-2	1.00006E-1	8.78685E-10
5.85000E-2	1.00003E-1	6.16262E-10
5.90000E-2	9.99724E-2	8.25078E-10
5.95000E-2	1.00006E-1	4.70403E-10
6.00000E-2	9.86629E-2	1.27189E-7
6.05000E-2	1.01193E-1	1.00280E-7
6.10000E-2	1.00103E-1	1.32624E-8
6.15000E-2	1.00050E-1	6.37709E-9
6.20000E-2	1.00003E-1	4.25215E-9
6.25000E-2	1.00008E-1	3.03666E-9
6.30000E-2	1.00000E-1	2.30674E-9
6.35000E-2	9.99835E-2	1.95518E-9
6.40000E-2	1.00019E-1	1.59178E-9
6.45000E-2	9.99890E-2	1.40353E-9
6.50000E-2	1.00014E-1	1.12428E-9
6.55000E-2	9.99918E-2	1.29756E-9
6.60000E-2	1.00039E-1	8.35052E-10
6.65000E-2	9.99835E-2	9.26681E-10
6.70000E-2	1.00019E-1	8.40662E-10
6.75000E-2	9.99724E-2	8.21962E-10
6.80000E-2	9.99586E-2	6.80466E-10
6.85000E-2	9.99862E-2	6.85452E-10
6.90000E-2	9.99973E-2	7.01035E-10
6.95000E-2	9.90837E-2	1.76799E-8
7.00000E-2	9.97260E-2	1.73472E-7
7.05000E-2	1.01074E-1	3.95545E-8
7.10000E-2	1.00044E-1	9.52117E-9
7.15000E-2	1.00011E-1	5.18653E-9
7.20000E-2	9.99890E-2	3.67619E-9
7.25000E-2	1.00011E-1	2.79854E-9
7.30000E-2	1.00003E-1	2.02063E-9
7.35000E-2	1.00000E-1	1.88225E-9
7.40000E-2	1.00000E-1	1.24832E-9
7.45000E-2	1.00017E-1	1.64850E-9
7.50000E-2	9.99835E-2	1.09373E-9
7.55000E-2	1.00011E-1	1.13363E-9
7.60000E-2	1.00008E-1	8.32558E-10
7.65000E-2	9.99918E-2	9.60341E-10
7.70000E-2	1.00014E-1	6.60519E-10
7.75000E-2	1.00014E-1	6.13769E-10
7.80000E-2	1.00019E-1	6.73609E-10
7.85000E-2	9.99862E-2	8.91151E-10
7.90000E-2	9.99945E-2	4.95336E-10
7.95000E-2	9.87902E-2	7.44860E-8
8.00000E-2	1.01002E-1	1.41973E-7
8.05000E-2	1.00183E-1	1.87078E-8
8.10000E-2	1.00014E-1	7.38688E-9
8.15000E-2	1.00031E-1	4.51582E-9
8.20000E-2	9.99862E-2	3.22303E-9
8.25000E-2	9.99558E-2	2.31858E-9
8.30000E-2	1.00033E-1	2.10727E-9
8.35000E-2	9.99696E-2	1.66782E-9
8.40000E-2	9.99918E-2	1.45277E-9
8.45000E-2	1.00017E-1	1.20344E-9
8.50000E-2	1.00017E-1	1.04200E-9
8.55000E-2	9.99890E-2	1.12926E-9
8.60000E-2	1.00008E-1	7.62122E-10
8.65000E-2	1.00000E-1	9.69068E-10
8.70000E-2	1.00039E-1	6.28729E-10
8.75000E-2	1.00011E-1	8.84918E-10
8.80000E-2	9.99862E-2	4.89726E-10
8.85000E-2	1.00011E-1	5.81356E-10
8.90000E-2	9.99724E-2	6.76726E-10
8.95000E-2	9.86767E-2	1.36336E-7
9.00000E-2	1.01221E-1	8.79399E-8
9.05000E-2	1.00094E-1	1.21043E-8
9.10000E-2	1.00011E-1	6.10407E-9
9.15000E-2	1.00014E-1	3.89997E-9
9.20000E-2	1.00011E-1	2.85963E-9
9.25000E-2	1.00008E-1	2.15527E-9
9.30000E-2	9.99973E-2	2.08919E-9
9.35000E-2	9.99669E-2	1.48893E-9
9.40000E-2	1.00036E-1	1.13238E-9
9.45000E-2	9.99835E-2	1.43220E-9
9.50000E-2	1.00006E-1	9.82781E-10
9.55000E-2	9.99724E-2	1.07254E-9
9.60000E-2	9.99973E-2	7.07269E-10
9.65000E-2	9.99973E-2	6.32469E-10
9.70000E-2	1.00000E-1	8.56868E-10
9.75000E-2	1.00011E-1	6.59896E-10
9.80000E-2	1.00006E-1	4.54820E-10
9.85000E-2	9.99835E-2	6.37456E-10
9.90000E-2	9.89314E-2	2.60538E-8
9.95000E-2	1.00150E-1	1.70850E-7
