## Header ##
[General info]
User	Giorgos_Psaltakis
Device	Sample
Cell area (cm2)	1
Test	Memristor
Date	2024-03-03
Time	03:09:05
Note	

[Acquisition Settings]
Sampling time (s)	5.000E+0
Voltage Range (V)	6.000E+0
Current Range (A)	1.000E-6
Current Limit (A)	1.000E-6

[Waveform Settings]
V_HRS (V)	1.0000
V_LRS (V)	1.0000
V_READ (V)	1.0000
t_HRS (s)	1.0000
t_LRS (s)	1.0000
t_READ (s)	0.0500
d_HRS (s)	0.0000
d_LRS (s)	0.0000
d_READ (s)	0.0000
Cycles	10

## Data ##
Time (s)	Voltage (V)	Current (A)
0.00000E+0	9.70891E-1	7.52310E-8
5.00000E-3	1.00000E+0	5.70202E-9
1.00000E-2	9.99990E-1	4.50074E-9
1.50000E-2	1.00001E+0	4.11733E-9
2.00000E-2	1.00000E+0	3.91998E-9
2.50000E-2	9.99990E-1	3.80204E-9
3.00000E-2	1.00001E+0	3.52522E-9
3.50000E-2	9.99987E-1	3.41564E-9
4.00000E-2	1.00001E+0	3.50578E-9
4.50000E-2	9.99987E-1	3.34814E-9
5.00000E-2	1.00001E+0	3.27122E-9
5.50000E-2	9.99993E-1	3.25220E-9
6.00000E-2	1.00001E+0	3.00262E-9
6.50000E-2	9.99997E-1	3.28543E-9
7.00000E-2	9.99994E-1	2.98766E-9
7.50000E-2	1.00002E+0	3.16799E-9
8.00000E-2	9.99988E-1	3.11719E-9
8.50000E-2	9.99995E-1	2.90651E-9
9.00000E-2	1.00000E+0	3.16550E-9
9.50000E-2	9.99996E-1	2.98866E-9
1.00000E-1	1.00000E+0	2.94696E-9
1.05000E-1	1.00000E+0	2.76108E-9
1.10000E-1	1.00000E+0	3.03136E-9
1.15000E-1	9.99995E-1	2.77648E-9
1.20000E-1	9.99996E-1	2.97869E-9
1.25000E-1	9.99991E-1	2.82572E-9
1.30000E-1	1.00001E+0	2.72792E-9
1.35000E-1	1.00001E+0	2.87908E-9
1.40000E-1	1.00000E+0	2.90420E-9
1.45000E-1	9.99997E-1	2.83382E-9
1.50000E-1	1.00001E+0	2.78863E-9
1.55000E-1	9.99990E-1	2.74220E-9
1.60000E-1	1.00000E+0	2.69919E-9
1.65000E-1	1.00000E+0	2.87328E-9
