## Header ##
[General info]
User	Giorgos_Psaltakis
Device	Sample
Cell area (cm2)	1
Test	Memristor
Date	2024-03-03
Time	03:36:42
Note	

[Acquisition Settings]
Sampling time (s)	5.000E-1
Voltage Range (V)	6.000E+0
Current Range (A)	1.000E-5
Current Limit (A)	1.000E-5

[Waveform Settings]
V_HRS (V)	1.0000
V_LRS (V)	1.0000
V_READ (V)	1.0000
t_HRS (s)	0.0200
t_LRS (s)	0.0200
t_READ (s)	0.0000
d_HRS (s)	0.0000
d_LRS (s)	0.0000
d_READ (s)	0.0000
Cycles	100

## Data ##
Time (s)	Voltage (V)	Current (A)
0.00000E+0	9.76588E-1	6.63384E-7
5.00000E-4	9.99995E-1	2.03393E-8
1.00000E-3	9.97512E-1	2.24553E-6
1.50000E-3	1.00221E+0	1.81945E-6
2.00000E-3	1.00016E+0	2.05911E-7
2.50000E-3	1.00005E+0	1.00203E-7
3.00000E-3	1.00001E+0	6.94589E-8
3.50000E-3	9.99993E-1	5.26690E-8
4.00000E-3	9.99995E-1	4.56981E-8
4.50000E-3	9.99971E-1	3.76079E-8
5.00000E-3	9.99984E-1	3.34540E-8
5.50000E-3	9.99998E-1	3.00401E-8
6.00000E-3	1.00002E+0	2.71734E-8
6.50000E-3	1.00000E+0	2.46300E-8
7.00000E-3	9.99979E-1	2.24038E-8
7.50000E-3	1.00001E+0	2.24411E-8
8.00000E-3	9.99954E-1	2.02833E-8
8.50000E-3	1.00001E+0	1.96739E-8
9.00000E-3	9.99987E-1	1.56195E-8
9.50000E-3	1.00003E+0	1.90458E-8
1.00000E-2	9.99995E-1	1.70000E-8
1.05000E-2	9.98359E-1	6.32994E-7
1.10000E-2	9.99289E-1	3.06390E-6
1.15000E-2	1.00215E+0	6.91846E-7
1.20000E-2	1.00004E+0	1.44851E-7
1.25000E-2	1.00007E+0	8.31395E-8
1.30000E-2	1.00001E+0	5.87258E-8
1.35000E-2	9.99995E-1	4.92924E-8
1.40000E-2	9.99990E-1	4.12582E-8
1.45000E-2	1.00000E+0	3.16444E-8
1.50000E-2	1.00002E+0	3.24342E-8
1.55000E-2	9.99982E-1	2.77703E-8
1.60000E-2	1.00001E+0	2.30256E-8
1.65000E-2	9.99995E-1	2.50031E-8
1.70000E-2	1.00003E+0	2.19623E-8
1.75000E-2	9.99968E-1	1.98915E-8
1.80000E-2	9.99982E-1	1.94252E-8
1.85000E-2	9.99993E-1	1.85546E-8
1.90000E-2	1.00002E+0	1.85608E-8
1.95000E-2	1.00002E+0	1.52464E-8
2.00000E-2	9.99990E-1	1.81442E-8
2.05000E-2	9.97609E-1	1.60843E-6
2.10000E-2	1.00187E+0	2.49456E-6
2.15000E-2	1.00039E+0	2.80265E-7
2.20000E-2	1.00006E+0	1.09618E-7
2.25000E-2	1.00003E+0	7.20022E-8
2.30000E-2	1.00003E+0	5.46465E-8
2.35000E-2	1.00003E+0	4.27506E-8
2.40000E-2	1.00002E+0	3.80557E-8
2.45000E-2	1.00001E+0	3.40696E-8
2.50000E-2	1.00000E+0	2.68624E-8
2.55000E-2	1.00001E+0	2.80253E-8
2.60000E-2	9.99998E-1	2.30816E-8
2.65000E-2	9.99982E-1	2.35542E-8
2.70000E-2	1.00005E+0	1.88593E-8
2.75000E-2	1.00001E+0	2.20307E-8
2.80000E-2	1.00001E+0	1.69875E-8
2.85000E-2	1.00001E+0	1.74726E-8
2.90000E-2	1.00000E+0	1.70373E-8
2.95000E-2	1.00002E+0	1.47240E-8
3.00000E-2	9.99276E-1	1.30039E-7
3.05000E-2	9.98431E-1	2.55639E-6
3.10000E-2	1.00212E+0	1.51164E-6
3.15000E-2	1.00012E+0	1.76746E-7
3.20000E-2	1.00005E+0	9.31139E-8
3.25000E-2	1.00004E+0	6.27616E-8
3.30000E-2	1.00000E+0	4.93857E-8
3.35000E-2	1.00001E+0	4.05804E-8
3.40000E-2	9.99995E-1	3.70234E-8
3.45000E-2	9.99993E-1	3.07801E-8
3.50000E-2	9.99987E-1	2.88337E-8
3.55000E-2	1.00001E+0	2.43066E-8
3.60000E-2	9.99998E-1	2.42880E-8
3.65000E-2	9.99946E-1	2.14213E-8
3.70000E-2	1.00003E+0	1.89215E-8
3.75000E-2	1.00001E+0	2.12534E-8
3.80000E-2	1.00001E+0	1.83431E-8
3.85000E-2	1.00000E+0	1.49168E-8
3.90000E-2	1.00001E+0	1.63035E-8
3.95000E-2	1.00001E+0	1.60734E-8
4.00000E-2	9.98390E-1	7.36053E-7
4.05000E-2	9.99923E-1	2.98012E-6
4.10000E-2	1.00137E+0	5.25782E-7
4.15000E-2	1.00010E+0	1.30891E-7
4.20000E-2	1.00003E+0	8.07392E-8
4.25000E-2	9.99990E-1	5.58405E-8
4.30000E-2	1.00002E+0	4.69170E-8
4.35000E-2	1.00001E+0	3.78629E-8
4.40000E-2	1.00002E+0	3.21543E-8
4.45000E-2	9.99998E-1	3.11594E-8
4.50000E-2	9.99976E-1	2.55192E-8
4.55000E-2	9.99990E-1	2.56374E-8
4.60000E-2	9.99965E-1	2.28764E-8
4.65000E-2	1.00005E+0	1.99537E-8
4.70000E-2	9.99998E-1	2.02149E-8
4.75000E-2	1.00001E+0	1.90210E-8
4.80000E-2	9.99984E-1	1.84924E-8
4.85000E-2	9.99990E-1	1.74850E-8
4.90000E-2	1.00003E+0	1.73358E-8
4.95000E-2	9.99993E-1	1.49043E-8
5.00000E-2	9.97695E-1	1.75202E-6
5.05000E-2	1.00187E+0	2.27622E-6
5.10000E-2	1.00033E+0	2.45099E-7
5.15000E-2	1.00004E+0	1.06104E-7
5.20000E-2	1.00002E+0	6.71829E-8
5.25000E-2	1.00003E+0	5.24327E-8
5.30000E-2	1.00001E+0	4.23215E-8
5.35000E-2	9.99971E-1	3.74089E-8
5.40000E-2	1.00003E+0	3.23969E-8
5.45000E-2	9.99998E-1	2.64955E-8
5.50000E-2	9.99990E-1	2.58799E-8
5.55000E-2	1.00001E+0	2.52767E-8
5.60000E-2	9.99948E-1	2.16078E-8
5.65000E-2	1.00005E+0	2.03268E-8
5.70000E-2	9.99971E-1	2.06875E-8
5.75000E-2	1.00000E+0	1.90458E-8
5.80000E-2	1.00003E+0	1.60858E-8
5.85000E-2	9.99982E-1	1.77213E-8
5.90000E-2	9.99965E-1	1.71679E-8
5.95000E-2	9.99074E-1	1.95121E-7
6.00000E-2	9.98769E-1	2.61276E-6
6.05000E-2	1.00210E+0	1.31249E-6
6.10000E-2	1.00009E+0	1.61100E-7
6.15000E-2	1.00004E+0	8.78033E-8
6.20000E-2	1.00002E+0	5.93228E-8
6.25000E-2	1.00001E+0	4.82166E-8
6.30000E-2	1.00002E+0	3.96351E-8
6.35000E-2	9.99998E-1	3.43806E-8
6.40000E-2	9.99946E-1	3.17875E-8
6.45000E-2	1.00004E+0	2.56934E-8
6.50000E-2	1.00003E+0	2.54633E-8
6.55000E-2	1.00001E+0	2.43315E-8
6.60000E-2	1.00002E+0	1.98605E-8
6.65000E-2	9.99976E-1	2.20804E-8
6.70000E-2	9.99954E-1	1.91951E-8
6.75000E-2	1.00007E+0	1.67823E-8
6.80000E-2	1.00000E+0	1.97112E-8
6.85000E-2	1.00001E+0	1.48857E-8
6.90000E-2	9.99979E-1	1.78705E-8
6.95000E-2	9.98096E-1	8.66485E-7
7.00000E-2	1.00086E+0	2.87872E-6
7.05000E-2	1.00091E+0	4.31156E-7
7.10000E-2	1.00006E+0	1.22235E-7
7.15000E-2	1.00002E+0	7.49560E-8
7.20000E-2	9.99993E-1	5.68354E-8
7.25000E-2	9.99998E-1	4.39508E-8
7.30000E-2	1.00002E+0	3.64637E-8
7.35000E-2	1.00001E+0	3.45049E-8
7.40000E-2	9.99987E-1	2.90202E-8
7.45000E-2	1.00003E+0	2.55752E-8
7.50000E-2	1.00006E+0	2.32122E-8
7.55000E-2	9.99990E-1	2.54198E-8
7.60000E-2	9.99995E-1	1.92262E-8
7.65000E-2	1.00002E+0	2.06129E-8
7.70000E-2	9.99984E-1	1.84986E-8
7.75000E-2	9.99990E-1	1.66517E-8
7.80000E-2	1.00005E+0	1.79141E-8
7.85000E-2	9.99990E-1	1.66579E-8
7.90000E-2	9.99937E-1	1.87847E-8
7.95000E-2	9.97778E-1	1.90854E-6
8.00000E-2	1.00196E+0	2.08461E-6
8.05000E-2	1.00020E+0	2.19019E-7
8.10000E-2	1.00003E+0	9.86732E-8
8.15000E-2	1.00002E+0	6.72949E-8
8.20000E-2	1.00003E+0	4.90499E-8
8.25000E-2	1.00000E+0	4.14509E-8
8.30000E-2	1.00006E+0	3.58419E-8
8.35000E-2	9.99965E-1	3.17315E-8
8.40000E-2	1.00003E+0	2.79507E-8
8.45000E-2	9.99993E-1	2.56871E-8
8.50000E-2	1.00002E+0	2.44248E-8
8.55000E-2	1.00001E+0	2.22732E-8
8.60000E-2	9.99982E-1	2.08430E-8
8.65000E-2	1.00001E+0	1.82685E-8
8.70000E-2	9.99959E-1	1.88779E-8
8.75000E-2	9.99984E-1	1.93070E-8
8.80000E-2	9.99998E-1	1.53210E-8
8.85000E-2	9.99982E-1	1.61169E-8
8.90000E-2	9.98874E-1	2.85550E-7
8.95000E-2	9.98866E-1	2.67341E-6
9.00000E-2	1.00207E+0	1.11654E-6
9.05000E-2	1.00015E+0	1.47911E-7
9.10000E-2	1.00005E+0	8.56455E-8
9.15000E-2	1.00001E+0	6.02680E-8
9.20000E-2	9.99993E-1	4.69170E-8
9.25000E-2	9.99959E-1	3.97844E-8
9.30000E-2	1.00002E+0	3.36032E-8
9.35000E-2	1.00000E+0	3.08671E-8
9.40000E-2	1.00001E+0	2.50777E-8
9.45000E-2	9.99973E-1	2.59794E-8
9.50000E-2	1.00008E+0	2.15830E-8
9.55000E-2	9.99951E-1	2.25904E-8
9.60000E-2	1.00000E+0	2.06813E-8
9.65000E-2	1.00001E+0	1.62227E-8
9.70000E-2	9.99979E-1	1.87163E-8
9.75000E-2	1.00003E+0	1.63346E-8
9.80000E-2	9.99968E-1	1.79763E-8
9.85000E-2	1.00001E+0	1.53272E-8
9.90000E-2	9.97886E-1	1.02388E-6
9.95000E-2	1.00129E+0	2.74636E-6
1.00000E-1	1.00066E+0	3.64730E-7
1.00500E-1	1.00006E+0	1.16464E-7
1.01000E-1	1.00000E+0	7.28355E-8
1.01500E-1	1.00000E+0	5.23643E-8
1.02000E-1	1.00002E+0	4.51012E-8
1.02500E-1	9.99993E-1	3.72908E-8
1.03000E-1	9.99959E-1	3.32115E-8
1.03500E-1	1.00000E+0	2.92130E-8
1.04000E-1	9.99998E-1	2.69308E-8
1.04500E-1	1.00001E+0	2.33428E-8
1.05000E-1	9.99998E-1	2.16389E-8
1.05500E-1	1.00001E+0	2.25779E-8
1.06000E-1	9.99965E-1	2.00781E-8
1.06500E-1	1.00001E+0	1.88779E-8
1.07000E-1	9.99946E-1	1.68818E-8
1.07500E-1	1.00003E+0	1.72300E-8
1.08000E-1	1.00001E+0	1.76342E-8
1.08500E-1	9.99882E-1	2.41698E-8
1.09000E-1	9.97941E-1	2.05937E-6
1.09500E-1	1.00199E+0	1.90122E-6
1.10000E-1	1.00016E+0	2.01309E-7
1.10500E-1	1.00001E+0	9.34497E-8
1.11000E-1	1.00001E+0	6.46582E-8
1.11500E-1	9.99982E-1	5.21280E-8
1.12000E-1	1.00001E+0	4.02321E-8
1.12500E-1	1.00002E+0	3.52822E-8
1.13000E-1	1.00003E+0	2.98286E-8
1.13500E-1	9.99973E-1	2.80502E-8
1.14000E-1	1.00004E+0	2.66883E-8
1.14500E-1	1.00000E+0	2.35604E-8
1.15000E-1	9.99979E-1	2.25966E-8
1.15500E-1	9.99987E-1	2.08678E-8
1.16000E-1	9.99982E-1	1.87163E-8
1.16500E-1	9.99990E-1	1.95247E-8
1.17000E-1	1.00001E+0	1.63719E-8
1.17500E-1	1.00000E+0	1.85359E-8
1.18000E-1	1.00001E+0	1.63035E-8
1.18500E-1	9.98777E-1	3.78473E-7
1.19000E-1	9.99049E-1	2.72734E-6
1.19500E-1	1.00213E+0	9.31026E-7
1.20000E-1	1.00011E+0	1.43794E-7
1.20500E-1	9.99995E-1	7.83326E-8
1.21000E-1	1.00002E+0	5.97830E-8
1.21500E-1	9.99968E-1	4.53686E-8
1.22000E-1	1.00003E+0	3.81303E-8
1.22500E-1	1.00001E+0	3.45858E-8
1.23000E-1	1.00000E+0	2.76895E-8
1.23500E-1	1.00001E+0	2.73910E-8
1.24000E-1	9.99993E-1	2.53638E-8
1.24500E-1	9.99973E-1	2.33179E-8
1.25000E-1	1.00001E+0	2.00221E-8
1.25500E-1	1.00000E+0	2.21053E-8
1.26000E-1	1.00003E+0	1.85235E-8
1.26500E-1	1.00000E+0	1.83867E-8
1.27000E-1	1.00001E+0	1.65771E-8
1.27500E-1	1.00000E+0	1.76405E-8
1.28000E-1	9.99993E-1	1.64465E-8
1.28500E-1	9.97825E-1	1.18720E-6
1.29000E-1	1.00159E+0	2.60065E-6
1.29500E-1	1.00047E+0	3.13135E-7
1.30000E-1	1.00004E+0	1.12478E-7
1.30500E-1	1.00003E+0	6.90422E-8
1.31000E-1	1.00002E+0	5.44537E-8
1.31500E-1	1.00000E+0	4.19422E-8
1.32000E-1	1.00001E+0	3.61466E-8
1.32500E-1	1.00003E+0	3.34291E-8
1.33000E-1	9.99973E-1	2.90389E-8
1.33500E-1	1.00002E+0	2.67381E-8
1.34000E-1	1.00003E+0	2.24535E-8
1.34500E-1	9.99973E-1	2.22110E-8
1.35000E-1	1.00001E+0	2.08243E-8
1.35500E-1	1.00001E+0	2.10233E-8
1.36000E-1	1.00001E+0	1.93381E-8
1.36500E-1	1.00003E+0	1.67015E-8
1.37000E-1	9.99973E-1	1.67139E-8
1.37500E-1	1.00004E+0	1.65709E-8
1.38000E-1	9.99702E-1	4.35030E-8
1.38500E-1	9.98207E-1	2.19618E-6
1.39000E-1	1.00197E+0	1.72472E-6
1.39500E-1	1.00016E+0	1.84699E-7
1.40000E-1	1.00001E+0	8.90097E-8
1.40500E-1	1.00001E+0	6.26932E-8
1.41000E-1	1.00003E+0	4.99640E-8
1.41500E-1	1.00000E+0	4.06052E-8
1.42000E-1	9.99982E-1	3.37711E-8
1.42500E-1	9.99987E-1	3.04691E-8
1.43000E-1	1.00006E+0	2.68500E-8
1.43500E-1	9.99973E-1	2.68003E-8
1.44000E-1	1.00002E+0	2.14151E-8
1.44500E-1	1.00002E+0	2.33304E-8
1.45000E-1	1.00001E+0	2.23478E-8
1.45500E-1	9.99993E-1	1.92324E-8
1.46000E-1	9.99987E-1	1.83121E-8
