## Header ##
[General info]
User	Giorgos_Psaltakis
Device	Sample
Cell area (cm2)	1
Test	Memristor
Date	2024-03-03
Time	03:39:04
Note	

[Acquisition Settings]
Sampling time (s)	5.000E-1
Voltage Range (V)	6.000E+0
Current Range (A)	1.000E-5
Current Limit (A)	1.000E-5

[Waveform Settings]
V_HRS (V)	3.0000
V_LRS (V)	3.0000
V_READ (V)	3.0000
t_HRS (s)	0.0200
t_LRS (s)	0.0200
t_READ (s)	0.0000
d_HRS (s)	0.0000
d_LRS (s)	0.0000
d_READ (s)	0.0000
Cycles	100

## Data ##
Time (s)	Voltage (V)	Current (A)
0.00000E+0	2.72284E+0	1.90949E-6
5.00000E-4	3.00006E+0	6.38871E-8
1.00000E-3	3.00002E+0	4.95785E-8
1.50000E-3	2.99997E+0	3.54377E-8
2.00000E-3	3.00003E+0	3.03012E-8
2.50000E-3	2.99997E+0	3.06806E-8
3.00000E-3	2.99999E+0	2.43440E-8
3.50000E-3	2.99997E+0	2.60976E-8
4.00000E-3	3.00001E+0	2.01652E-8
4.50000E-3	3.00003E+0	2.22359E-8
5.00000E-3	3.00003E+0	2.12161E-8
5.50000E-3	3.00001E+0	2.08243E-8
6.00000E-3	2.99993E+0	2.03766E-8
6.50000E-3	3.00008E+0	1.69751E-8
7.00000E-3	2.99997E+0	2.13964E-8
7.50000E-3	2.99998E+0	1.50909E-8
8.00000E-3	3.00002E+0	2.04388E-8
8.50000E-3	2.99997E+0	1.70248E-8
9.00000E-3	3.00005E+0	1.76218E-8
9.50000E-3	2.99994E+0	1.46618E-8
1.00000E-2	3.00008E+0	1.67139E-8
1.05000E-2	2.99994E+0	1.88282E-8
1.10000E-2	2.99999E+0	1.47551E-8
1.15000E-2	3.00003E+0	1.76342E-8
1.20000E-2	2.99997E+0	1.41706E-8
1.25000E-2	3.00001E+0	1.77773E-8
1.30000E-2	2.99998E+0	1.40648E-8
1.35000E-2	3.00006E+0	1.52526E-8
1.40000E-2	2.99992E+0	1.66828E-8
1.45000E-2	3.00005E+0	1.55946E-8
1.50000E-2	2.99995E+0	1.42514E-8
1.55000E-2	3.00002E+0	1.47116E-8
1.60000E-2	3.00000E+0	1.62973E-8
1.65000E-2	2.99998E+0	1.51220E-8
1.70000E-2	3.00004E+0	1.38845E-8
1.75000E-2	2.99997E+0	1.55511E-8
1.80000E-2	3.00004E+0	1.51655E-8
1.85000E-2	2.99997E+0	1.54516E-8
1.90000E-2	3.00007E+0	1.18573E-8
1.95000E-2	2.99995E+0	1.69378E-8
2.00000E-2	3.00001E+0	1.14904E-8
2.05000E-2	2.99998E+0	1.57065E-8
2.10000E-2	2.99999E+0	1.41457E-8
2.15000E-2	3.00004E+0	1.44753E-8
2.20000E-2	2.99995E+0	1.34119E-8
2.25000E-2	3.00001E+0	1.58371E-8
2.30000E-2	2.99998E+0	1.23859E-8
2.35000E-2	3.00007E+0	1.20252E-8
2.40000E-2	3.00001E+0	1.48608E-8
2.45000E-2	3.00006E+0	1.27403E-8
2.50000E-2	2.99995E+0	1.53956E-8
