## Header ##
[General info]
User	Giorgos_Psaltakis
Device	Sample
Cell area (cm2)	1
Test	Memristor
Date	2024-03-03
Time	03:37:11
Note	

[Acquisition Settings]
Sampling time (s)	5.000E-1
Voltage Range (V)	6.000E+0
Current Range (A)	1.000E-5
Current Limit (A)	1.000E-5

[Waveform Settings]
V_HRS (V)	3.0000
V_LRS (V)	3.0000
V_READ (V)	3.0000
t_HRS (s)	0.0200
t_LRS (s)	0.0200
t_READ (s)	0.0000
d_HRS (s)	0.0000
d_LRS (s)	0.0000
d_READ (s)	0.0000
Cycles	100

## Data ##
Time_HRS (s)	R_HRS (Ohm)	Time_LRS (s)	R_LRS (Ohm)
2.00000E-2	NaN	4.00000E-2	NaN
6.00000E-2	NaN	8.00000E-2	NaN
1.00000E-1	NaN	1.20000E-1	NaN
1.40000E-1	NaN	1.60000E-1	NaN
1.80000E-1	NaN	2.00000E-1	NaN
2.20000E-1	NaN	2.40000E-1	NaN
2.60000E-1	NaN	2.80000E-1	NaN
3.00000E-1	NaN	3.20000E-1	NaN
3.40000E-1	NaN	3.60000E-1	NaN
3.80000E-1	NaN	4.00000E-1	NaN
4.20000E-1	NaN	4.40000E-1	NaN
4.60000E-1	NaN	4.80000E-1	NaN
5.00000E-1	NaN	5.20000E-1	NaN
5.40000E-1	NaN	5.60000E-1	NaN
5.80000E-1	NaN	6.00000E-1	NaN
6.20000E-1	NaN	6.40000E-1	NaN
6.60000E-1	NaN	6.80000E-1	NaN
7.00000E-1	NaN	7.20000E-1	NaN
7.40000E-1	NaN	7.60000E-1	NaN
7.80000E-1	NaN	8.00000E-1	NaN
8.20000E-1	NaN	8.40000E-1	NaN
8.60000E-1	NaN	8.80000E-1	NaN
9.00000E-1	NaN	9.20000E-1	NaN
9.40000E-1	NaN	9.60000E-1	NaN
9.80000E-1	NaN	1.00000E+0	NaN
1.02000E+0	NaN	1.04000E+0	NaN
1.06000E+0	NaN	1.08000E+0	NaN
1.10000E+0	NaN	1.12000E+0	NaN
1.14000E+0	NaN	1.16000E+0	NaN
1.18000E+0	NaN	1.20000E+0	NaN
1.22000E+0	NaN	1.24000E+0	NaN
1.26000E+0	NaN	1.28000E+0	NaN
1.30000E+0	NaN	1.32000E+0	NaN
1.34000E+0	NaN	1.36000E+0	NaN
1.38000E+0	NaN	1.40000E+0	NaN
1.42000E+0	NaN	1.44000E+0	NaN
1.46000E+0	NaN	1.48000E+0	NaN
1.50000E+0	NaN	1.52000E+0	NaN
1.54000E+0	NaN	1.56000E+0	NaN
1.58000E+0	NaN	1.60000E+0	NaN
1.62000E+0	NaN	1.64000E+0	NaN
1.66000E+0	NaN	1.68000E+0	NaN
1.70000E+0	NaN	1.72000E+0	NaN
1.74000E+0	NaN	1.76000E+0	NaN
1.78000E+0	NaN	1.80000E+0	NaN
1.82000E+0	NaN	1.84000E+0	NaN
1.86000E+0	NaN	1.88000E+0	NaN
1.90000E+0	NaN	1.92000E+0	NaN
1.94000E+0	NaN	1.96000E+0	NaN
1.98000E+0	NaN	2.00000E+0	NaN
2.02000E+0	NaN	2.04000E+0	NaN
2.06000E+0	NaN	2.08000E+0	NaN
2.10000E+0	NaN	2.12000E+0	NaN
2.14000E+0	NaN	2.16000E+0	NaN
2.18000E+0	NaN	2.20000E+0	NaN
2.22000E+0	NaN	2.24000E+0	NaN
2.26000E+0	NaN	2.28000E+0	NaN
2.30000E+0	NaN	2.32000E+0	NaN
2.34000E+0	NaN	2.36000E+0	NaN
2.38000E+0	NaN	2.40000E+0	NaN
2.42000E+0	NaN	2.44000E+0	NaN
2.46000E+0	NaN	2.48000E+0	NaN
2.50000E+0	NaN	2.52000E+0	NaN
2.54000E+0	NaN	2.56000E+0	NaN
2.58000E+0	NaN	2.60000E+0	NaN
2.62000E+0	NaN	2.64000E+0	NaN
2.66000E+0	NaN	2.68000E+0	NaN
2.70000E+0	NaN	2.72000E+0	NaN
2.74000E+0	NaN	2.76000E+0	NaN
2.78000E+0	NaN	2.80000E+0	NaN
2.82000E+0	NaN	2.84000E+0	NaN
2.86000E+0	NaN	2.88000E+0	NaN
2.90000E+0	NaN	2.92000E+0	NaN
2.94000E+0	NaN	2.96000E+0	NaN
2.98000E+0	NaN	3.00000E+0	NaN
3.02000E+0	NaN	3.04000E+0	NaN
3.06000E+0	NaN	3.08000E+0	NaN
3.10000E+0	NaN	3.12000E+0	NaN
3.14000E+0	NaN	3.16000E+0	NaN
3.18000E+0	NaN	3.20000E+0	NaN
3.22000E+0	NaN	3.24000E+0	NaN
3.26000E+0	NaN	3.28000E+0	NaN
3.30000E+0	NaN	3.32000E+0	NaN
3.34000E+0	NaN	3.36000E+0	NaN
3.38000E+0	NaN	3.40000E+0	NaN
3.42000E+0	NaN	3.44000E+0	NaN
3.46000E+0	NaN	3.48000E+0	NaN
3.50000E+0	NaN	3.52000E+0	NaN
3.54000E+0	NaN	3.56000E+0	NaN
3.58000E+0	NaN	3.60000E+0	NaN
3.62000E+0	NaN	3.64000E+0	NaN
3.66000E+0	NaN	3.68000E+0	NaN
3.70000E+0	NaN	3.72000E+0	NaN
3.74000E+0	NaN	3.76000E+0	NaN
3.78000E+0	NaN	3.80000E+0	NaN
3.82000E+0	NaN	3.84000E+0	NaN
3.86000E+0	NaN	3.88000E+0	NaN
3.90000E+0	NaN	3.92000E+0	NaN
3.94000E+0	NaN	3.96000E+0	NaN
3.98000E+0	NaN	4.00000E+0	NaN
