## Header ##
[General info]
User	Giorgos_Psaltakis
Device	Sample
Cell area (cm2)	1
Test	Memristor
Date	2024-03-03
Time	03:27:04
Note	

[Acquisition Settings]
Sampling time (s)	5.000E-1
Voltage Range (V)	6.000E+0
Current Range (A)	1.000E-6
Current Limit (A)	1.000E-6

[Waveform Settings]
V_HRS (V)	0.1000
V_LRS (V)	0.1000
V_READ (V)	0.1000
t_HRS (s)	0.0220
t_LRS (s)	0.0220
t_READ (s)	0.0000
d_HRS (s)	0.0000
d_LRS (s)	0.0000
d_READ (s)	0.0000
Cycles	1

## Data ##
Time (s)	Voltage (V)	Current (A)
0.00000E+0	9.87930E-2	1.16129E-7
5.00000E-4	9.85328E-2	5.33949E-8
1.00000E-3	1.01240E-1	9.97932E-8
1.50000E-3	1.00125E-1	1.63535E-8
2.00000E-3	1.00047E-1	9.15901E-9
2.50000E-3	1.00003E-1	6.45812E-9
3.00000E-3	1.00011E-1	4.89294E-9
3.50000E-3	9.99973E-2	4.40549E-9
4.00000E-3	9.99945E-2	3.48608E-9
4.50000E-3	9.99945E-2	2.85527E-9
5.00000E-3	1.00033E-1	2.63211E-9
5.50000E-3	9.99696E-2	2.38590E-9
6.00000E-3	9.99973E-2	2.11350E-9
6.50000E-3	9.99752E-2	2.20887E-9
7.00000E-3	1.00017E-1	1.50576E-9
7.50000E-3	1.00000E-1	1.87477E-9
8.00000E-3	1.00011E-1	1.50887E-9
8.50000E-3	1.00019E-1	1.32624E-9
9.00000E-3	9.99890E-2	1.24645E-9
9.50000E-3	9.99890E-2	1.44280E-9
1.00000E-2	9.89785E-2	2.70324E-8
1.05000E-2	9.99779E-2	1.76962E-7
1.10000E-2	1.00919E-1	3.69378E-8
1.15000E-2	1.00058E-1	1.07242E-8
1.20000E-2	1.00033E-1	6.50736E-9
1.25000E-2	1.00017E-1	4.80006E-9
1.30000E-2	1.00003E-1	3.92740E-9
1.35000E-2	9.99890E-2	2.96373E-9
1.40000E-2	1.00022E-1	2.90576E-9
1.45000E-2	1.00000E-1	2.30674E-9
1.50000E-2	1.00003E-1	1.94458E-9
1.55000E-2	9.99669E-2	2.03808E-9
1.60000E-2	1.00014E-1	1.66034E-9
1.65000E-2	9.99973E-2	1.59863E-9
1.70000E-2	1.00000E-1	1.22900E-9
