## Header ##
[General info]
User	Giorgos_Psaltakis
Device	Sample
Cell area (cm2)	1
Test	Memristor
Date	2024-03-03
Time	03:40:40
Note	

[Acquisition Settings]
Sampling time (s)	5.000E-1
Voltage Range (V)	6.000E+0
Current Range (A)	1.000E-5
Current Limit (A)	1.000E-5

[Waveform Settings]
V_HRS (V)	2.0000
V_LRS (V)	2.0000
V_READ (V)	2.0000
t_HRS (s)	0.0200
t_LRS (s)	0.0200
t_READ (s)	0.0000
d_HRS (s)	0.0000
d_LRS (s)	0.0000
d_READ (s)	0.0000
Cycles	2

## Data ##
Time (s)	Voltage (V)	Current (A)
0.00000E+0	1.88393E+0	1.29001E-6
5.00000E-4	1.99998E+0	4.59655E-8
1.00000E-3	2.00003E+0	3.20300E-8
1.50000E-3	2.00003E+0	2.38714E-8
2.00000E-3	2.00000E+0	2.33863E-8
2.50000E-3	1.99999E+0	2.27893E-8
3.00000E-3	2.00001E+0	1.92759E-8
3.50000E-3	1.99996E+0	1.94003E-8
4.00000E-3	1.99995E+0	1.94873E-8
4.50000E-3	2.00003E+0	1.39529E-8
5.00000E-3	1.99999E+0	1.70497E-8
5.50000E-3	1.99999E+0	1.58558E-8
6.00000E-3	2.00002E+0	1.42638E-8
6.50000E-3	1.99996E+0	1.68569E-8
7.00000E-3	2.00001E+0	1.41146E-8
7.50000E-3	1.99999E+0	1.57749E-8
8.00000E-3	1.99998E+0	1.32813E-8
8.50000E-3	1.99997E+0	1.57314E-8
9.00000E-3	2.00003E+0	1.23361E-8
9.50000E-3	1.99998E+0	1.34181E-8
1.00000E-2	2.00001E+0	1.40027E-8
1.05000E-2	1.99997E+0	1.15339E-8
1.10000E-2	1.99999E+0	1.41954E-8
1.15000E-2	2.00000E+0	3.36841E-8
1.20000E-2	2.00002E+0	3.33048E-8
1.25000E-2	1.99999E+0	3.58916E-8
1.30000E-2	2.00006E+0	3.34167E-8
1.35000E-2	2.00000E+0	3.33421E-8
1.40000E-2	1.99997E+0	3.50957E-8
1.45000E-2	2.00007E+0	3.29938E-8
1.50000E-2	1.99998E+0	3.20548E-8
1.55000E-2	1.99997E+0	3.24217E-8
1.60000E-2	2.00003E+0	3.05749E-8
1.65000E-2	1.99997E+0	3.07738E-8
1.70000E-2	1.99995E+0	3.16258E-8
1.75000E-2	2.00003E+0	2.67505E-8
1.80000E-2	1.99999E+0	2.88026E-8
1.85000E-2	2.00002E+0	2.84979E-8
1.90000E-2	2.00004E+0	2.91881E-8
1.95000E-2	2.00001E+0	2.75278E-8
2.00000E-2	2.00000E+0	2.89518E-8
2.05000E-2	1.99999E+0	2.45181E-8
2.10000E-2	1.99992E+0	6.13500E-8
2.15000E-2	1.99998E+0	1.27521E-7
2.20000E-2	2.00002E+0	1.00097E-7
2.25000E-2	1.99998E+0	8.78158E-8
2.30000E-2	2.00006E+0	7.62557E-8
2.35000E-2	1.99996E+0	6.87438E-8
2.40000E-2	1.99999E+0	6.30166E-8
2.45000E-2	2.00006E+0	5.95840E-8
2.50000E-2	1.99998E+0	5.65929E-8
2.55000E-2	2.00000E+0	5.09963E-8
2.60000E-2	2.00001E+0	5.04553E-8
2.65000E-2	1.99994E+0	4.88260E-8
2.70000E-2	2.00002E+0	4.59407E-8
2.75000E-2	2.00001E+0	4.32232E-8
2.80000E-2	1.99998E+0	4.02632E-8
2.85000E-2	2.00003E+0	4.23029E-8
2.90000E-2	1.99996E+0	3.84039E-8
2.95000E-2	2.00001E+0	3.84661E-8
3.00000E-2	2.00006E+0	3.76017E-8
3.05000E-2	1.99998E+0	3.60036E-8
3.10000E-2	1.99992E+0	1.24586E-7
3.15000E-2	2.00007E+0	1.33465E-7
3.20000E-2	1.99999E+0	1.10034E-7
3.25000E-2	1.99996E+0	9.16339E-8
