## Header ##
[General info]
User	Giorgos_Psaltakis
Device	Sample
Cell area (cm2)	1
Test	Memristor
Date	2024-03-03
Time	03:22:49
Note	

[Acquisition Settings]
Sampling time (s)	5.000E-1
Voltage Range (V)	6.000E+0
Current Range (A)	1.000E-6
Current Limit (A)	1.000E-6

[Waveform Settings]
V_HRS (V)	0.1000
V_LRS (V)	0.1000
V_READ (V)	0.1000
t_HRS (s)	0.0400
t_LRS (s)	0.0400
t_READ (s)	0.0000
d_HRS (s)	0.0000
d_LRS (s)	0.0000
d_READ (s)	0.0000
Cycles	1

## Data ##
Time (s)	Voltage (V)	Current (A)
0.00000E+0	9.87127E-2	1.05131E-7
5.00000E-4	1.00011E-1	6.00056E-10
1.00000E-3	9.80732E-2	2.16109E-7
1.50000E-3	1.00019E-1	2.50980E-7
2.00000E-3	1.00091E-1	2.54305E-7
2.50000E-3	1.01598E-1	5.34816E-8
3.00000E-3	9.99835E-2	1.34531E-8
3.50000E-3	1.00044E-1	5.42090E-9
4.00000E-3	9.98755E-2	6.14957E-9
4.50000E-3	9.85715E-2	7.00235E-8
5.00000E-3	9.98395E-2	2.39274E-7
5.50000E-3	9.99696E-2	2.44746E-7
6.00000E-3	1.00914E-1	2.37008E-7
6.50000E-3	1.00850E-1	3.13490E-8
7.00000E-3	9.99336E-2	1.00560E-8
7.50000E-3	1.00033E-1	6.92375E-9
8.00000E-3	9.99281E-2	3.51662E-9
8.50000E-3	9.83307E-2	9.91562E-8
9.00000E-3	1.00025E-1	2.36924E-7
9.50000E-3	9.98727E-2	2.43838E-7
1.00000E-2	1.01406E-1	2.09112E-7
1.05000E-2	1.00316E-1	2.18756E-8
1.10000E-2	9.99807E-2	9.61966E-9
1.15000E-2	1.00111E-1	5.79178E-9
1.20000E-2	1.00058E-1	4.52392E-9
1.25000E-2	9.82005E-2	1.31287E-7
1.30000E-2	9.99087E-2	2.35247E-7
1.35000E-2	1.00033E-1	2.40098E-7
1.40000E-2	1.01514E-1	1.77132E-7
1.45000E-2	1.00089E-1	2.01683E-8
1.50000E-2	1.00089E-1	7.38751E-9
1.55000E-2	9.99530E-2	4.46720E-9
1.60000E-2	9.99890E-2	6.33719E-9
1.65000E-2	9.83196E-2	1.60918E-7
1.70000E-2	9.99558E-2	2.31814E-7
1.75000E-2	9.99226E-2	2.41637E-7
1.80000E-2	1.01622E-1	1.45947E-7
1.85000E-2	1.00100E-1	1.54790E-8
1.90000E-2	1.00199E-1	7.89802E-9
1.95000E-2	9.99087E-2	4.96026E-9
2.00000E-2	9.97343E-2	6.49178E-9
2.05000E-2	9.86629E-2	1.89426E-7
2.10000E-2	1.00050E-1	2.31954E-7
2.15000E-2	9.99807E-2	2.37172E-7
2.20000E-2	1.01584E-1	1.15134E-7
2.25000E-2	1.00166E-1	1.47490E-8
2.30000E-2	9.99115E-2	5.87406E-9
2.35000E-2	1.00080E-1	4.52766E-9
2.40000E-2	9.90892E-2	1.97556E-8
2.45000E-2	9.92775E-2	2.05440E-7
2.50000E-2	9.98949E-2	2.32754E-7
2.55000E-2	9.99613E-2	2.36197E-7
2.60000E-2	1.01548E-1	8.44125E-8
2.65000E-2	1.00180E-1	1.15831E-8
2.70000E-2	1.00075E-1	6.31413E-9
2.75000E-2	9.99862E-2	5.35046E-9
2.80000E-2	9.87902E-2	3.66859E-8
2.85000E-2	9.95239E-2	2.18699E-7
2.90000E-2	9.98810E-2	2.32348E-7
2.95000E-2	1.00158E-1	2.33438E-7
3.00000E-2	1.01492E-1	5.30116E-8
3.05000E-2	1.00116E-1	9.95127E-9
3.10000E-2	9.99945E-2	7.62188E-9
3.15000E-2	9.99032E-2	2.90513E-9
3.20000E-2	9.87570E-2	6.16366E-8
3.25000E-2	9.96402E-2	2.23833E-7
3.30000E-2	9.99253E-2	2.30978E-7
3.35000E-2	1.00772E-1	2.25119E-7
3.40000E-2	1.00936E-1	3.14207E-8
3.45000E-2	1.00006E-1	9.69633E-9
3.50000E-2	9.98949E-2	6.38083E-9
3.55000E-2	1.00017E-1	3.97228E-9
3.60000E-2	9.83999E-2	8.96223E-8
3.65000E-2	9.99475E-2	2.24214E-7
3.70000E-2	1.00083E-1	2.31417E-7
3.75000E-2	1.01326E-1	2.02807E-7
3.80000E-2	1.00305E-1	2.29184E-8
3.85000E-2	9.99918E-2	9.28119E-9
3.90000E-2	1.00119E-1	3.55527E-9
3.95000E-2	1.00022E-1	4.80567E-9
4.00000E-2	9.82338E-2	1.21066E-7
4.05000E-2	9.99502E-2	2.24569E-7
4.10000E-2	9.98589E-2	2.31120E-7
4.15000E-2	1.01506E-1	1.72969E-7
4.20000E-2	1.00244E-1	1.91473E-8
4.25000E-2	1.00028E-1	7.99899E-9
4.30000E-2	1.00011E-1	4.88109E-9
4.35000E-2	9.99309E-2	4.55696E-9
4.40000E-2	9.84276E-2	1.51782E-7
4.45000E-2	9.99724E-2	2.23846E-7
4.50000E-2	9.99447E-2	2.31366E-7
4.55000E-2	1.01451E-1	1.44217E-7
4.60000E-2	1.00271E-1	1.48563E-8
4.65000E-2	1.00011E-1	8.58867E-9
4.70000E-2	1.00047E-1	4.78261E-9
4.75000E-2	9.96097E-2	5.50692E-9
4.80000E-2	9.87598E-2	1.79055E-7
4.85000E-2	9.99143E-2	2.24548E-7
4.90000E-2	1.00019E-1	2.30665E-7
4.95000E-2	1.01539E-1	1.13265E-7
5.00000E-2	1.00061E-1	1.39275E-8
5.05000E-2	1.00053E-1	7.49846E-9
5.10000E-2	9.99253E-2	5.52188E-9
5.15000E-2	9.92996E-2	1.43177E-8
5.20000E-2	9.92166E-2	1.98751E-7
5.25000E-2	9.99226E-2	2.25657E-7
5.30000E-2	9.98783E-2	2.28177E-7
5.35000E-2	1.01683E-1	8.31104E-8
5.40000E-2	1.00130E-1	1.31003E-8
5.45000E-2	9.99807E-2	7.10888E-9
5.50000E-2	9.98949E-2	4.09507E-9
5.55000E-2	9.90200E-2	3.32888E-8
5.60000E-2	9.94464E-2	2.10166E-7
5.65000E-2	9.98506E-2	2.24765E-7
5.70000E-2	1.00089E-1	2.28032E-7
5.75000E-2	1.01620E-1	5.34205E-8
5.80000E-2	9.99696E-2	1.19434E-8
5.85000E-2	1.00105E-1	5.01511E-9
5.90000E-2	1.00028E-1	4.01030E-9
5.95000E-2	9.87515E-2	5.73961E-8
6.00000E-2	9.97454E-2	2.16801E-7
6.05000E-2	9.98921E-2	2.25346E-7
6.10000E-2	1.00662E-1	2.20722E-7
6.15000E-2	1.00820E-1	3.15079E-8
6.20000E-2	1.00069E-1	9.85403E-9
6.25000E-2	1.00017E-1	5.35420E-9
6.30000E-2	1.00086E-1	3.85447E-9
6.35000E-2	9.82974E-2	8.46631E-8
6.40000E-2	9.99392E-2	2.19460E-7
6.45000E-2	9.99419E-2	2.25035E-7
6.50000E-2	1.01299E-1	1.97357E-7
6.55000E-2	1.00379E-1	2.37032E-8
6.60000E-2	9.99669E-2	9.74183E-9
6.65000E-2	9.99669E-2	4.50398E-9
6.70000E-2	1.00103E-1	4.83621E-9
6.75000E-2	9.84248E-2	1.13453E-7
6.80000E-2	9.99364E-2	2.18843E-7
6.85000E-2	9.99364E-2	2.25406E-7
6.90000E-2	1.01512E-1	1.71368E-7
6.95000E-2	1.00174E-1	1.83924E-8
7.00000E-2	9.99724E-2	8.31939E-9
7.05000E-2	9.99945E-2	5.54681E-9
7.10000E-2	1.00000E-1	3.44058E-9
7.15000E-2	9.84386E-2	1.45212E-7
7.20000E-2	9.99641E-2	2.18596E-7
7.25000E-2	9.99669E-2	2.25678E-7
7.30000E-2	1.01484E-1	1.43445E-7
7.35000E-2	1.00194E-1	1.57956E-8
7.40000E-2	1.00108E-1	7.45046E-9
7.45000E-2	9.98893E-2	4.75019E-9
7.50000E-2	9.99613E-2	6.30603E-9
7.55000E-2	9.84525E-2	1.71903E-7
7.60000E-2	9.99586E-2	2.18303E-7
7.65000E-2	1.00161E-1	2.25959E-7
7.70000E-2	1.01359E-1	1.13404E-7
7.75000E-2	1.00141E-1	1.39387E-8
7.80000E-2	1.00072E-1	5.53995E-9
7.85000E-2	1.00042E-1	5.06311E-9
7.90000E-2	9.93578E-2	1.47758E-8
7.95000E-2	9.92277E-2	1.92867E-7
8.00000E-2	9.99226E-2	2.20329E-7
8.05000E-2	1.00028E-1	2.23370E-7
8.10000E-2	1.01556E-1	8.37892E-8
8.15000E-2	1.00141E-1	1.22221E-8
8.20000E-2	1.00086E-1	7.50158E-9
8.25000E-2	9.98257E-2	3.42499E-9
8.30000E-2	9.89591E-2	3.24230E-8
8.35000E-2	9.95073E-2	2.05462E-7
8.40000E-2	1.00008E-1	2.17798E-7
8.45000E-2	1.00008E-1	2.24533E-7
8.50000E-2	1.01553E-1	5.44259E-8
8.55000E-2	9.99807E-2	1.21410E-8
8.60000E-2	1.00089E-1	5.36417E-9
8.65000E-2	1.00042E-1	4.44164E-9
8.70000E-2	9.86795E-2	5.50904E-8
8.75000E-2	9.97620E-2	2.10886E-7
8.80000E-2	9.98810E-2	2.20225E-7
8.85000E-2	1.00645E-1	2.15408E-7
8.90000E-2	1.00900E-1	3.34789E-8
8.95000E-2	1.00108E-1	9.33978E-9
9.00000E-2	9.98340E-2	6.19071E-9
9.05000E-2	1.00006E-1	4.16676E-9
9.10000E-2	9.86269E-2	8.03422E-8
9.15000E-2	9.98700E-2	2.13822E-7
9.20000E-2	1.00028E-1	2.20994E-7
9.25000E-2	1.01171E-1	1.95967E-7
9.30000E-2	1.00282E-1	2.34489E-8
9.35000E-2	1.00094E-1	9.42892E-9
9.40000E-2	1.00116E-1	4.66043E-9
9.45000E-2	9.99419E-2	3.85509E-9
9.50000E-2	9.84940E-2	1.11555E-7
9.55000E-2	9.98783E-2	2.14226E-7
9.60000E-2	9.99973E-2	2.19910E-7
9.65000E-2	1.01337E-1	1.70330E-7
9.70000E-2	1.00158E-1	1.93187E-8
9.75000E-2	1.00091E-1	7.46106E-9
9.80000E-2	9.99115E-2	6.08662E-9
9.85000E-2	1.00000E-1	4.16489E-9
9.90000E-2	9.84054E-2	1.39425E-7
9.95000E-2	9.99973E-2	2.14226E-7
