## Header ##
[General info]
User	Giorgos_Psaltakis
Device	Sample
Cell area (cm2)	1
Test	Memristor
Date	2024-03-03
Time	03:27:27
Note	

[Acquisition Settings]
Sampling time (s)	5.000E-1
Voltage Range (V)	6.000E+0
Current Range (A)	1.000E-6
Current Limit (A)	1.000E-6

[Waveform Settings]
V_HRS (V)	0.1000
V_LRS (V)	0.1000
V_READ (V)	0.1000
t_HRS (s)	0.0210
t_LRS (s)	0.0200
t_READ (s)	0.0000
d_HRS (s)	0.0000
d_LRS (s)	0.0000
d_READ (s)	0.0000
Cycles	1

## Data ##
Time (s)	Voltage (V)	Current (A)
0.00000E+0	9.87681E-2	1.16768E-7
5.00000E-4	9.99890E-2	2.38590E-9
1.00000E-3	9.94879E-2	5.79240E-9
1.50000E-3	1.00341E-1	1.22843E-7
2.00000E-3	1.00166E-1	2.01471E-8
2.50000E-3	1.00100E-1	1.04518E-8
3.00000E-3	1.00011E-1	7.11885E-9
3.50000E-3	9.99835E-2	5.58359E-9
4.00000E-3	9.99890E-2	4.57067E-9
4.50000E-3	1.00003E-1	3.79712E-9
5.00000E-3	9.99779E-2	3.35206E-9
5.50000E-3	1.00011E-1	2.99926E-9
6.00000E-3	1.00017E-1	2.67699E-9
6.50000E-3	1.00000E-1	2.35536E-9
7.00000E-3	1.00011E-1	2.46693E-9
7.50000E-3	1.00011E-1	1.87913E-9
8.00000E-3	9.99613E-2	1.92775E-9
8.50000E-3	1.00036E-1	1.65286E-9
9.00000E-3	9.99890E-2	1.92276E-9
9.50000E-3	9.99586E-2	1.53692E-9
1.00000E-2	1.00003E-1	1.50139E-9
1.05000E-2	9.93799E-2	1.07809E-8
1.10000E-2	9.91668E-2	1.82716E-7
1.15000E-2	1.01373E-1	6.26919E-8
1.20000E-2	1.00083E-1	1.29638E-8
1.25000E-2	1.00025E-1	7.66925E-9
1.30000E-2	1.00008E-1	5.41404E-9
1.35000E-2	1.00000E-1	4.18421E-9
1.40000E-2	1.00000E-1	3.77780E-9
1.45000E-2	1.00006E-1	2.88456E-9
1.50000E-2	1.00003E-1	2.77112E-9
1.55000E-2	1.00022E-1	2.33541E-9
1.60000E-2	1.00011E-1	2.10415E-9
