## Header ##
[General info]
User	Giorgos_Psaltakis
Device	Sample
Cell area (cm2)	1
Test	Memristor
Date	2024-03-03
Time	03:24:00
Note	

[Acquisition Settings]
Sampling time (s)	5.000E-1
Voltage Range (V)	6.000E+0
Current Range (A)	1.000E-6
Current Limit (A)	1.000E-6

[Waveform Settings]
V_HRS (V)	0.1000
V_LRS (V)	0.1000
V_READ (V)	0.1000
t_HRS (s)	0.0400
t_LRS (s)	0.0400
t_READ (s)	0.0000
d_HRS (s)	0.0000
d_LRS (s)	0.0000
d_READ (s)	0.0000
Cycles	1

## Data ##
Time (s)	Voltage (V)	Current (A)
0.00000E+0	9.87653E-2	1.05546E-7
5.00000E-4	9.99281E-2	3.22366E-9
1.00000E-3	1.00061E-1	-5.44417E-11
1.50000E-3	9.99807E-2	2.01252E-9
2.00000E-3	9.86103E-2	1.32410E-7
2.50000E-3	9.98949E-2	1.98394E-7
3.00000E-3	1.00150E-1	1.95016E-7
3.50000E-3	1.01163E-1	5.50144E-8
4.00000E-3	1.00036E-1	1.35367E-8
4.50000E-3	9.99641E-2	1.04306E-8
5.00000E-3	1.00191E-1	6.77415E-9
5.50000E-3	1.00003E-1	6.13087E-9
6.00000E-3	1.00064E-1	5.02633E-9
6.50000E-3	9.99641E-2	4.62116E-9
7.00000E-3	1.00036E-1	4.28145E-9
7.50000E-3	1.00017E-1	2.73185E-9
8.00000E-3	9.98727E-2	3.77780E-9
8.50000E-3	1.00078E-1	3.70487E-9
9.00000E-3	9.99530E-2	1.40976E-9
9.50000E-3	1.00125E-1	3.29222E-9
1.00000E-2	9.98672E-2	1.36364E-9
1.05000E-2	1.00017E-1	3.41876E-9
1.10000E-2	1.00122E-1	2.08732E-9
1.15000E-2	9.87653E-2	6.46984E-8
1.20000E-2	9.97481E-2	1.85363E-7
1.25000E-2	1.00100E-1	1.92755E-7
1.30000E-2	1.01008E-1	1.60972E-7
1.35000E-2	1.00318E-1	2.29652E-8
1.40000E-2	9.99392E-2	1.14067E-8
1.45000E-2	1.00047E-1	9.21885E-9
1.50000E-2	1.00036E-1	6.56035E-9
1.55000E-2	9.99253E-2	3.27103E-9
1.60000E-2	1.00080E-1	4.36996E-9
1.65000E-2	1.00036E-1	4.50772E-9
1.70000E-2	9.99253E-2	2.79667E-9
1.75000E-2	1.00224E-1	2.87459E-9
1.80000E-2	9.99032E-2	4.72152E-9
1.85000E-2	1.00053E-1	2.22259E-9
1.90000E-2	1.00055E-1	2.56168E-9
1.95000E-2	9.98976E-2	1.48830E-9
2.00000E-2	9.98700E-2	2.86836E-9
2.05000E-2	1.00183E-1	2.09917E-9
2.10000E-2	9.99032E-2	2.28305E-9
2.15000E-2	9.87709E-2	1.25668E-7
2.20000E-2	9.98617E-2	1.89775E-7
2.25000E-2	1.00031E-1	1.92879E-7
2.30000E-2	1.01276E-1	1.00987E-7
2.35000E-2	1.00033E-1	1.72100E-8
2.40000E-2	1.00008E-1	8.50327E-9
2.45000E-2	9.99807E-2	6.70621E-9
2.50000E-2	1.00089E-1	4.93158E-9
2.55000E-2	1.00042E-1	5.01199E-9
2.60000E-2	9.99918E-2	5.02197E-9
2.65000E-2	1.00019E-1	1.83799E-9
2.70000E-2	1.00017E-1	4.37370E-9
2.75000E-2	9.99281E-2	4.10193E-9
2.80000E-2	9.99309E-2	1.31315E-9
2.85000E-2	1.00116E-1	2.67699E-9
2.90000E-2	9.99890E-2	2.82535E-9
2.95000E-2	1.00017E-1	1.90219E-9
3.00000E-2	9.98644E-2	2.10291E-9
3.05000E-2	1.00036E-1	2.12971E-9
