## Header ##
[General info]
User	Giorgos_Psaltakis
Device	Sample
Cell area (cm2)	1
Test	Memristor
Date	2024-03-03
Time	03:27:53
Note	

[Acquisition Settings]
Sampling time (s)	5.000E-1
Voltage Range (V)	6.000E+0
Current Range (A)	1.000E-6
Current Limit (A)	1.000E-6

[Waveform Settings]
V_HRS (V)	0.1000
V_LRS (V)	0.1000
V_READ (V)	0.1000
t_HRS (s)	0.0210
t_LRS (s)	0.0210
t_READ (s)	0.0000
d_HRS (s)	0.0000
d_LRS (s)	0.0000
d_READ (s)	0.0000
Cycles	1

## Data ##
Time (s)	Voltage (V)	Current (A)
0.00000E+0	9.87044E-2	1.16381E-7
5.00000E-4	9.99696E-2	2.31422E-9
1.00000E-3	9.99945E-2	1.26764E-9
1.50000E-3	1.00036E-1	9.88391E-10
2.00000E-3	1.00008E-1	9.51615E-10
2.50000E-3	1.00019E-1	3.78150E-10
3.00000E-3	1.00019E-1	8.46895E-10
3.50000E-3	9.99918E-2	4.31133E-10
4.00000E-3	9.99973E-2	6.65506E-10
4.50000E-3	9.99973E-2	3.85630E-10
5.00000E-3	1.00008E-1	4.61676E-10
5.50000E-3	1.00014E-1	3.88123E-10
6.00000E-3	9.99779E-2	2.80287E-10
6.50000E-3	1.00019E-1	3.84383E-10
7.00000E-3	1.00014E-1	2.71560E-10
7.50000E-3	9.99835E-2	3.65060E-10
8.00000E-3	1.00006E-1	6.71078E-11
8.50000E-3	1.00000E-1	2.21071E-10
9.00000E-3	1.00011E-1	3.64437E-10
9.50000E-3	1.00006E-1	2.52237E-10
1.00000E-2	1.00008E-1	2.48497E-10
1.05000E-2	9.99835E-2	3.36387E-10
1.10000E-2	1.00017E-1	-5.25717E-11
1.15000E-2	1.00033E-1	1.99877E-10
1.20000E-2	9.99724E-2	3.82513E-10
1.25000E-2	9.99890E-2	-7.37650E-11
1.30000E-2	1.00017E-1	1.91774E-10
1.35000E-2	1.00008E-1	3.84346E-11
1.40000E-2	1.00019E-1	1.28818E-10
1.45000E-2	9.99807E-2	3.66307E-10
1.50000E-2	9.99918E-2	2.22317E-10
1.55000E-2	1.00022E-1	-7.69190E-12
1.60000E-2	9.99890E-2	9.57810E-11
1.65000E-2	1.00031E-1	1.58114E-10
1.70000E-2	1.00006E-1	2.44134E-10
1.75000E-2	1.00011E-1	-4.69618E-11
1.80000E-2	9.99447E-2	2.92130E-10
1.85000E-2	1.00028E-1	-7.00250E-11
1.90000E-2	9.99862E-2	4.20536E-10
1.95000E-2	1.00008E-1	1.55621E-10
2.00000E-2	1.00006E-1	1.07624E-10
2.05000E-2	9.99696E-2	1.40661E-10
2.10000E-2	9.99918E-2	6.46806E-10
2.15000E-2	9.99862E-2	7.74589E-10
