## Header ##
[General info]
User	Giorgos_Psaltakis
Device	Sample
Cell area (cm2)	1
Test	Memristor
Date	2024-03-03
Time	03:17:12
Note	

[Acquisition Settings]
Sampling time (s)	1.000E+0
Voltage Range (V)	6.000E+0
Current Range (A)	1.000E-6
Current Limit (A)	1.000E-6

[Waveform Settings]
V_HRS (V)	1.0000
V_LRS (V)	1.0000
V_READ (V)	1.0000
t_HRS (s)	0.2000
t_LRS (s)	0.2000
t_READ (s)	0.0000
d_HRS (s)	0.0000
d_LRS (s)	0.0000
d_READ (s)	0.0000
Cycles	1

## Data ##
Time (s)	Voltage (V)	Current (A)
0.00000E+0	8.53109E-1	3.45316E-7
1.00000E-3	1.00119E+0	1.95505E-7
2.00000E-3	1.00007E+0	5.86188E-8
3.00000E-3	1.00006E+0	3.70970E-8
4.00000E-3	1.00003E+0	2.79612E-8
5.00000E-3	1.00003E+0	2.19541E-8
6.00000E-3	1.00005E+0	1.94287E-8
7.00000E-3	9.99922E-1	1.68210E-8
8.00000E-3	1.00001E+0	1.43071E-8
9.00000E-3	1.00009E+0	1.31867E-8
1.00000E-2	9.99940E-1	1.28404E-8
1.10000E-2	1.00004E+0	1.13516E-8
1.20000E-2	9.99957E-1	1.01136E-8
1.30000E-2	1.00001E+0	1.02526E-8
1.40000E-2	9.99993E-1	1.00441E-8
1.50000E-2	9.99932E-1	8.80496E-9
1.60000E-2	1.00010E+0	8.57433E-9
1.70000E-2	9.72153E-1	4.41941E-7
1.80000E-2	1.00046E+0	8.84978E-8
1.90000E-2	1.00009E+0	4.06139E-8
2.00000E-2	9.99995E-1	2.79849E-8
2.10000E-2	1.00000E+0	2.23328E-8
2.20000E-2	1.00000E+0	1.82833E-8
2.30000E-2	1.00005E+0	1.55460E-8
2.40000E-2	9.99965E-1	1.43800E-8
2.50000E-2	1.00004E+0	1.23364E-8
2.60000E-2	9.99984E-1	1.10580E-8
2.70000E-2	9.99984E-1	1.13762E-8
2.80000E-2	1.00001E+0	9.59877E-9
2.90000E-2	9.99987E-1	9.54392E-9
3.00000E-2	9.99979E-1	8.78907E-9
3.10000E-2	9.99964E-1	8.39668E-9
3.20000E-2	1.00005E+0	7.84877E-9
3.30000E-2	9.90505E-1	1.38471E-7
3.40000E-2	9.85985E-1	3.41046E-7
3.50000E-2	1.00014E+0	5.40522E-8
3.60000E-2	1.00001E+0	3.21783E-8
3.70000E-2	1.00001E+0	2.35109E-8
3.80000E-2	1.00004E+0	1.90990E-8
3.90000E-2	1.00007E+0	1.56547E-8
4.00000E-2	9.99965E-1	1.40241E-8
4.10000E-2	1.00002E+0	1.24172E-8
4.20000E-2	9.99982E-1	1.20251E-8
4.30000E-2	1.00001E+0	1.04823E-8
4.40000E-2	1.00005E+0	9.11445E-9
4.50000E-2	9.99946E-1	9.76645E-9
4.60000E-2	1.00002E+0	8.48550E-9
4.70000E-2	9.99993E-1	8.32843E-9
4.80000E-2	9.99953E-1	7.78956E-9
4.90000E-2	1.00004E+0	7.80514E-9
5.00000E-2	9.76704E-1	4.18467E-7
5.10000E-2	1.00047E+0	8.68669E-8
5.20000E-2	1.00014E+0	3.96798E-8
5.30000E-2	1.00002E+0	2.58468E-8
5.40000E-2	9.99969E-1	2.06969E-8
5.50000E-2	1.00007E+0	1.70544E-8
5.60000E-2	1.00002E+0	1.43037E-8
5.70000E-2	9.99982E-1	1.31586E-8
5.80000E-2	9.99928E-1	1.11007E-8
5.90000E-2	1.00011E+0	1.02068E-8
6.00000E-2	9.99975E-1	1.04630E-8
6.10000E-2	9.99971E-1	9.28368E-9
6.20000E-2	9.99995E-1	8.47491E-9
6.30000E-2	1.00001E+0	7.96222E-9
6.40000E-2	9.99994E-1	7.69200E-9
6.50000E-2	9.99993E-1	7.26565E-9
6.60000E-2	9.95048E-1	9.14315E-8
6.70000E-2	9.84168E-1	3.70986E-7
6.80000E-2	1.00017E+0	5.40803E-8
6.90000E-2	1.00005E+0	3.06524E-8
7.00000E-2	9.99990E-1	2.35112E-8
7.10000E-2	1.00001E+0	1.81967E-8
7.20000E-2	1.00006E+0	1.47983E-8
7.30000E-2	9.99948E-1	1.36735E-8
7.40000E-2	1.00005E+0	1.11150E-8
7.50000E-2	1.00000E+0	1.10380E-8
7.60000E-2	1.00000E+0	1.04216E-8
7.70000E-2	1.00003E+0	8.33466E-9
7.80000E-2	9.99918E-1	9.41053E-9
7.90000E-2	1.00007E+0	7.74031E-9
8.00000E-2	1.00001E+0	8.23306E-9
8.10000E-2	9.99892E-1	7.23043E-9
8.20000E-2	1.00008E+0	7.02099E-9
8.30000E-2	9.79297E-1	4.02006E-7
8.40000E-2	1.00052E+0	9.03002E-8
8.50000E-2	1.00005E+0	3.94273E-8
8.60000E-2	1.00007E+0	2.60547E-8
8.70000E-2	9.99976E-1	1.91438E-8
8.80000E-2	9.99995E-1	1.73443E-8
8.90000E-2	9.99993E-1	1.40110E-8
9.00000E-2	1.00000E+0	1.23159E-8
9.10000E-2	1.00002E+0	1.10387E-8
9.20000E-2	9.99994E-1	9.54049E-9
9.30000E-2	9.99980E-1	9.87803E-9
9.40000E-2	1.00006E+0	8.70118E-9
9.50000E-2	9.99961E-1	8.29477E-9
9.60000E-2	9.99976E-1	7.50345E-9
9.70000E-2	1.00004E+0	7.76369E-9
9.80000E-2	1.00002E+0	6.46217E-9
9.90000E-2	9.97106E-1	4.92517E-8
1.00000E-1	9.84039E-1	4.03445E-7
1.01000E-1	1.00013E+0	5.44621E-8
1.02000E-1	1.00007E+0	3.09597E-8
1.03000E-1	1.00004E+0	2.17266E-8
1.04000E-1	1.00004E+0	1.85448E-8
1.05000E-1	9.99958E-1	1.53001E-8
1.06000E-1	1.00000E+0	1.26416E-8
1.07000E-1	9.99994E-1	1.10938E-8
1.08000E-1	1.00004E+0	1.07572E-8
1.09000E-1	9.99944E-1	9.89049E-9
1.10000E-1	1.00005E+0	8.54285E-9
1.11000E-1	9.99986E-1	7.83257E-9
1.12000E-1	9.99984E-1	8.71645E-9
1.13000E-1	1.00003E+0	7.66240E-9
1.14000E-1	1.00001E+0	7.41244E-9
1.15000E-1	9.99961E-1	6.27642E-9
1.16000E-1	9.81502E-1	3.88298E-7
1.17000E-1	1.00054E+0	9.41580E-8
1.18000E-1	1.00012E+0	3.94136E-8
1.19000E-1	1.00004E+0	2.60597E-8
1.20000E-1	9.99994E-1	2.03568E-8
1.21000E-1	9.99994E-1	1.56547E-8
1.22000E-1	1.00004E+0	1.37773E-8
1.23000E-1	1.00004E+0	1.20559E-8
1.24000E-1	9.99962E-1	1.09464E-8
1.25000E-1	1.00002E+0	9.89797E-9
1.26000E-1	1.00004E+0	9.31890E-9
1.27000E-1	9.99993E-1	8.28760E-9
1.28000E-1	9.99980E-1	8.34557E-9
1.29000E-1	1.00001E+0	7.75714E-9
1.30000E-1	1.00005E+0	6.39049E-9
1.31000E-1	1.00002E+0	7.36226E-9
1.32000E-1	9.98579E-1	2.09278E-8
1.33000E-1	9.84050E-1	4.25599E-7
1.34000E-1	1.00018E+0	5.38263E-8
1.35000E-1	1.00006E+0	3.18395E-8
1.36000E-1	1.00001E+0	2.18516E-8
1.37000E-1	1.00007E+0	1.78168E-8
1.38000E-1	9.99976E-1	1.51651E-8
1.39000E-1	9.99984E-1	1.23171E-8
1.40000E-1	9.99991E-1	1.15688E-8
1.41000E-1	1.00006E+0	9.55732E-9
1.42000E-1	9.99987E-1	9.89641E-9
1.43000E-1	1.00001E+0	8.92745E-9
1.44000E-1	9.99980E-1	8.56934E-9
1.45000E-1	9.99953E-1	7.59258E-9
1.46000E-1	1.00002E+0	7.02161E-9
1.47000E-1	9.99994E-1	7.01289E-9
1.48000E-1	1.00007E+0	6.20255E-9
1.49000E-1	9.82420E-1	3.74251E-7
1.50000E-1	1.00060E+0	9.97645E-8
1.51000E-1	1.00006E+0	3.89742E-8
1.52000E-1	1.00001E+0	2.61058E-8
1.53000E-1	1.00010E+0	1.97285E-8
1.54000E-1	9.99961E-1	1.65651E-8
1.55000E-1	9.99993E-1	1.30832E-8
1.56000E-1	1.00003E+0	1.16190E-8
1.57000E-1	9.99994E-1	1.09682E-8
1.58000E-1	1.00005E+0	9.76988E-9
1.59000E-1	1.00001E+0	8.64539E-9
1.60000E-1	9.99926E-1	8.95737E-9
1.61000E-1	1.00004E+0	8.11119E-9
1.62000E-1	9.99964E-1	7.53087E-9
1.63000E-1	9.99997E-1	6.25336E-9
1.64000E-1	1.00004E+0	6.29231E-9
1.65000E-1	9.99606E-1	1.04823E-8
1.66000E-1	9.84240E-1	4.30694E-7
1.67000E-1	1.00016E+0	5.57209E-8
1.68000E-1	1.00008E+0	3.14235E-8
1.69000E-1	9.99994E-1	2.18631E-8
1.70000E-1	1.00004E+0	1.80907E-8
1.71000E-1	1.00001E+0	1.42413E-8
1.72000E-1	9.99932E-1	1.31798E-8
1.73000E-1	1.00005E+0	1.09682E-8
1.74000E-1	1.00001E+0	9.81787E-9
1.75000E-1	1.00001E+0	9.79169E-9
1.76000E-1	9.99972E-1	8.91685E-9
1.77000E-1	9.99994E-1	7.71569E-9
1.78000E-1	1.00004E+0	7.15064E-9
1.79000E-1	1.00003E+0	7.69138E-9
1.80000E-1	9.99989E-1	6.50892E-9
1.81000E-1	1.00001E+0	6.63577E-9
1.82000E-1	9.83640E-1	3.61442E-7
1.83000E-1	1.00061E+0	1.04819E-7
1.84000E-1	1.00000E+0	3.97995E-8
1.85000E-1	1.00005E+0	2.58565E-8
1.86000E-1	1.00004E+0	1.95048E-8
1.87000E-1	1.00003E+0	1.64242E-8
1.88000E-1	1.00000E+0	1.34220E-8
1.89000E-1	1.00001E+0	1.16810E-8
1.90000E-1	9.99976E-1	1.08105E-8
1.91000E-1	9.99926E-1	9.09855E-9
1.92000E-1	1.00005E+0	9.25407E-9
1.93000E-1	1.00005E+0	7.57451E-9
1.94000E-1	1.00001E+0	8.64321E-9
1.95000E-1	9.99962E-1	6.91876E-9
1.96000E-1	1.00001E+0	7.18929E-9
1.97000E-1	1.00001E+0	6.08007E-9
1.98000E-1	9.99936E-1	7.30803E-9
1.99000E-1	9.84928E-1	4.25897E-7
2.00000E-1	1.00019E+0	5.75809E-8
2.01000E-1	1.00010E+0	3.16550E-8
2.02000E-1	1.00002E+0	2.14614E-8
2.03000E-1	9.99977E-1	1.83117E-8
2.04000E-1	1.00005E+0	1.41488E-8
2.05000E-1	1.00001E+0	1.32110E-8
2.06000E-1	1.00000E+0	1.04605E-8
2.07000E-1	9.99957E-1	1.02651E-8
2.08000E-1	1.00008E+0	8.99009E-9
2.09000E-1	9.99930E-1	8.69370E-9
2.10000E-1	1.00003E+0	7.95630E-9
2.11000E-1	9.99979E-1	7.33390E-9
2.12000E-1	1.00003E+0	7.20331E-9
2.13000E-1	1.00001E+0	6.80687E-9
2.14000E-1	9.99980E-1	6.20411E-9
2.15000E-1	9.84142E-1	3.48401E-7
2.16000E-1	1.00076E+0	1.10481E-7
2.17000E-1	1.00006E+0	4.08389E-8
2.18000E-1	1.00003E+0	2.61130E-8
2.19000E-1	1.00002E+0	1.96487E-8
2.20000E-1	9.99977E-1	1.52306E-8
2.21000E-1	9.99989E-1	1.33846E-8
2.22000E-1	1.00006E+0	1.11343E-8
2.23000E-1	9.99997E-1	1.13547E-8
2.24000E-1	1.00007E+0	9.16930E-9
2.25000E-1	9.99940E-1	8.29445E-9
2.26000E-1	1.00002E+0	8.72206E-9
2.27000E-1	1.00004E+0	7.63809E-9
2.28000E-1	9.99946E-1	7.53056E-9
2.29000E-1	1.00002E+0	6.87731E-9
2.30000E-1	1.00002E+0	5.95478E-9
2.31000E-1	9.99940E-1	6.40763E-9
2.32000E-1	9.85666E-1	4.19960E-7
2.33000E-1	1.00024E+0	5.79861E-8
2.34000E-1	9.99993E-1	3.23317E-8
2.35000E-1	1.00003E+0	2.20885E-8
2.36000E-1	1.00003E+0	1.75550E-8
2.37000E-1	1.00000E+0	1.44788E-8
2.38000E-1	9.99951E-1	1.19550E-8
2.39000E-1	1.00005E+0	1.13195E-8
2.40000E-1	9.99932E-1	1.03019E-8
2.41000E-1	1.00006E+0	8.61952E-9
2.42000E-1	9.99966E-1	8.08346E-9
2.43000E-1	1.00004E+0	8.47241E-9
2.44000E-1	1.00005E+0	6.97891E-9
2.45000E-1	9.99969E-1	7.58479E-9
2.46000E-1	9.99995E-1	6.19009E-9
2.47000E-1	9.99984E-1	6.09877E-9
2.48000E-1	9.84550E-1	3.31520E-7
2.49000E-1	1.00148E+0	1.20354E-7
2.50000E-1	1.00009E+0	4.11515E-8
2.51000E-1	9.99990E-1	2.62099E-8
2.52000E-1	9.99993E-1	1.94789E-8
2.53000E-1	1.00005E+0	1.48915E-8
2.54000E-1	1.00001E+0	1.41179E-8
2.55000E-1	9.99977E-1	1.12687E-8
2.56000E-1	1.00003E+0	1.08975E-8
2.57000E-1	9.99929E-1	9.47411E-9
2.58000E-1	1.00001E+0	8.44655E-9
2.59000E-1	1.00003E+0	8.21965E-9
2.60000E-1	9.99958E-1	7.25006E-9
2.61000E-1	1.00005E+0	6.73768E-9
2.62000E-1	9.99976E-1	7.69356E-9
2.63000E-1	1.00001E+0	5.68394E-9
2.64000E-1	9.99972E-1	6.53510E-9
2.65000E-1	9.86143E-1	4.12344E-7
2.66000E-1	1.00023E+0	5.95307E-8
2.67000E-1	1.00004E+0	3.27106E-8
2.68000E-1	1.00002E+0	2.24294E-8
2.69000E-1	1.00005E+0	1.70900E-8
2.70000E-1	9.99964E-1	1.38620E-8
2.71000E-1	1.00006E+0	1.27662E-8
2.72000E-1	9.99939E-1	1.10574E-8
2.73000E-1	9.99976E-1	9.97464E-9
2.74000E-1	1.00007E+0	7.91827E-9
2.75000E-1	1.00003E+0	9.17242E-9
2.76000E-1	9.99976E-1	7.42241E-9
2.77000E-1	9.99966E-1	7.89739E-9
2.78000E-1	1.00005E+0	6.36150E-9
2.79000E-1	1.00001E+0	7.18368E-9
2.80000E-1	9.99961E-1	6.58092E-9
2.81000E-1	9.84178E-1	3.03563E-7
2.82000E-1	1.00255E+0	1.39016E-7
2.83000E-1	1.00010E+0	4.21002E-8
2.84000E-1	1.00002E+0	2.53503E-8
2.85000E-1	9.99989E-1	2.00751E-8
2.86000E-1	1.00004E+0	1.59462E-8
2.87000E-1	9.99973E-1	1.27204E-8
2.88000E-1	1.00002E+0	1.15314E-8
2.89000E-1	1.00003E+0	1.01769E-8
2.90000E-1	1.00004E+0	9.80198E-9
2.91000E-1	9.99965E-1	8.51137E-9
2.92000E-1	1.00001E+0	8.19005E-9
2.93000E-1	9.99937E-1	7.06400E-9
2.94000E-1	1.00008E+0	7.46355E-9
2.95000E-1	1.00001E+0	6.76449E-9
2.96000E-1	9.99957E-1	5.73537E-9
2.97000E-1	1.00001E+0	6.96364E-9
2.98000E-1	9.86945E-1	4.04141E-7
2.99000E-1	1.00032E+0	6.25501E-8
3.00000E-1	9.99979E-1	3.20935E-8
3.01000E-1	1.00008E+0	2.22889E-8
3.02000E-1	1.00001E+0	1.71981E-8
3.03000E-1	9.99997E-1	1.45577E-8
3.04000E-1	1.00003E+0	1.20893E-8
3.05000E-1	1.00001E+0	1.15433E-8
3.06000E-1	1.00003E+0	9.09886E-9
3.07000E-1	1.00001E+0	8.69868E-9
3.08000E-1	9.99965E-1	8.45808E-9
3.09000E-1	9.99971E-1	7.92887E-9
3.10000E-1	1.00005E+0	7.40496E-9
3.11000E-1	1.00001E+0	6.59338E-9
3.12000E-1	9.99989E-1	6.19632E-9
3.13000E-1	9.99955E-1	6.85955E-9
