## Header ##
[General info]
User	Giorgos_Psaltakis
Device	Sample
Cell area (cm2)	1
Test	Memristor
Date	2024-03-03
Time	03:40:37
Note	

[Acquisition Settings]
Sampling time (s)	5.000E-1
Voltage Range (V)	6.000E+0
Current Range (A)	1.000E-5
Current Limit (A)	1.000E-5

[Waveform Settings]
V_HRS (V)	2.0000
V_LRS (V)	2.0000
V_READ (V)	2.0000
t_HRS (s)	0.0200
t_LRS (s)	0.0200
t_READ (s)	0.0000
d_HRS (s)	0.0000
d_LRS (s)	0.0000
d_READ (s)	0.0000
Cycles	2

## Data ##
Time (s)	Voltage (V)	Current (A)
0.00000E+0	1.88413E+0	1.28160E-6
5.00000E-4	2.00003E+0	4.48276E-8
1.00000E-3	1.99999E+0	2.84046E-8
1.50000E-3	2.00001E+0	2.47108E-8
2.00000E-3	2.00001E+0	1.96552E-8
2.50000E-3	2.00003E+0	1.90396E-8
3.00000E-3	1.99998E+0	1.63906E-8
3.50000E-3	2.00008E+0	1.47178E-8
4.00000E-3	1.99998E+0	1.55822E-8
4.50000E-3	1.99996E+0	1.32440E-8
5.00000E-3	2.00003E+0	1.16396E-8
5.50000E-3	1.99996E+0	1.34554E-8
6.00000E-3	1.99998E+0	1.33186E-8
6.50000E-3	2.00005E+0	9.09008E-9
7.00000E-3	1.99995E+0	1.27341E-8
7.50000E-3	2.00001E+0	1.07007E-8
8.00000E-3	2.00001E+0	9.99798E-9
8.50000E-3	1.99995E+0	1.19070E-8
9.00000E-3	1.99996E+0	1.19879E-8
9.50000E-3	2.00003E+0	8.78538E-9
1.00000E-2	1.99998E+0	9.64352E-9
1.05000E-2	2.00000E+0	1.09494E-8
1.10000E-2	2.00001E+0	1.06447E-8
1.15000E-2	1.99995E+0	1.06882E-8
1.20000E-2	2.00004E+0	7.73446E-9
1.25000E-2	2.00000E+0	8.71075E-9
1.30000E-2	1.99996E+0	1.18262E-8
1.35000E-2	2.00005E+0	7.12505E-9
1.40000E-2	1.99997E+0	9.42588E-9
1.45000E-2	1.99999E+0	1.11546E-8
1.50000E-2	1.99999E+0	8.85378E-9
1.55000E-2	2.00000E+0	8.27546E-9
1.60000E-2	2.00003E+0	1.00664E-8
1.65000E-2	2.00002E+0	7.88992E-9
1.70000E-2	1.99996E+0	9.41966E-9
1.75000E-2	2.00003E+0	6.96959E-9
1.80000E-2	2.00002E+0	8.11378E-9
1.85000E-2	2.00000E+0	8.47445E-9
1.90000E-2	2.00007E+0	8.62370E-9
1.95000E-2	1.99999E+0	1.01223E-8
2.00000E-2	1.99997E+0	7.26807E-9
2.05000E-2	2.00001E+0	1.05763E-8
2.10000E-2	1.99998E+0	6.73950E-9
2.15000E-2	1.99999E+0	9.64974E-9
2.20000E-2	2.00005E+0	5.17867E-9
2.25000E-2	2.00002E+0	8.20084E-9
2.30000E-2	2.00000E+0	9.75546E-9
2.35000E-2	2.00002E+0	8.85378E-9
2.40000E-2	1.99997E+0	7.52925E-9
2.45000E-2	1.99999E+0	8.45580E-9
2.50000E-2	2.00005E+0	7.70958E-9
2.55000E-2	1.99997E+0	8.21328E-9
2.60000E-2	2.00001E+0	1.00913E-8
2.65000E-2	2.00003E+0	5.50203E-9
2.70000E-2	2.00000E+0	9.33882E-9
2.75000E-2	2.00005E+0	6.31665E-9
2.80000E-2	1.99999E+0	8.69210E-9
2.85000E-2	1.99996E+0	9.49428E-9
2.90000E-2	2.00005E+0	6.78303E-9
2.95000E-2	2.00001E+0	7.12505E-9
3.00000E-2	1.99996E+0	9.07764E-9
3.05000E-2	2.00008E+0	8.50555E-9
3.10000E-2	1.99999E+0	5.63262E-9
3.15000E-2	2.00003E+0	8.65479E-9
3.20000E-2	2.00001E+0	9.10874E-9
3.25000E-2	1.99997E+0	7.71580E-9
3.30000E-2	1.99998E+0	6.82656E-9
3.35000E-2	2.00004E+0	9.17714E-9
3.40000E-2	1.99998E+0	7.46084E-9
3.45000E-2	1.99996E+0	9.25798E-9
3.50000E-2	2.00003E+0	6.06169E-9
3.55000E-2	1.99998E+0	8.51176E-9
3.60000E-2	1.99998E+0	1.04270E-8
3.65000E-2	2.00000E+0	5.01077E-9
3.70000E-2	2.00000E+0	7.21832E-9
3.75000E-2	2.00002E+0	9.05277E-9
3.80000E-2	1.99999E+0	8.57395E-9
3.85000E-2	1.99997E+0	5.99329E-9
