## Header ##
[General info]
User	Giorgos_Psaltakis
Device	Sample
Cell area (cm2)	1
Test	Memristor
Date	2024-03-03
Time	03:38:37
Note	

[Acquisition Settings]
Sampling time (s)	5.000E-1
Voltage Range (V)	6.000E+0
Current Range (A)	1.000E-5
Current Limit (A)	1.000E-5

[Waveform Settings]
V_HRS (V)	3.0000
V_LRS (V)	3.0000
V_READ (V)	3.0000
t_HRS (s)	0.0200
t_LRS (s)	0.0200
t_READ (s)	0.0000
d_HRS (s)	0.0000
d_LRS (s)	0.0000
d_READ (s)	0.0000
Cycles	100

## Data ##
Time (s)	Voltage (V)	Current (A)
0.00000E+0	2.72505E+0	1.89517E-6
5.00000E-4	2.99282E+0	5.29851E-6
1.00000E-3	2.99991E+0	9.63321E-6
1.50000E-3	2.99998E+0	9.67675E-6
2.00000E-3	2.99997E+0	9.67741E-6
2.50000E-3	3.00007E+0	9.67240E-6
3.00000E-3	3.00001E+0	9.67170E-6
3.50000E-3	2.99997E+0	9.67278E-6
4.00000E-3	2.99998E+0	9.67522E-6
4.50000E-3	3.00004E+0	9.67134E-6
5.00000E-3	2.99998E+0	9.67618E-6
5.50000E-3	2.99997E+0	9.67368E-6
6.00000E-3	3.00001E+0	9.66869E-6
6.50000E-3	3.00005E+0	9.66966E-6
7.00000E-3	2.99991E+0	9.67098E-6
7.50000E-3	3.00003E+0	9.66550E-6
8.00000E-3	3.00003E+0	9.66540E-6
8.50000E-3	2.99999E+0	9.66350E-6
9.00000E-3	3.00659E+0	1.99018E-6
9.50000E-3	3.00025E+0	4.09036E-7
1.00000E-2	2.99509E+0	2.58917E-6
1.05000E-2	2.99809E+0	9.42808E-6
1.10000E-2	2.99997E+0	9.65555E-6
1.15000E-2	2.99994E+0	9.66555E-6
1.20000E-2	3.00004E+0	9.65631E-6
1.25000E-2	3.00009E+0	9.65138E-6
1.30000E-2	2.99994E+0	9.65157E-6
1.35000E-2	2.99997E+0	9.64577E-6
1.40000E-2	3.00006E+0	9.64219E-6
1.45000E-2	2.99999E+0	9.64275E-6
1.50000E-2	2.99997E+0	9.63821E-6
1.55000E-2	3.00002E+0	9.63456E-6
1.60000E-2	3.00004E+0	9.63505E-6
1.65000E-2	2.99994E+0	9.63022E-6
1.70000E-2	3.00006E+0	9.62715E-6
1.75000E-2	3.00003E+0	9.62546E-6
1.80000E-2	2.99999E+0	9.62681E-6
1.85000E-2	3.00588E+0	7.68332E-6
1.90000E-2	3.00110E+0	7.64981E-7
1.95000E-2	2.99985E+0	3.40161E-7
2.00000E-2	2.99332E+0	5.71574E-6
2.05000E-2	2.99987E+0	9.54047E-6
2.10000E-2	2.99991E+0	9.62401E-6
2.15000E-2	3.00004E+0	9.62096E-6
2.20000E-2	3.00004E+0	9.61525E-6
2.25000E-2	2.99997E+0	9.61089E-6
2.30000E-2	2.99992E+0	9.60552E-6
2.35000E-2	3.00010E+0	9.60046E-6
2.40000E-2	3.00000E+0	9.60226E-6
2.45000E-2	2.99997E+0	9.59765E-6
2.50000E-2	3.00003E+0	9.59517E-6
2.55000E-2	3.00007E+0	9.59419E-6
2.60000E-2	2.99990E+0	9.59335E-6
2.65000E-2	2.99999E+0	9.58991E-6
2.70000E-2	3.00004E+0	9.59074E-6
2.75000E-2	2.99996E+0	9.58789E-6
2.80000E-2	2.99996E+0	9.58568E-6
2.85000E-2	3.00674E+0	4.63743E-6
2.90000E-2	3.00030E+0	4.86183E-7
2.95000E-2	2.99703E+0	9.85655E-7
3.00000E-2	2.99621E+0	8.23152E-6
3.05000E-2	2.99990E+0	9.55632E-6
3.10000E-2	3.00002E+0	9.58622E-6
3.15000E-2	3.00006E+0	9.58268E-6
3.20000E-2	2.99997E+0	9.57707E-6
3.25000E-2	2.99997E+0	9.57562E-6
3.30000E-2	3.00004E+0	9.56764E-6
3.35000E-2	3.00004E+0	9.56881E-6
3.40000E-2	2.99995E+0	9.56783E-6
3.45000E-2	3.00002E+0	9.56256E-6
3.50000E-2	3.00003E+0	9.56134E-6
3.55000E-2	3.00001E+0	9.56361E-6
3.60000E-2	2.99995E+0	9.55769E-6
3.65000E-2	3.00001E+0	9.55481E-6
3.70000E-2	3.00006E+0	9.55706E-6
3.75000E-2	2.99997E+0	9.55353E-6
3.80000E-2	3.00164E+0	9.47485E-6
3.85000E-2	3.00448E+0	1.55796E-6
3.90000E-2	3.00006E+0	3.70047E-7
3.95000E-2	2.99401E+0	3.01542E-6
4.00000E-2	2.99936E+0	9.39713E-6
4.05000E-2	2.99990E+0	9.54578E-6
