## Header ##
[General info]
User	Giorgos_Psaltakis
Device	Sample
Cell area (cm2)	1
Test	Memristor
Date	2024-03-03
Time	03:30:05
Note	

[Acquisition Settings]
Sampling time (s)	5.000E-1
Voltage Range (V)	6.000E+0
Current Range (A)	1.000E-6
Current Limit (A)	1.000E-6

[Waveform Settings]
V_HRS (V)	0.5000
V_LRS (V)	0.5000
V_READ (V)	0.5000
t_HRS (s)	0.0210
t_LRS (s)	0.0210
t_READ (s)	0.0000
d_HRS (s)	0.0100
d_LRS (s)	0.0000
d_READ (s)	0.0000
Cycles	1

## Data ##
Time (s)	Voltage (V)	Current (A)
0.00000E+0	1.73168E-4	4.72869E-8
5.00000E-4	-6.78554E-6	3.46946E-11
1.00000E-3	-9.55405E-6	-5.18823E-10
1.50000E-3	4.02791E-5	-6.62248E-9
2.00000E-3	4.28849E-6	-4.19398E-9
2.50000E-3	-2.33966E-5	-2.46362E-9
3.00000E-3	9.82551E-6	-2.06157E-9
3.50000E-3	7.05700E-6	-2.12390E-9
4.00000E-3	7.05700E-6	-1.49683E-9
4.50000E-3	7.05700E-6	-1.65329E-9
5.00000E-3	-1.50911E-5	-1.17831E-9
5.50000E-3	-6.78554E-6	-1.32666E-9
6.00000E-3	2.64366E-5	-1.29487E-9
6.50000E-3	-1.78596E-5	-1.11161E-9
7.00000E-3	-1.24852E-6	-1.14963E-9
7.50000E-3	-1.24852E-6	-9.91932E-10
8.00000E-3	2.64366E-5	-1.21072E-9
8.50000E-3	-1.50911E-5	-8.13659E-10
9.00000E-3	3.19736E-5	-9.98788E-10
9.50000E-3	-1.78596E-5	-8.49189E-10
1.00000E-2	4.43832E-1	3.43430E-7
1.05000E-2	5.00008E-1	1.78345E-8
1.10000E-2	5.00036E-1	1.39219E-8
1.15000E-2	5.00022E-1	1.17926E-8
1.20000E-2	4.96019E-1	2.27169E-7
1.25000E-2	5.02420E-1	5.49733E-7
1.30000E-2	5.01104E-1	1.02251E-7
1.35000E-2	5.00166E-1	4.38661E-8
1.40000E-2	5.00075E-1	2.89161E-8
1.45000E-2	5.00019E-1	2.22583E-8
1.50000E-2	5.00033E-1	1.80870E-8
1.55000E-2	4.99969E-1	1.54509E-8
1.60000E-2	5.00030E-1	1.35186E-8
1.65000E-2	5.00011E-1	1.20506E-8
1.70000E-2	5.00016E-1	1.08408E-8
1.75000E-2	5.00000E-1	1.01769E-8
1.80000E-2	5.00033E-1	9.33168E-9
1.85000E-2	5.00011E-1	8.58493E-9
1.90000E-2	5.00014E-1	8.21280E-9
1.95000E-2	4.99983E-1	7.63435E-9
2.00000E-2	5.00025E-1	7.25910E-9
2.05000E-2	5.00000E-1	7.02847E-9
2.10000E-2	5.00016E-1	6.54227E-9
2.15000E-2	5.00019E-1	6.29169E-9
2.20000E-2	5.00008E-1	6.03675E-9
2.25000E-2	4.99986E-1	6.03239E-9
2.30000E-2	4.96019E-1	2.89234E-7
2.35000E-2	5.03065E-1	4.56869E-7
2.40000E-2	5.00637E-1	7.81561E-8
2.45000E-2	5.00127E-1	3.66548E-8
2.50000E-2	5.00033E-1	2.47404E-8
2.55000E-2	5.00036E-1	1.88019E-8
2.60000E-2	5.00028E-1	1.54590E-8
2.65000E-2	5.00019E-1	1.34644E-8
2.70000E-2	5.00014E-1	1.15414E-8
2.75000E-2	5.00016E-1	1.05640E-8
2.80000E-2	4.99972E-1	9.37718E-9
2.85000E-2	5.00028E-1	8.76133E-9
2.90000E-2	4.99983E-1	8.30505E-9
2.95000E-2	5.00003E-1	7.45420E-9
3.00000E-2	5.00005E-1	7.04530E-9
3.05000E-2	5.00022E-1	6.81716E-9
3.10000E-2	4.99989E-1	6.52856E-9
3.15000E-2	4.99994E-1	6.15207E-9
3.20000E-2	5.00014E-1	5.79178E-9
3.25000E-2	4.99997E-1	5.72010E-9
3.30000E-2	4.99986E-1	5.32490E-9
3.35000E-2	4.99908E-1	6.19383E-9
3.40000E-2	4.95897E-1	3.75456E-7
3.45000E-2	5.03477E-1	3.71571E-7
3.50000E-2	5.00482E-1	6.28471E-8
3.55000E-2	5.00147E-1	3.25726E-8
3.60000E-2	5.00044E-1	2.24578E-8
3.65000E-2	5.00022E-1	1.74493E-8
3.70000E-2	5.00028E-1	1.42529E-8
3.75000E-2	5.00030E-1	1.23848E-8
3.80000E-2	5.00011E-1	1.07516E-8
3.85000E-2	4.99975E-1	9.97246E-9
3.90000E-2	5.00016E-1	8.72331E-9
3.95000E-2	5.00014E-1	8.08688E-9
4.00000E-2	4.99997E-1	7.56142E-9
4.05000E-2	4.99997E-1	7.20051E-9
4.10000E-2	4.99980E-1	6.70434E-9
4.15000E-2	5.00011E-1	6.03426E-9
4.20000E-2	5.00016E-1	6.00496E-9
4.25000E-2	4.99994E-1	5.69392E-9
4.30000E-2	5.00008E-1	5.57361E-9
4.35000E-2	5.00000E-1	5.11921E-9
4.40000E-2	5.00041E-1	5.12045E-9
4.45000E-2	4.99205E-1	1.44411E-8
4.50000E-2	4.96625E-1	4.59515E-7
4.55000E-2	5.03757E-1	2.81320E-7
4.60000E-2	5.00329E-1	5.23858E-8
4.65000E-2	5.00122E-1	2.93861E-8
4.70000E-2	5.00033E-1	2.10696E-8
4.75000E-2	5.00033E-1	1.61628E-8
4.80000E-2	5.00016E-1	1.34625E-8
4.85000E-2	5.00028E-1	1.16723E-8
4.90000E-2	4.99983E-1	1.03408E-8
4.95000E-2	5.00000E-1	9.35536E-9
5.00000E-2	5.00030E-1	8.31939E-9
5.05000E-2	4.99975E-1	7.80078E-9
5.10000E-2	5.00025E-1	7.20549E-9
5.15000E-2	4.99989E-1	6.51110E-9
5.20000E-2	5.61663E-2	-3.41055E-7
5.25000E-2	-4.27762E-5	-1.33576E-8
5.30000E-2	-3.17021E-5	-9.32213E-9
5.35000E-2	-6.78554E-6	-7.12676E-9
5.40000E-2	1.25940E-5	-5.54599E-9
5.45000E-2	-2.33966E-5	-5.05044E-9
5.50000E-2	4.30476E-5	-4.31179E-9
5.55000E-2	3.89111E-4	-1.59986E-8
5.60000E-2	-1.03683E-4	-5.32389E-8
5.65000E-2	-2.80868E-4	-1.70670E-8
5.70000E-2	-9.55405E-6	-5.86576E-9
5.75000E-2	-4.01703E-6	-4.81170E-9
5.80000E-2	2.08996E-5	-3.91535E-9
5.85000E-2	7.05700E-6	-3.45284E-9
5.90000E-2	-1.50911E-5	-3.24839E-9
5.95000E-2	3.19736E-5	-2.91678E-9
6.00000E-2	4.28849E-6	-2.54340E-9
6.05000E-2	-4.00077E-5	-2.66184E-9
6.10000E-2	9.82551E-6	-2.08837E-9
6.15000E-2	-6.78554E-6	-2.45988E-9
6.20000E-2	4.43608E-1	3.45801E-7
6.25000E-2	5.00047E-1	1.84173E-8
6.30000E-2	5.00022E-1	1.41712E-8
6.35000E-2	5.00003E-1	1.12927E-8
6.40000E-2	4.99969E-1	9.95064E-9
6.45000E-2	4.99994E-1	8.99944E-9
6.50000E-2	5.00003E-1	8.11680E-9
6.55000E-2	5.00008E-1	7.55830E-9
6.60000E-2	4.99992E-1	6.84022E-9
6.65000E-2	4.96415E-1	1.37959E-7
6.70000E-2	5.00670E-1	5.47697E-7
6.75000E-2	5.02317E-1	1.20546E-7
6.80000E-2	5.00219E-1	4.23265E-8
6.85000E-2	5.00050E-1	2.64920E-8
6.90000E-2	5.00041E-1	1.96185E-8
6.95000E-2	5.00036E-1	1.57738E-8
7.00000E-2	5.00008E-1	1.33945E-8
7.05000E-2	4.99997E-1	1.16268E-8
7.10000E-2	5.00030E-1	1.01651E-8
7.15000E-2	5.00028E-1	9.55919E-9
7.20000E-2	4.99983E-1	8.61859E-9
7.25000E-2	5.00014E-1	7.57825E-9
7.30000E-2	5.00005E-1	7.39623E-9
7.35000E-2	5.00019E-1	6.80594E-9
7.40000E-2	4.99983E-1	6.59837E-9
7.45000E-2	5.00000E-1	6.02054E-9
7.50000E-2	4.99992E-1	6.14895E-9
7.55000E-2	4.99994E-1	5.31805E-9
7.60000E-2	5.00028E-1	5.36542E-9
7.65000E-2	5.00030E-1	5.12482E-9
7.70000E-2	5.00008E-1	5.02384E-9
7.75000E-2	4.96395E-1	2.07452E-7
7.80000E-2	5.02397E-1	4.89310E-7
7.85000E-2	5.00819E-1	8.58212E-8
7.90000E-2	5.00199E-1	3.65002E-8
7.95000E-2	5.00088E-1	2.40311E-8
8.00000E-2	5.00008E-1	1.78034E-8
8.05000E-2	5.00036E-1	1.44791E-8
8.10000E-2	5.00041E-1	1.20949E-8
8.15000E-2	4.99989E-1	1.06662E-8
8.20000E-2	4.99997E-1	9.64334E-9
8.25000E-2	5.00016E-1	8.39980E-9
8.30000E-2	5.00000E-1	8.24272E-9
8.35000E-2	4.99983E-1	7.18617E-9
8.40000E-2	5.00011E-1	6.75358E-9
8.45000E-2	5.00019E-1	6.34654E-9
8.50000E-2	5.00008E-1	5.96943E-9
8.55000E-2	4.99994E-1	5.90959E-9
8.60000E-2	4.99986E-1	5.39035E-9
8.65000E-2	4.99994E-1	5.23702E-9
8.70000E-2	5.00005E-1	5.10674E-9
8.75000E-2	5.00003E-1	4.78946E-9
8.80000E-2	4.99961E-1	4.67103E-9
8.85000E-2	4.96127E-1	2.89543E-7
8.90000E-2	5.03034E-1	4.18529E-7
8.95000E-2	5.00567E-1	6.97817E-8
9.00000E-2	5.00105E-1	3.28936E-8
9.05000E-2	5.00055E-1	2.18937E-8
9.10000E-2	5.00028E-1	1.67624E-8
9.15000E-2	5.00033E-1	1.35304E-8
9.20000E-2	5.00039E-1	1.16760E-8
9.25000E-2	5.00019E-1	1.02710E-8
9.30000E-2	4.99980E-1	9.24379E-9
9.35000E-2	4.99992E-1	8.06444E-9
9.40000E-2	4.99997E-1	7.64058E-9
9.45000E-2	5.00014E-1	6.83898E-9
9.50000E-2	4.99980E-1	6.57468E-9
9.55000E-2	5.00022E-1	6.32971E-9
9.60000E-2	4.99989E-1	5.76061E-9
9.65000E-2	5.00008E-1	5.40594E-9
9.70000E-2	4.99986E-1	5.26943E-9
9.75000E-2	4.99986E-1	5.13230E-9
9.80000E-2	5.00019E-1	4.71092E-9
9.85000E-2	4.99997E-1	4.64049E-9
9.90000E-2	4.99873E-1	5.81983E-9
9.95000E-2	4.96049E-1	3.79420E-7
