## Header ##
[General info]
User	Giorgos_Psaltakis
Device	Sample
Cell area (cm2)	1
Test	Memristor
Date	2024-03-03
Time	03:29:04
Note	

[Acquisition Settings]
Sampling time (s)	5.000E-1
Voltage Range (V)	6.000E+0
Current Range (A)	1.000E-6
Current Limit (A)	1.000E-6

[Waveform Settings]
V_HRS (V)	0.5000
V_LRS (V)	0.5000
V_READ (V)	0.5000
t_HRS (s)	0.0210
t_LRS (s)	0.0210
t_READ (s)	0.0000
d_HRS (s)	0.0000
d_LRS (s)	0.0000
d_READ (s)	0.0000
Cycles	1

## Data ##
Time (s)	Voltage (V)	Current (A)
0.00000E+0	4.22086E-1	3.85969E-7
5.00000E-4	4.97887E-1	3.80963E-7
1.00000E-3	5.01794E-1	1.08352E-7
1.50000E-3	5.00219E-1	4.11484E-8
2.00000E-3	5.00069E-1	2.66023E-8
2.50000E-3	5.00033E-1	1.99881E-8
3.00000E-3	5.00019E-1	1.59371E-8
3.50000E-3	5.00033E-1	1.37230E-8
4.00000E-3	5.00000E-1	1.18742E-8
4.50000E-3	5.00014E-1	1.05765E-8
5.00000E-3	5.00000E-1	9.48564E-9
5.50000E-3	5.00022E-1	8.49517E-9
6.00000E-3	5.00025E-1	7.99463E-9
6.50000E-3	4.99961E-1	7.40932E-9
7.00000E-3	5.00030E-1	7.13506E-9
7.50000E-3	4.99989E-1	6.26177E-9
8.00000E-3	5.00011E-1	6.15830E-9
8.50000E-3	4.99997E-1	5.82419E-9
9.00000E-3	5.00000E-1	5.44271E-9
9.50000E-3	5.00011E-1	5.59107E-9
1.00000E-2	4.96772E-1	1.80205E-7
1.05000E-2	5.02425E-1	3.49725E-7
1.10000E-2	5.00562E-1	6.04916E-8
1.15000E-2	5.00102E-1	2.93680E-8
1.20000E-2	5.00066E-1	2.00187E-8
1.25000E-2	5.00008E-1	1.55344E-8
1.30000E-2	5.00025E-1	1.24446E-8
1.35000E-2	4.99978E-1	1.09735E-8
1.40000E-2	5.00028E-1	9.54797E-9
1.45000E-2	4.99975E-1	8.43408E-9
1.50000E-2	5.00052E-1	7.74343E-9
1.55000E-2	4.99992E-1	7.24040E-9
1.60000E-2	5.00011E-1	6.50612E-9
1.65000E-2	4.99997E-1	6.15207E-9
1.70000E-2	4.99986E-1	5.90024E-9
1.75000E-2	5.00025E-1	5.56364E-9
1.80000E-2	5.00033E-1	5.10549E-9
1.85000E-2	5.00008E-1	5.08368E-9
1.90000E-2	4.99997E-1	4.79507E-9
1.95000E-2	4.99895E-1	5.67148E-9
2.00000E-2	4.96404E-1	3.37931E-7
2.05000E-2	5.03281E-1	2.05061E-7
2.10000E-2	5.00288E-1	4.21812E-8
