## Header ##
[General info]
User	Giorgos_Psaltakis
Device	Sample
Cell area (cm2)	1
Test	Memristor
Date	2024-03-03
Time	03:30:31
Note	

[Acquisition Settings]
Sampling time (s)	5.000E-1
Voltage Range (V)	6.000E+0
Current Range (A)	1.000E-6
Current Limit (A)	1.000E-6

[Waveform Settings]
V_HRS (V)	0.5000
V_LRS (V)	0.5000
V_READ (V)	0.5000
t_HRS (s)	0.0200
t_LRS (s)	0.0200
t_READ (s)	0.0000
d_HRS (s)	0.0100
d_LRS (s)	0.0000
d_READ (s)	0.0000
Cycles	1

## Data ##
Time (s)	Voltage (V)	Current (A)
0.00000E+0	1.81473E-4	4.89425E-8
5.00000E-4	-2.03350E-4	6.22063E-9
1.00000E-3	1.73168E-4	2.27838E-8
1.50000E-3	4.28849E-6	1.42472E-9
2.00000E-3	1.25940E-5	-1.68511E-10
2.50000E-3	1.25940E-5	-4.07870E-10
3.00000E-3	1.25940E-5	-7.51949E-10
3.50000E-3	-1.23226E-5	-5.47497E-10
4.00000E-3	4.28849E-6	-5.94246E-10
4.50000E-3	-1.78596E-5	-4.90150E-10
5.00000E-3	4.02791E-5	-7.60052E-10
5.50000E-3	-2.06281E-5	-6.15440E-10
6.00000E-3	7.05700E-6	-4.46517E-10
6.50000E-3	7.05700E-6	-6.88369E-10
7.00000E-3	-2.61651E-5	-4.54620E-10
7.50000E-3	4.02791E-5	-7.22029E-10
8.00000E-3	-1.50911E-5	-4.92643E-10
8.50000E-3	1.81310E-5	-3.81691E-10
9.00000E-3	1.51999E-6	-6.07960E-10
9.50000E-3	-6.78554E-6	-4.80177E-10
1.00000E-2	4.43846E-1	3.42827E-7
1.05000E-2	5.00028E-1	1.76207E-8
1.10000E-2	4.99859E-1	1.51187E-8
1.15000E-2	4.93887E-1	6.13668E-7
1.20000E-2	5.05249E-1	6.43054E-7
1.25000E-2	5.00775E-1	8.76464E-8
1.30000E-2	5.00138E-1	4.02570E-8
1.35000E-2	5.00083E-1	2.71022E-8
1.40000E-2	5.00036E-1	2.12080E-8
1.45000E-2	5.00008E-1	1.74069E-8
1.50000E-2	5.00011E-1	1.49061E-8
1.55000E-2	5.00019E-1	1.30548E-8
1.60000E-2	5.00008E-1	1.18967E-8
1.65000E-2	5.00003E-1	1.05073E-8
1.70000E-2	4.99980E-1	1.00323E-8
1.75000E-2	4.99994E-1	9.08608E-9
1.80000E-2	5.00003E-1	8.73764E-9
1.85000E-2	5.00016E-1	8.00772E-9
1.90000E-2	4.99983E-1	7.26845E-9
1.95000E-2	5.00022E-1	7.47041E-9
2.00000E-2	4.99994E-1	7.03346E-9
2.05000E-2	5.00028E-1	6.43568E-9
2.10000E-2	4.99989E-1	6.44316E-9
2.15000E-2	5.00005E-1	5.94263E-9
2.20000E-2	4.98843E-1	1.92757E-8
2.25000E-2	4.95149E-1	6.88036E-7
2.30000E-2	5.05357E-1	4.94325E-7
2.35000E-2	5.00573E-1	6.71799E-8
2.40000E-2	5.00113E-1	3.41614E-8
2.45000E-2	5.00044E-1	2.33404E-8
2.50000E-2	5.00030E-1	1.82833E-8
2.55000E-2	4.99986E-1	1.49691E-8
2.60000E-2	5.00030E-1	1.28448E-8
2.65000E-2	4.99969E-1	1.14990E-8
2.70000E-2	5.00019E-1	1.00591E-8
2.75000E-2	4.99978E-1	9.33292E-9
2.80000E-2	5.00016E-1	8.52509E-9
2.85000E-2	5.00019E-1	7.93168E-9
2.90000E-2	5.00005E-1	7.47664E-9
2.95000E-2	5.00019E-1	7.10576E-9
3.00000E-2	5.00033E-1	6.50051E-9
3.05000E-2	5.00016E-1	6.41823E-9
3.10000E-2	4.99992E-1	6.26863E-9
3.15000E-2	5.00008E-1	5.66462E-9
3.20000E-2	4.99986E-1	5.75376E-9
3.25000E-2	4.99989E-1	5.12918E-9
3.30000E-2	4.96273E-1	7.62500E-8
3.35000E-2	4.97838E-1	7.49690E-7
3.40000E-2	5.05587E-1	3.58686E-7
3.45000E-2	5.00329E-1	5.57162E-8
3.50000E-2	5.00108E-1	3.03722E-8
3.55000E-2	5.00044E-1	2.14336E-8
3.60000E-2	5.00016E-1	1.68154E-8
3.65000E-2	5.00022E-1	1.39574E-8
3.70000E-2	5.00000E-1	1.22389E-8
3.75000E-2	5.00030E-1	1.03458E-8
3.80000E-2	4.99978E-1	9.56231E-9
3.85000E-2	5.00014E-1	8.59802E-9
3.90000E-2	5.00014E-1	7.99276E-9
3.95000E-2	5.00008E-1	7.53150E-9
4.00000E-2	5.00008E-1	7.01600E-9
4.05000E-2	5.00014E-1	6.57032E-9
4.10000E-2	5.00019E-1	6.22624E-9
4.15000E-2	5.00000E-1	6.04610E-9
4.20000E-2	5.00008E-1	5.85536E-9
4.25000E-2	4.99983E-1	5.43648E-9
4.30000E-2	5.00025E-1	5.24512E-9
4.35000E-2	4.99980E-1	5.10861E-9
4.40000E-2	4.94792E-1	1.83979E-7
4.45000E-2	4.99216E-1	7.68259E-7
4.50000E-2	5.05421E-1	2.24578E-7
4.55000E-2	5.00277E-1	4.76902E-8
4.60000E-2	5.00102E-1	2.79344E-8
4.65000E-2	5.00022E-1	2.00280E-8
4.70000E-2	5.00022E-1	1.57713E-8
4.75000E-2	5.00030E-1	1.32861E-8
4.80000E-2	5.00003E-1	1.14859E-8
4.85000E-2	4.99994E-1	1.00990E-8
4.90000E-2	5.00044E-1	8.99882E-9
4.95000E-2	4.99989E-1	8.28760E-9
5.00000E-2	5.61330E-2	-3.42010E-7
5.05000E-2	-3.17021E-5	-1.34635E-8
5.10000E-2	-3.44706E-5	-9.08401E-9
5.15000E-2	-4.01703E-6	-6.88490E-9
5.20000E-2	-6.78554E-6	-5.45249E-9
5.25000E-2	-1.23226E-5	-4.86718E-9
5.30000E-2	4.28849E-6	-4.40031E-9
5.35000E-2	4.28849E-6	-3.66103E-9
5.40000E-2	-1.24852E-6	-3.38116E-9
5.45000E-2	-6.78554E-6	-3.14741E-9
5.50000E-2	3.11593E-4	-3.20388E-8
5.55000E-2	-1.75665E-4	-3.39331E-8
5.60000E-2	-1.11989E-4	-7.19782E-9
5.65000E-2	-2.06281E-5	-3.43664E-9
5.70000E-2	-4.01703E-6	-3.28891E-9
5.75000E-2	-1.23226E-5	-2.62132E-9
5.80000E-2	1.53625E-5	-2.59888E-9
5.85000E-2	-2.33966E-5	-2.18561E-9
5.90000E-2	-1.24852E-6	-2.26851E-9
5.95000E-2	1.51999E-6	-2.07653E-9
6.00000E-2	4.43423E-1	3.48848E-7
6.05000E-2	5.00055E-1	2.04569E-8
6.10000E-2	5.00019E-1	1.54459E-8
6.15000E-2	5.00019E-1	1.25892E-8
6.20000E-2	4.99992E-1	1.10215E-8
6.25000E-2	5.00003E-1	9.74370E-9
6.30000E-2	5.00000E-1	8.69339E-9
6.35000E-2	5.00019E-1	8.12117E-9
6.40000E-2	4.99983E-1	7.61128E-9
6.45000E-2	4.99992E-1	7.06961E-9
6.50000E-2	5.00003E-1	6.70995E-9
6.55000E-2	4.99978E-1	6.52918E-9
6.60000E-2	4.94335E-1	4.54055E-7
6.65000E-2	5.04382E-1	6.92337E-7
6.70000E-2	5.00922E-1	9.42144E-8
6.75000E-2	5.00152E-1	3.90415E-8
6.80000E-2	5.00061E-1	2.50882E-8
6.85000E-2	5.00039E-1	1.88524E-8
6.90000E-2	4.99983E-1	1.52577E-8
6.95000E-2	5.00036E-1	1.30230E-8
7.00000E-2	5.00019E-1	1.12384E-8
7.05000E-2	5.00003E-1	9.94690E-9
7.10000E-2	5.00016E-1	9.31485E-9
7.15000E-2	5.00008E-1	8.36489E-9
7.20000E-2	4.99997E-1	7.69356E-9
7.25000E-2	5.00014E-1	7.30024E-9
7.30000E-2	5.00003E-1	6.53292E-9
7.35000E-2	5.00016E-1	6.60647E-9
7.40000E-2	4.99975E-1	5.88279E-9
7.45000E-2	5.00019E-1	5.99623E-9
7.50000E-2	4.99958E-1	5.47139E-9
7.55000E-2	5.00025E-1	5.15598E-9
7.60000E-2	5.00005E-1	5.17718E-9
7.65000E-2	4.99870E-1	6.29356E-9
7.70000E-2	4.94366E-1	5.62535E-7
7.75000E-2	5.04867E-1	5.65876E-7
7.80000E-2	5.00728E-1	7.50152E-8
7.85000E-2	5.00088E-1	3.44856E-8
7.90000E-2	5.00069E-1	2.27271E-8
7.95000E-2	5.00025E-1	1.74992E-8
8.00000E-2	5.00033E-1	1.39811E-8
8.05000E-2	5.00033E-1	1.21479E-8
8.10000E-2	4.99980E-1	1.04986E-8
8.15000E-2	5.00011E-1	9.15527E-9
8.20000E-2	5.00041E-1	8.40042E-9
8.25000E-2	4.99983E-1	8.04138E-9
8.30000E-2	4.99980E-1	7.20113E-9
8.35000E-2	5.00011E-1	6.80532E-9
8.40000E-2	4.99989E-1	6.29979E-9
8.45000E-2	5.00041E-1	5.94761E-9
8.50000E-2	4.99950E-1	5.82045E-9
8.55000E-2	5.00003E-1	5.50442E-9
8.60000E-2	4.99978E-1	5.21208E-9
8.65000E-2	4.99986E-1	4.90852E-9
8.70000E-2	5.00025E-1	4.74147E-9
8.75000E-2	4.98538E-1	2.31459E-8
8.80000E-2	4.95789E-1	6.69174E-7
8.85000E-2	5.05188E-1	4.43323E-7
8.90000E-2	5.00479E-1	6.05944E-8
8.95000E-2	5.00075E-1	3.12106E-8
9.00000E-2	5.00064E-1	2.11133E-8
9.05000E-2	5.00003E-1	1.65006E-8
9.10000E-2	5.00019E-1	1.35049E-8
9.15000E-2	5.00003E-1	1.14180E-8
9.20000E-2	5.00005E-1	9.92945E-9
9.25000E-2	5.00003E-1	9.03372E-9
9.30000E-2	5.00039E-1	8.20158E-9
9.35000E-2	5.00000E-1	7.54334E-9
9.40000E-2	5.00014E-1	6.89258E-9
9.45000E-2	5.00019E-1	6.59712E-9
9.50000E-2	5.00003E-1	5.83479E-9
9.55000E-2	4.99997E-1	5.97940E-9
9.60000E-2	5.00019E-1	5.40407E-9
9.65000E-2	5.00005E-1	5.15972E-9
9.70000E-2	5.00003E-1	5.20336E-9
