## Header ##
[General info]
User	Giorgos_Psaltakis
Device	Sample
Cell area (cm2)	1
Test	Memristor
Date	2024-03-03
Time	03:33:00
Note	

[Acquisition Settings]
Sampling time (s)	5.000E-1
Voltage Range (V)	6.000E+0
Current Range (A)	1.000E-6
Current Limit (A)	1.000E-6

[Waveform Settings]
V_HRS (V)	0.5000
V_LRS (V)	0.5000
V_READ (V)	0.5000
t_HRS (s)	0.0200
t_LRS (s)	0.0200
t_READ (s)	0.0000
d_HRS (s)	0.0100
d_LRS (s)	0.0000
d_READ (s)	0.0000
Cycles	1

## Data ##
Time (s)	Voltage (V)	Current (A)
0.00000E+0	1.37177E-4	4.49120E-8
5.00000E-4	-1.24852E-6	-1.31419E-9
1.00000E-3	-5.66187E-5	1.66841E-10
1.50000E-3	1.51019E-4	-8.13659E-10
2.00000E-3	-1.34137E-4	-7.37650E-11
2.50000E-3	9.56493E-5	1.33185E-9
3.00000E-3	-3.44706E-5	-4.44647E-10
3.50000E-3	7.90382E-5	-1.27118E-9
4.00000E-3	-1.64591E-4	-1.86588E-10
4.50000E-3	1.78705E-4	-5.06357E-10
5.00000E-3	-8.70723E-5	7.09762E-10
5.50000E-3	5.13532E-5	7.68546E-9
6.00000E-3	-1.78596E-5	2.62900E-9
6.50000E-3	7.35012E-5	-1.57952E-11
7.00000E-3	-1.20294E-4	5.05310E-10
7.50000E-3	1.51999E-6	4.72896E-10
8.00000E-3	4.28849E-6	-4.19090E-10
8.50000E-3	-4.01703E-6	1.65806E-12
9.00000E-3	9.56493E-5	5.20893E-10
9.50000E-3	-8.43038E-5	-7.16419E-10
1.00000E-2	4.51100E-1	3.38397E-7
1.05000E-2	5.01099E-1	2.60644E-7
1.10000E-2	5.00412E-1	6.24594E-8
1.15000E-2	5.00130E-1	3.72769E-8
1.20000E-2	5.00025E-1	2.67101E-8
1.25000E-2	5.00075E-1	2.08677E-8
1.30000E-2	4.99989E-1	1.76276E-8
1.35000E-2	5.00047E-1	1.55756E-8
1.40000E-2	5.00066E-1	1.39649E-8
1.45000E-2	4.99942E-1	1.08314E-8
1.50000E-2	4.96492E-1	8.87328E-8
1.55000E-2	5.03051E-1	1.82744E-7
1.60000E-2	5.00219E-1	4.94536E-8
1.65000E-2	5.00207E-1	3.01129E-8
1.70000E-2	5.00005E-1	2.34545E-8
1.75000E-2	5.00055E-1	1.74144E-8
1.80000E-2	4.99975E-1	1.38645E-8
1.85000E-2	5.00064E-1	1.44268E-8
1.90000E-2	5.00008E-1	1.12727E-8
1.95000E-2	5.00061E-1	1.07660E-8
2.00000E-2	4.97433E-1	1.58662E-7
2.05000E-2	5.02054E-1	1.16506E-7
2.10000E-2	5.00185E-1	4.15598E-8
2.15000E-2	5.00022E-1	2.80890E-8
2.20000E-2	5.00066E-1	2.13719E-8
2.25000E-2	5.00025E-1	1.75864E-8
2.30000E-2	5.00030E-1	1.32075E-8
2.35000E-2	5.00041E-1	1.31072E-8
2.40000E-2	4.99944E-1	1.13413E-8
2.45000E-2	4.99925E-1	9.36596E-9
2.50000E-2	4.98967E-1	1.95318E-7
2.55000E-2	5.00789E-1	8.50284E-8
2.60000E-2	5.00044E-1	3.96605E-8
2.65000E-2	5.00044E-1	2.52260E-8
2.70000E-2	5.00022E-1	1.95063E-8
2.75000E-2	5.00003E-1	1.52970E-8
2.80000E-2	5.00069E-1	1.29364E-8
2.85000E-2	5.00005E-1	1.16779E-8
2.90000E-2	5.00080E-1	1.02717E-8
2.95000E-2	4.99911E-1	9.31734E-9
3.00000E-2	4.99200E-1	2.13963E-7
3.05000E-2	5.00437E-1	7.08663E-8
3.10000E-2	5.00224E-1	3.52030E-8
3.15000E-2	5.00080E-1	2.29533E-8
3.20000E-2	5.00011E-1	1.73702E-8
3.25000E-2	4.99944E-1	1.67181E-8
3.30000E-2	4.99925E-1	1.16037E-8
3.35000E-2	5.00111E-1	1.22339E-8
3.40000E-2	4.99994E-1	9.27932E-9
3.45000E-2	4.99609E-1	1.20201E-8
3.50000E-2	4.99742E-1	2.26073E-7
3.55000E-2	5.00548E-1	5.72091E-8
3.60000E-2	4.99969E-1	3.12910E-8
3.65000E-2	5.00166E-1	2.35598E-8
3.70000E-2	4.99944E-1	1.60026E-8
3.75000E-2	5.00058E-1	1.40840E-8
3.80000E-2	5.00028E-1	1.15620E-8
3.85000E-2	5.00144E-1	1.11643E-8
3.90000E-2	4.99925E-1	8.98635E-9
3.95000E-2	4.98117E-1	3.76758E-8
4.00000E-2	5.01545E-1	2.08259E-7
4.05000E-2	5.00437E-1	4.81477E-8
4.10000E-2	5.00100E-1	2.86443E-8
4.15000E-2	5.00033E-1	2.30786E-8
4.20000E-2	4.99950E-1	1.50090E-8
4.25000E-2	5.00180E-1	1.35273E-8
4.30000E-2	4.99969E-1	1.31533E-8
4.35000E-2	5.00058E-1	1.01613E-8
4.40000E-2	4.99861E-1	9.30799E-9
4.45000E-2	4.96741E-1	1.04612E-7
4.50000E-2	5.02868E-1	1.46139E-7
4.55000E-2	5.00279E-1	4.36679E-8
4.60000E-2	5.00069E-1	2.75635E-8
4.65000E-2	5.00033E-1	1.86791E-8
4.70000E-2	5.00000E-1	1.45515E-8
4.75000E-2	5.00097E-1	1.45384E-8
4.80000E-2	5.00033E-1	1.01252E-8
4.85000E-2	4.99972E-1	1.09766E-8
4.90000E-2	4.99961E-1	1.00254E-8
4.95000E-2	4.98184E-1	1.65093E-7
5.00000E-2	4.52279E-2	-3.09066E-7
5.05000E-2	-8.15353E-5	-1.25348E-8
5.10000E-2	-1.78596E-5	-8.26309E-9
5.15000E-2	2.64366E-5	-5.94804E-9
5.20000E-2	-9.81464E-5	-3.77012E-9
5.25000E-2	7.90382E-5	-3.85177E-9
5.30000E-2	-7.87668E-5	-3.42978E-9
5.35000E-2	7.07327E-5	-3.26771E-9
5.40000E-2	2.92051E-5	-2.20805E-9
5.45000E-2	4.30476E-5	-1.72048E-8
5.50000E-2	5.41217E-5	-4.94821E-9
5.55000E-2	-7.32298E-5	-3.98828E-9
5.60000E-2	9.82551E-6	-1.90947E-9
5.65000E-2	3.75106E-5	-1.15462E-9
5.70000E-2	-1.83970E-4	-2.33396E-9
5.75000E-2	1.31640E-4	-2.56397E-9
5.80000E-2	-4.27762E-5	-4.26570E-10
5.85000E-2	-2.89336E-5	-1.15711E-9
5.90000E-2	4.58161E-5	-1.85774E-9
5.95000E-2	4.85846E-5	-9.20120E-9
6.00000E-2	4.48279E-1	3.71686E-7
6.05000E-2	5.00116E-1	4.35401E-8
6.10000E-2	5.00005E-1	2.76825E-8
6.15000E-2	5.00033E-1	2.05080E-8
6.20000E-2	5.00025E-1	1.95961E-8
6.25000E-2	5.00100E-1	1.31832E-8
6.30000E-2	4.99994E-1	1.32144E-8
6.35000E-2	4.99967E-1	1.10963E-8
6.40000E-2	4.99443E-1	1.78127E-8
6.45000E-2	5.00025E-1	2.31486E-7
6.50000E-2	5.00357E-1	5.63078E-8
6.55000E-2	5.00088E-1	3.02039E-8
6.60000E-2	5.00005E-1	2.17484E-8
6.65000E-2	5.00005E-1	1.76980E-8
6.70000E-2	5.00069E-1	1.52278E-8
6.75000E-2	4.99958E-1	1.16835E-8
